# Domain: L_shaped (FEM, dense eig full spectrum)
# Resolution Hmax = 0.09, dofs = 1565
n,lambda_n
1,9.65215813908429
2,15.1977128931356
3,19.7396381166272
4,29.5230426745893
5,31.9445823631059
6,41.5012006720039
7,44.9550399638701
8,49.3546013287171
9,49.3547936457023
10,56.7445987788331
11,65.3937529016553
12,71.107537276633
13,71.5926796834028
14,78.983550260243
15,89.4310233250452
16,92.351240472118
17,97.4328988459886
18,98.747651160436
19,98.7480828822943
20,101.70364776402
21,112.454342843612
22,115.609415274374
23,128.414092615506
24,128.418370131541
25,130.235376304039
26,130.399164794283
27,142.661320304273
28,151.306967690738
29,154.826390730465
30,162.421586999258
31,164.962070522371
32,165.093261507582
33,168.028358988647
34,168.031028064777
35,177.943168158979
36,180.068710000888
37,184.395034541611
38,197.785046415942
39,197.792299193749
40,201.90925451247
41,207.900774915514
42,209.244961897866
43,209.983539751728
44,223.783550992218
45,224.233395407292
46,236.944376938837
47,239.102009686276
48,247.491551715555
49,247.521225098994
50,251.684476900222
51,253.738636010269
52,257.467724340704
53,257.476033915491
54,266.811237073544
55,270.405682880856
56,271.220525381099
57,282.526683999716
58,287.388147698261
59,287.408035803494
60,290.347234397148
61,294.843967374163
62,308.241679466018
63,308.432345944875
64,311.887657077213
65,315.345317498717
66,317.362269945728
67,337.377245766727
68,337.436763897249
69,337.513911242656
70,337.693393506965
71,348.118212199679
72,353.723320582055
73,362.123660534016
74,362.881118691411
75,367.587108061798
76,367.597458052921
77,372.033563543876
78,374.794401296591
79,378.796461335303
80,385.757317671376
81,392.706530821038
82,393.419201311706
83,397.719024321569
84,397.79718136749
85,407.767813087877
86,407.887442663073
87,419.313773292519
88,423.197679509669
89,430.458289064238
90,430.832973456995
91,436.734240980157
92,448.128795219496
93,448.225483292047
94,448.364614002154
95,458.526794008879
96,458.543768753532
97,458.769049891256
98,469.137545570133
99,484.118675685668
100,484.940347540707
101,491.688801102678
102,496.003151564318
103,499.11357413674
104,499.155682129639
105,499.23572033709
106,505.277882534876
107,508.16722907209
108,519.020970638122
109,519.535069886226
110,519.646828114399
111,520.045870807352
112,529.712006202659
113,529.807761870736
114,537.363135243764
115,544.264463368162
116,552.55290611659
117,553.917595652554
118,567.764312560232
119,572.155758336189
120,573.251989848292
121,573.784414305918
122,580.914574568933
123,581.060035572185
124,584.721786626315
125,587.08242826591
126,601.199396069741
127,601.559833425892
128,611.737389397896
129,612.140532583764
130,616.093529432463
131,619.882233883269
132,642.288328643726
133,645.935408210526
134,648.502858685369
135,653.096640987305
136,653.179295414963
137,653.243024436979
138,653.356659496938
139,653.826453195772
140,654.703451268208
141,661.357444492341
142,666.820240705345
143,673.883446383237
144,676.709607386125
145,684.645560954143
146,684.675403903997
147,687.811560990554
148,700.029029127863
149,701.67537515959
150,707.4825360405
151,714.969237317041
152,726.720224183804
153,730.851311450306
154,731.704419828437
155,736.963786393787
156,737.080854293883
157,739.394305140372
158,739.670844983101
159,747.070634426242
160,747.809430228096
161,766.126050957805
162,766.586391572128
163,771.482871133511
164,772.723109458215
165,778.306080567714
166,783.706700081888
167,802.278411780078
168,810.419574198342
169,810.741354907101
170,812.910847060178
171,816.944949259804
172,819.624345930859
173,824.046696253323
174,829.868127521136
175,830.946597649556
176,831.508543956672
177,833.156239567312
178,833.732751107627
179,849.063722243768
180,851.036983348428
181,859.441422872622
182,863.056814727877
183,863.371992001764
184,864.652509913312
185,865.463186864033
186,866.424698571734
187,883.713362991082
188,887.70189198212
189,903.167864415385
190,904.367741493898
191,905.969680932857
192,906.217146575815
193,909.434990585785
194,918.696643270443
195,918.838957131004
196,921.185726385323
197,929.776069069862
198,930.574556868649
199,933.885936772007
200,951.58197810473
201,952.01592004897
202,956.165450389341
203,962.323894890047
204,963.177204280688
205,973.193061733948
206,974.174908583756
207,993.63041222753
208,993.960583315047
209,997.29102214164
210,997.402220174298
211,1005.45552932024
212,1012.03262540244
213,1012.37314978704
214,1026.59938394162
215,1028.12523975022
216,1030.58443647989
217,1031.34413062623
218,1036.85317339109
219,1037.06180697582
220,1041.87839068049
221,1044.85456315009
222,1053.49743031243
223,1056.42563768424
224,1061.09115129431
225,1069.58547656317
226,1070.21463960043
227,1070.93424528061
228,1084.44885972551
229,1087.26579251684
230,1089.59464984831
231,1090.34442669789
232,1097.72022372741
233,1101.29630470695
234,1106.01693950903
235,1109.71990563691
236,1117.80486322584
237,1124.35000266043
238,1126.86919735027
239,1127.0793714048
240,1146.7596502426
241,1147.2947760818
242,1149.86938792325
243,1152.52200488557
244,1159.4819662822
245,1163.54404658022
246,1167.00280977597
