# Domain: isosceles_triangle (DST, dense eig full spectrum)
# Resolution M = 35, dofs = 595
n,lambda_n
1,4.99989564347334
2,9.9992542475801
3,12.9997077919104
4,16.9973600580999
5,19.998305143529
6,24.9994202928
7,25.9931812981529
8,28.9947628308064
9,33.9969438366798
10,36.9853388800567
11,39.9877049297241
12,40.9990259255997
13,44.9912001629748
14,49.9720637402291
15,51.9951355443244
16,52.9753660323497
17,57.9804301991877
18,60.9985144122326
19,64.9511406611616
20,64.9865790792015
21,67.9555348710829
22,72.9624295712077
23,73.9928319676305
24,79.9711623661452
25,81.9198356272995
26,84.9254813517822
27,84.9978717098342
28,88.9807725166074
29,89.9344751189493
30,96.9461726683321
31,99.9899677481476
32,100.87480264204
33,103.88186289586
34,105.959637862772
35,108.893230424088
36,112.997078906574
37,115.908283067125
38,116.973609380807
39,121.811964532797
40,124.82060443273
41,124.926114769361
42,129.834624585066
43,129.986454997735
44,135.945502152088
45,136.853429506349
46,144.72636017616
47,144.996110522451
48,145.876149526926
49,147.736744703641
50,148.964859073906
51,152.753696451609
52,156.901607903204
53,159.776652230738
54,163.982174634247
55,168.804786306796
56,169.611947821623
57,169.928275069086
58,172.624237375287
59,177.644393053607
60,179.836978304067
61,180.994931790984
62,184.671890069144
63,184.954207092459
64,192.871768094742
65,193.705955530571
66,196.461350215619
67,199.475693857275
68,201.9769626792
69,204.499307184515
70,204.745537059067
71,207.907294806398
72,211.531712107083
73,217.789258016791
74,220.572196474166
75,220.993494231096
76,224.941214093775
77,225.265521188194
78,228.282045518204
79,231.61978917345
80,232.835361205662
81,233.309334515278
82,240.346961378715
83,243.970586692909
84,244.673216759435
85,249.394287799301
86,249.881623885588
87,256.013305363727
88,259.032096492712
89,259.730845811558
90,260.450438012825
91,264.06321069567
92,264.991727783408
93,268.925246601541
94,271.106280707494
95,273.514258333317
96,276.790604858288
97,280.160751229587
98,288.584265823514
99,288.690849072919
100,289.962703680498
101,291.225852878257
102,291.711924595997
103,295.849876484756
104,296.746898025386
105,303.795465542719
106,304.300573724528
107,305.658575770871
108,312.857164453981
109,312.989526444755
110,316.905344207202
111,319.383602591871
112,323.280801368346
113,323.931337437581
114,324.734797970071
115,326.304063294105
116,331.342734855387
117,336.473280123557
118,337.017124617805
119,338.396578520297
120,339.952777879613
121,345.809888540808
122,347.465209283891
123,352.113414568786
124,355.567491619117
125,358.548090067018
126,359.761213397357
127,362.786372599094
128,364.986718144675
129,367.828255150962
130,368.879947700833
131,369.218790343249
132,371.6445012863
133,374.886671751215
134,376.663545606872
135,383.961297575854
136,386.753520641405
137,388.331459719358
138,393.939897978116
139,395.051669388604
140,398.103990567098
141,399.757975540572
142,401.130441004427
143,403.873973033897
144,406.174501178627
145,408.15715909774
146,409.449147168915
147,413.235982324103
148,420.982993676098
149,422.314544953354
150,423.004384192683
151,423.276956898235
152,424.846252842523
153,432.568932397792
154,433.409688048517
155,438.272676497307
156,440.410018248527
157,441.299276456728
158,444.142894769813
159,446.343548437618
160,446.520703868763
161,451.922307371486
162,453.405191870449
163,457.687017405782
164,459.555024676912
165,461.646634218309
166,462.483666858303
167,467.287153469399
168,473.578136233113
169,478.786172988546
