# Domain: isosceles_triangle (FD, dense eig full spectrum)
# Resolution M = 25, dofs = 300
n,lambda_n
1,4.97935510505154
2,9.90066451882914
3,12.8824517743856
4,16.6897323177511
5,19.671519573309
6,24.5928289870851
7,25.2475586056617
8,28.2293458612175
9,33.150655274996
10,35.4493510047363
11,38.4311382602917
12,39.9397230739181
13,43.3524476740688
14,47.1463444093579
15,50.1281316649138
16,50.1415154729919
17,55.0494410786914
18,58.6993417609026
19,60.1679703163542
20,61.8385088776139
21,63.1497575719103
22,68.0710669856877
23,70.3963351655244
24,74.3243440978539
25,74.8601347846109
26,77.3061313534091
27,80.598127564598
28,82.227440767187
29,83.417961072521
30,89.0165085661094
31,89.4090339467428
32,92.3908212022993
33,93.6197534715939
34,97.3121306160767
35,97.5743348540202
36,104.101198414999
37,105.202071117263
38,105.316746876217
39,107.776127253093
40,108.183858372819
41,112.65902470291
42,113.105167786596
43,119.473120657716
44,119.894235585519
45,121.473157564644
46,122.860817101983
47,124.4549448202
48,128.452061873429
49,129.376254233978
50,132.494746564712
51,134.557810506605
52,136.165322032901
53,137.985024209189
54,138.653854272502
55,140.966811464745
56,144.723148320811
57,145.888120878522
58,147.579436413602
59,150.350847677125
60,152.677188677445
61,154.496890853733
62,154.924940719884
63,157.478678109289
64,161.235014965355
65,161.7358101951
66,162.399987523067
67,163.372473584121
68,166.621934124506
69,169.189055321989
70,170.767977301115
71,171.436807364429
72,173.74976455667
73,177.528847365621
74,177.746881609899
75,178.671073970448
76,179.643560031503
77,183.133800769051
78,185.460141769371
79,186.561014471635
80,187.948674008973
81,189.54280172719
82,192.61353721451
83,193.799933813002
84,194.017968057281
85,194.464111140968
86,196.155426676047
87,199.645667413595
88,201.253178939891
89,201.645704320524
90,204.219760456354
91,204.62749157608
92,208.884623661891
93,209.548800989857
94,209.811005227801
95,210.311800457546
96,212.667293320592
97,215.802078102023
98,215.916753860977
99,216.33786878878
100,218.783865357579
101,220.012797626875
102,223.705174771356
103,224.677660832411
104,224.89569507669
105,225.396490306435
106,226.823667102091
107,228.823704009019
108,228.938379767973
109,230.494242570279
110,231.709791031497
111,231.805491264575
112,235.097487475764
113,236.726800678353
114,239.052068858189
115,240.520697413641
116,241.189527476955
117,241.90835695098
118,243.094753549472
119,243.502484669198
120,243.515868477275
121,244.731416938493
122,246.794480880386
123,248.423794082975
124,249.253861257262
125,250.722489812715
126,252.073694765186
127,253.704277068271
128,255.212861881898
129,257.460613924337
130,257.7013941215
131,258.179443398362
132,258.625586482049
133,258.887790719992
134,259.280316100625
135,259.816106787383
136,260.950854661885
137,262.262103356181
138,262.275487164259
139,263.770688169808
140,265.414654280971
141,266.069383899548
142,267.183412769959
143,269.051171155104
144,270.990693313325
145,273.972480568881
146,273.972480568881
147,273.972480568881
148,273.972480568881
149,273.972480568881
150,273.972480568881
151,273.972480568881
152,273.972480568881
153,273.972480568881
154,273.972480568881
155,273.972480568882
156,273.972480568882
157,276.954267824437
158,278.893789982659
159,280.761548367804
160,281.875577238215
161,282.530306856792
162,284.174272967955
163,285.669473973504
164,285.682857781582
165,286.994106475878
166,288.12885435038
167,288.664645037137
168,289.057170417771
169,289.319374655714
170,289.765517739401
171,290.243567016263
172,290.484347213426
173,292.732099255865
174,294.240684069492
175,295.871266372577
176,297.222471325048
177,298.6910998805
178,299.521167054787
179,301.150480257377
180,303.21354419927
181,304.429092660487
182,304.442476468565
183,304.850207588291
184,306.036604186783
185,306.755433660807
186,307.424263724121
187,308.892892279574
188,311.21816045941
189,312.847473661999
190,316.139469873187
191,316.235170106266
192,317.450718567484
193,319.006581369789
194,319.121257128743
195,321.121294035672
196,322.548470831327
197,323.049266061073
198,323.267300305352
199,324.239786366407
200,327.932163510888
201,329.161095780184
202,331.607092348983
203,332.028207276786
204,332.14288303574
205,335.277667817171
206,337.633160680217
207,338.133955909962
208,338.396160147905
209,339.060337475872
210,343.317469561683
211,343.725200681409
212,346.299256817239
213,346.691782197872
214,348.299293724168
215,351.789534461716
216,353.480849996795
217,353.926993080482
218,354.145027324761
219,355.331423923253
220,358.402159410572
221,359.99628712879
222,361.383946666128
223,362.484819368392
224,364.811160368712
225,368.30140110626
226,369.273887167315
227,370.198079527863
228,370.416113772142
229,374.195196581092
230,376.508153773334
231,377.176983836648
232,378.755905815773
233,381.323027013256
234,384.572487553641
235,385.544973614696
236,386.209150942662
237,386.709946172408
238,390.466283028473
239,393.020020417879
240,393.448070284029
241,395.267772460318
242,397.594113460638
243,400.365524724161
244,402.056840259241
245,403.221812816953
246,406.978149673018
247,409.29110686526
248,409.959936928574
249,411.779639104862
250,413.387150631157
251,415.450214573051
252,418.568706903785
253,419.492899264334
254,423.490016317563
255,425.08414403578
256,426.471803573119
257,428.050725552244
258,428.471840480047
259,434.839793351166
260,435.285936434853
261,439.761102764944
262,440.168833884669
263,442.628214261546
264,442.7428900205
265,443.843762722763
266,450.370626283743
267,450.632830521686
268,454.325207666169
269,455.554139935463
270,458.53592719102
271,458.928452571653
272,464.527000065242
273,465.717520370576
274,467.346833573165
275,470.638829784353
276,473.084826353152
277,473.620617039909
278,477.548625972238
279,479.873894152075
280,484.795203565853
281,486.106452260149
282,487.776990821409
283,489.24561937686
284,492.895520059072
285,497.803445664771
286,497.816829472849
287,500.798616728405
288,504.592513463694
289,508.005238063845
290,509.513822877471
291,512.495610133028
292,514.794305862767
293,519.715615276543
294,522.697402532103
295,523.352132150678
296,528.273441564457
297,531.255228820009
298,535.062509363378
299,538.044296618932
300,542.965606032711
