# Domain: isosceles_triangle (FEM, dense eig full spectrum)
# Resolution Hmax = 0.09, dofs = 2664
n,lambda_n
1,5.00000649095828
2,10.0000527744995
3,13.000112647965
4,17.0002571288136
5,20.0004143611348
6,25.000798123991
7,26.0009166671661
8,29.0012493317068
9,34.0020236210141
10,37.0026353207213
11,40.0032847024856
12,41.0035140030425
13,45.0046465881221
14,50.0064690920455
15,52.0071643152577
16,53.0075248788453
17,58.009834198159
18,61.0115867855638
19,65.0140479045157
20,65.0141189834865
21,68.0158693951033
22,73.0198235164066
23,74.0204374773268
24,80.0257451356401
25,82.0281856816836
26,85.0303669135189
27,85.0310156330267
28,89.0354146660152
29,90.0365283795322
30,97.0458452631523
31,100.050007355577
32,101.05218970508
33,104.055815355391
34,106.059945165526
35,109.064568670493
36,113.072042344946
37,116.077123475241
38,117.080679002533
39,122.091245306832
40,125.095753187039
41,125.097249608848
42,130.107290693144
43,130.10890332005
44,136.123617375154
45,137.126198343476
46,145.149621316774
47,145.152378255073
48,146.151083640523
49,148.157597486505
50,149.163875060234
51,153.175057908376
52,157.190486676724
53,160.198709485495
54,164.215749618292
55,169.232056955279
56,170.240001661657
57,170.242295469873
58,173.250815601383
59,178.272613349408
60,180.279540821683
61,181.287469205536
62,185.303607226036
63,185.309788646218
64,193.346509096657
65,194.348426835778
66,197.376437828957
67,200.385251207213
68,202.398154740229
69,205.407834172792
70,205.415504474601
71,208.433564741796
72,212.453254701799
73,218.489014357841
74,221.509199516721
75,221.524602428731
76,225.554759217249
77,226.560815292248
78,229.570342964609
79,232.593372930101
80,233.610217901458
81,234.610411348847
82,241.663586820714
83,244.688878984208
84,245.693773702472
85,250.729497233922
86,250.742124385784
87,257.812516540822
88,260.811435515685
89,260.828429562831
90,261.836648712428
91,265.865216746252
92,265.881455092065
93,269.921949131312
94,272.935650392248
95,274.958009557349
96,278.000430050868
97,282.037483357883
98,290.130266703278
99,291.142418812877
100,291.161049482563
101,293.144052250611
102,294.174506226166
103,297.218030617063
104,299.231075382556
105,306.298622925016
106,306.32220583041
107,307.322698051502
108,314.419674489582
109,315.426807145862
110,318.481295951182
111,321.516717426477
112,326.574788705456
113,326.603637010002
114,326.616863304414
115,329.622600104103
116,334.705720083841
117,338.764366268614
118,339.766705892106
119,341.802424410111
120,341.811620233993
121,347.911115652315
122,350.943033066063
123,355.020609663865
124,358.054540881583
125,362.132707592525
126,364.213067420998
127,367.223354555606
128,367.225619754051
129,371.330580466336
130,372.312510810831
131,372.337133264729
132,375.346792596456
133,379.415803613307
134,379.493240259785
135,388.602105551364
136,390.636232814127
137,391.67793660579
138,396.760943432319
139,399.842847560503
140,402.897221965106
141,403.966468346827
142,406.952009487373
143,408.016051396392
144,412.075581282435
145,413.058346085617
146,413.117959725416
147,419.227380976621
148,424.343240543709
149,427.425371373312
150,428.41977728881
151,428.452606076806
152,428.504700140948
153,436.652284534052
154,439.69977075226
155,445.816769202033
156,445.909719366913
157,448.901252280368
158,448.946685263086
159,452.97284822647
160,454.04135260996
161,456.108593263414
162,461.214927804235
163,462.287750850645
164,465.344277590062
165,468.427658505707
166,470.452147433538
167,472.502759062545
168,481.780106317615
169,485.905845634173
170,485.974146174319
171,486.933744419844
172,490.062005961377
173,490.110160009319
174,493.077959472714
175,495.155433569183
176,498.228787275948
177,498.30547824836
178,505.44577612716
179,505.48536690952
180,510.625473836875
181,510.75656816248
182,514.759937919314
183,519.915234829509
184,526.114160552967
185,526.162022568415
186,527.214551446515
