# Domain: rectangle (CHEB, dense eig full spectrum)
# Resolution N = 10, dofs = 64
n,lambda_n
1,1.24999998199649
2,1.99999741665047
3,3.25059572879235
4,4.24998972061228
5,4.97982258979013
6,4.99998715526626
7,6.25058546740818
8,7.61028459241307
9,7.97981232840594
10,9.04122931318333
11,9.25238296917994
12,10.0023804038339
13,10.6102743310289
14,11.2529787159758
15,12.0412190517991
16,12.9822055769736
17,15.6126675795965
18,16.1692904131711
19,16.919287847825
20,17.0436123003668
21,18.1698861599669
22,19.8991130209647
23,22.5295750235876
24,23.9605197443579
25,26.6911384236628
26,27.4411358583167
27,28.6917341704586
28,30.4209610314565
29,32.4149173067438
30,33.0514230340794
31,33.1649147413977
32,33.498352388307
33,34.4155130535396
34,34.4823677548496
35,34.9919798328097
36,36.1447399145374
37,36.4983421269227
38,37.9919695714254
39,38.7752019171603
40,40.2061466379306
41,41.5007353754904
42,42.9943628199931
43,48.4176428194814
44,49.9112702639843
45,58.9394908299735
46,60.4331182744761
47,64.6632697130542
48,66.156897157557
49,130.243409607238
50,130.993407041893
51,132.244005354034
52,133.973232215032
53,136.217919385249
54,136.603694217655
55,136.967916819903
56,138.034638938425
57,138.218515132045
58,139.947741993043
59,142.578203995665
60,144.009148716436
61,162.491762013549
62,163.985389458051
63,168.466271791559
64,169.959899236062
