# Domain: rectangle (DST, dense eig full spectrum)
# Resolution M = 77, dofs = 2926
n,lambda_n
1,1.24999999999974
2,1.99999999999966
3,3.2499999999984
4,4.25000000000044
5,4.99999999999708
6,4.99999999999978
7,6.24999999999982
8,7.25000000000062
9,8.00000000000014
10,9.24999999999977
11,9.99999999999747
12,10.000000000001
13,10.2499999999993
14,11.2499999999997
15,12.999999999997
16,13.0000000000004
17,13.2500000000003
18,15.2500000000002
19,16.2499999999986
20,16.2500000000001
21,16.9999999999996
22,17.0000000000003
23,17.9999999999997
24,18.2499999999993
25,19.9999999999984
26,19.9999999999997
27,21.2499999999971
28,21.2500000000007
29,22.250000000001
30,24.2499999999998
31,24.9999999999999
32,25.0000000000022
33,25.2499999999974
34,26
35,26.000000000004
36,27.2500000000002
37,28.25
38,28.9999999999999
39,29.0000000000005
40,29.2499999999999
41,31.2499999999995
42,31.2500000000008
43,32.0000000000001
44,34.0000000000003
45,34.0000000000007
46,34.2499999999989
47,36.2499999999999
48,36.2500000000018
49,36.9999999999998
50,37.0000000000038
51,37.2500000000001
52,38.2500000000003
53,39.2499999999992
54,39.9999999999991
55,40.0000000000032
56,40.9999999999999
57,41.0000000000034
58,42.2499999999996
59,43.2500000000009
60,45.0000000000002
61,45.0000000000003
62,45.2500000000003
63,46.2499999999977
64,46.2500000000016
65,48.2500000000007
66,49.2499999999989
67,49.9999999999958
68,49.9999999999998
69,50.0000000000011
70,51.2500000000008
71,51.2500000000014
72,52
73,52.0000000000009
74,52.9999999999993
75,53.0000000000027
76,55.2499999999999
77,55.2500000000009
78,56.25
79,57.2500000000037
80,57.9999999999994
81,58.0000000000009
82,58.2500000000003
83,60.2499999999994
84,61.0000000000001
85,61.0000000000009
86,61.2499999999995
87,64.2500000000003
88,64.9999999999987
89,65.0000000000003
90,65.0000000000007
91,65.0000000000014
92,65.25
93,66.2499999999999
94,66.2500000000006
95,67.2500000000019
96,67.9999999999999
97,68.0000000000007
98,69.2500000000002
99,70.2499999999993
100,71.9999999999997
101,72.2499999999995
102,73.0000000000001
103,73.0000000000002
104,73.2499999999999
105,73.9999999999998
106,74.0000000000001
107,76.2500000000008
108,76.2500000000014
109,78.2500000000001
110,79.2499999999993
111,79.9999999999987
112,79.9999999999994
113,81.2499999999988
114,81.2499999999995
115,81.2500000000002
116,81.9999999999978
117,81.9999999999996
118,83.2500000000004
119,84.2500000000004
120,84.9999999999967
121,84.9999999999998
122,85.0000000000008
123,85.0000000000008
124,87.2500000000009
125,88.25
126,88.9999999999974
127,88.9999999999999
128,89.9999999999994
129,90.0000000000009
130,91.2499999999985
131,91.2499999999991
132,92.2499999999993
133,93.2499999999994
134,94.2500000000002
135,94.2500000000006
136,96.9999999999987
137,97.0000000000004
138,97.2500000000004
139,97.9999999999999
140,99.2499999999999
141,99.9999999999977
142,100
143,100.249999999999
144,100.999999999997
145,101
146,101.25
147,102.25
148,103.999999999999
149,104
150,105.25
151,105.999999999997
152,106
153,106.249999999998
154,106.249999999998
155,106.249999999999
156,108.249999999998
157,108.999999999999
158,109.000000000002
159,111.249999999998
160,111.25
161,112.250000000002
162,112.999999999999
163,113.000000000001
164,114.250000000002
165,115.25
166,115.999999999998
167,116
168,116.999999999999
169,116.999999999999
170,119.250000000002
171,120.249999999999
172,120.250000000002
173,121.249999999999
174,121.250000000002
175,122
176,122.000000000001
177,123.250000000001
178,123.250000000002
179,124.999999999991
180,124.999999999998
181,125
182,125.000000000001
183,126.25
184,126.250000000001
185,127.25
186,127.999999999999
187,129.999999999995
188,129.999999999999
189,129.999999999999
190,130.000000000006
191,130.25
192,133.249999999999
193,133.25
194,135.25
195,135.999999999999
196,136
197,136.249999999998
198,136.249999999999
199,136.999999999999
200,137
201,137.249999999999
202,139.25
203,141.25
204,141.250000000001
205,142.25
206,144.25
207,144.999999999999
208,144.999999999999
209,145
210,145.000000000002
211,145.999999999999
212,146
213,146.249999999998
214,146.25
215,147.999999999998
216,148
217,148.250000000001
218,149
219,149
220,150.25
221,151.249999999999
222,153
223,153
224,153.25
225,154.249999999999
226,156.249999999998
227,156.25
228,156.999999999999
229,157
230,157.249999999998
231,157.25
232,159.25
233,159.999999999998
234,160
235,160.249999999999
236,162
237,163.25
238,164
239,164.000000000002
240,164.249999999998
241,165.249999999999
242,168.25
243,168.999999999998
244,169
245,169.25
246,169.999999999998
247,169.999999999999
248,170
249,170
250,171.25
251,171.25
252,172.249999999998
253,172.25
254,173
255,173
256,174.249999999999
257,174.25
258,175.25
259,177.250000000001
260,178
261,178.000000000001
262,180
263,180
264,181
265,181.000000000002
266,181.249999999997
267,181.250000000001
268,181.250000000001
269,183.249999999999
270,184.999999999994
271,184.999999999998
272,184.999999999999
273,185
274,186.249999999999
275,186.250000000001
276,189.25
277,190.249999999999
278,191.25
279,191.250000000001
280,192.25
281,192.999999999995
282,193.000000000001
283,193.25
284,194
285,194.000000000001
286,196.25
287,196.250000000001
288,196.999999999998
289,197
290,198.25
291,198.250000000001
292,199.25
293,199.999999999998
294,200
295,200.000000000001
296,200.249999999999
297,202
298,202
299,202.249999999999
300,204.999999999995
301,204.999999999999
302,205
303,205.000000000002
304,205.249999999999
305,207.25
306,208
307,208.000000000001
308,208.25
309,210.250000000001
310,211.249999999999
311,211.250000000001
312,211.250000000002
313,211.999999999999
314,212.000000000002
315,213.249999999999
316,214.25
317,216.249999999999
318,216.25
319,217.999999999998
320,218
321,218.250000000001
322,219.25
323,220.25
324,220.999999999997
325,220.999999999999
326,221.000000000001
327,221.000000000001
328,224.999999999998
329,224.999999999999
330,225.249999999999
331,225.249999999999
332,226
333,226.000000000001
334,226.25
335,226.25
336,227.25
337,229
338,229
339,231.25
340,231.25
341,231.250000000002
342,232
343,232.000000000002
344,232.249999999999
345,232.999999999999
346,232.999999999999
347,233.999999999999
348,234
349,234.249999999999
350,235.249999999999
351,237.25
352,237.25
353,238.250000000001
354,241
355,241
356,241.25
357,241.25
358,242
359,243.999999999998
360,243.999999999999
361,244.249999999999
362,245
363,245.000000000001
364,245.25
365,246.249999999999
366,246.25
367,249.249999999999
368,250
369,250
370,250
371,250.000000000002
372,252.25
373,253.249999999999
374,254.249999999999
375,255.249999999999
376,256.249999999998
377,256.249999999999
378,256.25
379,256.999999999999
380,257
381,258.249999999999
382,259.249999999998
383,259.25
384,259.999999999997
385,259.999999999999
386,260
387,260
388,261
389,261.000000000001
390,262.25
391,263.250000000001
392,264.999999999997
393,265
394,265.000000000001
395,265.000000000002
396,265.25
397,267.25
398,268.249999999999
399,268.25
400,268.999999999999
401,269
402,272
403,272
404,273.25
405,274
406,274.000000000001
407,274.25
408,276.249999999998
409,276.25
410,276.250000000001
411,276.250000000002
412,277
413,277.000000000001
414,277.249999999997
415,279.25
416,281
417,281.000000000001
418,281.249999999999
419,281.25
420,282.25
421,286.249999999999
422,286.25
423,288.000000000001
424,288.25
425,289
426,289.000000000001
427,289.25
428,289.25
429,289.999999999995
430,289.999999999999
431,290
432,290.000000000002
