# Domain: rectangle (FD, dense eig full spectrum)
# Resolution M = 77, dofs = 2926
n,lambda_n
1,1.24942558148634
2,1.99891875192587
3,3.24672320665314
4,4.24132183179285
5,4.99081500224089
6,4.99081500224398
7,6.23861945696612
8,7.2283652154563
9,7.982711252564
10,9.206251361207
11,9.95574453165005
12,9.9557445316559
13,10.2202614657682
14,11.2035489863695
15,12.9476407819627
16,12.9476407819657
17,13.1685291315979
18,15.185190995179
19,16.1120146964871
20,16.1604253819118
21,16.8615078669342
22,16.8615078669429
23,17.9125703113682
24,18.1093123216515
25,19.8534041172526
26,19.8534041172594
27,21.0286907126567
28,21.1253549113211
29,22.0909543304617
30,24.0205869629695
31,24.8183336466482
32,24.8183336466548
33,24.9138253124638
34,25.6633184829199
35,25.6633184829306
36,26.9111229376433
37,28.0311182466068
38,28.6552147332329
39,28.6552147332417
40,28.9855164923696
41,30.7578737945577
42,30.8927649464456
43,31.7240969819474
44,33.6201442626446
45,33.6201442626454
46,33.7497700448773
47,35.5546000897827
48,35.8912798276589
49,36.3040932602178
50,36.3040932602326
51,36.8329288625947
52,37.5518977149412
53,38.7146995742818
54,39.2959895105444
55,39.2959895105446
56,40.525907597925
57,40.5259075979346
58,41.533539723758
59,42.2929808916575
60,44.2609190399403
61,44.2609190399452
62,44.6930904436404
63,45.2848771419774
64,45.6204629095693
65,47.4737036398948
66,47.9653295207665
67,48.7148226912172
68,48.7148226912204
69,49.3277182139146
70,49.9626271459368
71,50.2498066713778
72,51.1666823752337
73,51.1666823752376
74,51.7067189415301
75,51.7067189415362
76,53.9442691547416
77,54.4222735255498
78,55.3338652209412
79,55.5592024080217
80,56.6716484709305
81,56.6716484709363
82,57.1555700066648
83,58.5510986583454
84,59.8844330708899
85,59.968492991217
86,59.9684929912198
87,62.0655252626966
88,62.8150184331466
89,62.8150184331536
90,63.5160281877462
91,63.5774118062213
92,63.577411806225
93,64.0628228878652
94,65.063048302861
95,65.8069146834636
96,65.8069146834685
97,65.9573806226521
98,67.744594651937
99,68.0444648966774
100,70.4217915230306
101,70.4705018064557
102,70.6092677685233
103,70.7718442128675
104,70.771844212868
105,72.3792224222084
106,72.379222422213
107,73.4623980567798
108,73.9846288128156
109,76.5981553999546
110,77.4737777338495
111,77.6776075481477
112,77.6776075481536
113,77.7637421354904
114,78.4273275861776
115,78.5132353059395
116,78.5132353059417
117,79.2236021390166
118,79.7610397606563
119,81.5051315562498
120,81.5051315562546
121,81.8447903938644
122,83.0199971995045
123,83.0199971995081
124,83.7426817694675
125,85.3330909214659
126,86.4700610856571
127,86.4700610856602
128,86.4794181641341
129,86.4794181641396
130,86.9301735884354
131,89.0088848309401
132,89.6828456856101
133,89.8643769163176
134,89.9220698387493
135,91.5739734757761
136,93.3758244209442
137,93.3758244209449
138,94.1349015374473
139,94.8869993681496
140,94.9581711788223
141,95.4307266304991
142,95.7076643492685
143,95.7076643492693
144,96.955468803986
145,97.1201929414341
146,97.1201929414393
147,97.5430072666559
148,98.6995605995875
149,98.6995605995921
150,100.937110812796
151,101.792762703437
152,102.177635036927
153,102.177635036928
154,102.275106347307
155,103.10908057287
156,103.664490128988
157,103.664490128991
158,104.775676314756
159,104.831470466331
160,106.877274728939
161,107.272190348567
162,107.823366716653
163,109.53092237243
164,109.530922372431
165,110.570253464268
166,110.570253464278
167,110.594573319421
168,112.788296246059
169,112.818409814228
170,112.818409814233
171,113.5372999223
172,114.286793092748
173,114.28679309275
174,114.737436309987
175,115.53459754747
176,116.375302089239
177,117.186405745743
178,117.278689343063
179,117.278689343066
180,118.807297445664
181,119.372064080256
182,119.372064080256
183,119.516239556275
184,119.694059581346
185,121.235348096726
186,122.243618872467
187,122.243618872475
188,123.631118114362
189,124.058295660633
190,124.466619391902
191,125.229139245218
192,125.229139245221
193,125.456403472417
194,127.050191910948
195,128.495870197329
196,129.149382207754
197,129.149382207757
198,130.012838857562
199,130.012838857565
200,131.286601487673
201,132.015121440347
202,132.073518962027
203,133.316565053466
204,133.380635586632
205,133.646077527719
206,134.130128757079
207,134.13012875708
208,135.377933211798
209,136.001726488994
210,137.122025007393
211,137.1220250074
212,137.951192823737
213,137.951192823742
214,138.920884775639
215,139.136644974632
216,139.329334987153
217,139.329334987154
218,139.359575220607
219,142.086954536798
220,142.086954536799
221,142.423568288557
222,142.423568288557
223,143.045748135381
224,144.485955831982
225,145.299739136743
226,146.984818360467
227,147.477852082302
228,147.722695391619
229,147.746273269645
230,148.591967601044
231,148.591967601044
232,148.99271787208
233,148.992717872085
234,149.267948005359
235,151.547374405622
236,152.442781611706
237,153.159900717794
238,154.35948652551
239,154.580855232471
240,155.027551859946
241,155.108979695961
242,155.108979695963
243,156.356784150678
244,156.523764030483
245,156.523764030486
246,157.794528488067
247,157.79452848807
248,158.100875946279
249,158.10087594628
250,158.363470168927
251,159.348544946993
252,160.338426159485
253,161.002697032032
254,161.002697032034
255,162.889083799709
256,163.065805475675
257,163.065805475677
258,163.444490142439
259,164.179247403794
260,165.64757014755
261,165.981969765453
262,166.27859007563
263,167.84707674884
264,168.15035556298
265,168.435303265371
266,168.435303265371
267,168.973866015773
268,169.971568810967
269,169.971568810967
270,170.77419959992
271,172.221980903275
272,172.221980903276
273,173.93879554517
274,174.13875165668
