# Domain: rectangle (FEM, dense eig full spectrum)
# Resolution Hmax = 0.35, dofs = 663
n,lambda_n
1,1.25002477080654
2,2.00010422527636
3,3.25044348092548
4,4.25102774748438
5,5.00155857331523
6,5.0016167939161
7,6.25309801910353
8,7.25456808723766
9,8.00641621049751
10,9.26003449787635
11,10.011422640262
12,10.0123931312077
13,10.2633498433183
14,11.2674035808369
15,13.0267309466669
16,13.0268415359527
17,13.2757360842638
18,15.2927715875983
19,16.3012217890509
20,16.3045242625036
21,17.0532214104639
22,17.0608193531905
23,18.0691775345089
24,18.323587629108
25,20.0913704420764
26,20.0973629847744
27,21.3495978784055
28,21.3635620694832
29,22.3771021476939
30,24.4105923286223
31,25.175527148531
32,25.1780802074298
33,25.4424991137186
34,26.1793630305065
35,26.2060961515924
36,27.4803740035517
37,28.5020903863304
38,29.2593983885173
39,29.2702807482861
40,29.5301843432676
41,31.5483299781645
42,31.5870718865891
43,32.3675062997773
44,34.4130720308292
45,34.455793518967
46,34.659565537985
47,36.77230865689
48,36.7832251548308
49,37.4760042819679
50,37.5533067084917
51,37.8208008442153
52,38.8541177246836
53,39.8939336110327
54,40.6402247541058
55,40.6905427877316
56,41.7481620209585
57,41.7592722592656
58,43.0503812875136
59,43.9896504471876
60,45.9353883670676
61,45.9494133994377
62,46.2514047150718
63,47.2148357864534
64,47.3386616536055
65,49.4222810555059
66,50.5398019987
67,51.1408051499187
68,51.3338593574815
69,51.3517826979066
70,52.5949141742032
71,52.6817924516801
72,53.3795325824899
73,53.5711431899162
74,54.4671088061239
75,54.5785589001883
76,56.9432634010063
77,57.1375285609
78,58.1256045181024
79,58.9523247706876
80,59.9226330679651
81,60.0625527241635
82,60.2439483333411
83,62.3533298647039
84,63.326889086914
85,63.3610494635939
86,63.5643590968765
87,66.7339900789568
88,67.3958278177467
89,67.5319310572084
90,67.6435353287496
91,67.6943825574161
92,67.9827767483111
93,69.1484331956613
94,69.2466631816521
95,70.3079946067241
96,70.9592641372225
97,71.1748841389409
98,72.4469601231145
99,73.6481520427022
100,75.5330356648135
101,75.7044507255106
102,76.4425291955809
103,76.6829255062767
104,76.8178815579313
105,77.6372927295412
106,78.2267630801888
107,80.1442620289493
108,80.544233233723
109,82.7310372699426
110,83.8475879071458
111,84.2683665709375
112,84.8124611898505
113,85.5814087754846
114,85.9767452902831
115,86.25651916786
116,86.5529516610599
117,87.4236840378904
118,88.75296893865
119,89.0350433806812
120,89.7120758918481
121,90.1398812169676
122,90.354342417085
123,90.8064800794706
124,93.2913791181941
