"n","lambda_n"
1,9.659343273811569
2,15.198779425217271
3,19.741407293328564
4,29.52853825379153
5,31.96702848740822
6,41.525963741532124
7,44.97285955494104
8,49.37750207250798
9,49.38003321672999
10,56.794469288269134
11,65.4565343672728
12,71.19541111717513
13,71.66854333618562
14,79.08011245805574
15,89.59562761972896
16,92.49537873117652
17,97.6156974205256
18,98.92821672460587
19,98.9364097671014
20,101.91601229121117
21,112.73395855176953
22,115.9113680804654
23,128.78290663590724
24,128.83444864923564
25,130.70972500456534
26,130.89407668865266
27,143.20913759630656
28,151.94540996311628
29,155.56058114481687
30,163.2029243299546
31,165.68537840317103
32,165.90091624773953
33,168.77748108437038
34,168.89467207778847
35,178.93286227263476
36,181.0376860804251
37,185.42852838188236
38,199.1202186052162
39,199.15750654120228
40,203.33173508201517
