# Domain: H_shaped (convergence of eigenvalue 1 against DOF, dense eig)
# Reference (MPS): lambda_1 = 7.7330888559000
method,resolution,dofs,lambda_1,time_s
DST,M = 14,136,8.1344661743757722,0.0034
FD,M = 14,136,7.8848095624550618,0.0017
DST,M = 17,205,8.0467389355486993,0.0055
FD,M = 17,205,7.8697764573879052,0.0021
DST,M = 29,621,7.8907626239629369,0.0176
FD,M = 29,621,7.8214112843050856,0.0141
DST,M = 38,1080,7.8440110275009003,0.0502
FD,M = 38,1080,7.8004970504523632,0.0443
DST,M = 47,1665,7.8171070936405149,0.1618
FD,M = 47,1665,7.7868061821786831,0.1412
DST,M = 53,2125,7.804864955807381,0.2762
FD,M = 53,2125,7.7801265833137982,0.2301
DST,M = 62,2920,7.7915014417193476,0.5716
FD,M = 62,2920,7.7724801134248063,0.4840
DST,M = 68,3520,7.7848175245038229,0.9094
FD,M = 68,3520,7.7685049188625177,0.8107
DST,M = 74,4176,7.7793664232047339,1.4555
FD,M = 74,4176,7.7651834540598754,1.2849
DST,M = 83,5265,7.7728684447811389,2.7831
FD,M = 83,5265,7.7611247737945508,2.6502
DST,M = 92,6480,7.7678142762507498,5.1634
FD,M = 92,6480,7.7578891375202534,4.9658
DST,M = 101,7821,7.7637866197196459,8.6501
FD,M = 101,7821,7.7552572434284981,7.9033
DST,M = 116,10336,7.7586504289712819,19.2239
FD,M = 116,10336,7.751828147912514,18.3093
DST,M = 137,14445,7.7535973110698384,47.9451
FD,M = 137,14445,7.7483673327785807,47.9359
FEM,Hmax = 0.4,167,7.8579388307319418,0.0366
FEM,Hmax = 0.36,227,7.8349328755187209,0.0337
FEM,Hmax = 0.21,671,7.7815303909167577,0.0719
FEM,Hmax = 0.1675,1041,7.7701098727884004,0.1076
FEM,Hmax = 0.128,1839,7.7587692229924228,0.3499
FEM,Hmax = 0.12,2087,7.7574018564175953,0.5510
FEM,Hmax = 0.103,2843,7.7522828339543191,1.8327
FEM,Hmax = 0.094,3455,7.7500549750485614,3.5995
FEM,Hmax = 0.086,4219,7.7481703590480517,7.0340
FEM,Hmax = 0.077,5225,7.7464867964426896,14.3780
FEM,Hmax = 0.0678,6811,7.74423754430505,31.1904
FEM,Hmax = 0.0632,7743,7.7433149443916687,45.3742
FEM,Hmax = 0.055,10295,7.7414114108528223,106.5700
FEM,Hmax = 0.0466,13955,7.7398456481672024,283.7658
