# Domain: H_shaped (convergence of eigenvalue 100 against DOF, dense eig)
# Reference (DST): lambda_100 = 213.0710621308714
method,resolution,dofs,lambda_100,time_s
DST,M = 14,136,211.53819069604421,0.0034
FD,M = 14,136,130.39483647211642,0.0017
DST,M = 17,205,212.07791873747033,0.0055
FD,M = 17,205,141.11165785678736,0.0021
DST,M = 29,621,213.43461462848489,0.0176
FD,M = 29,621,186.84397440463937,0.0141
DST,M = 38,1080,213.39039154687507,0.0502
FD,M = 38,1080,198.29029033534783,0.0443
DST,M = 47,1665,213.32854241015718,0.1618
FD,M = 47,1665,203.4370748698079,0.1412
DST,M = 53,2125,213.29238076205584,0.2762
FD,M = 53,2125,205.48722507366583,0.2301
DST,M = 62,2920,213.24742938115105,0.5716
FD,M = 62,2920,207.6247377535941,0.4840
DST,M = 68,3520,213.22284110045263,0.9094
FD,M = 68,3520,208.59918468192996,0.8107
DST,M = 74,4176,213.20176872305882,1.4555
FD,M = 74,4176,209.29141540721798,1.2849
DST,M = 83,5265,213.17546119979653,2.7831
FD,M = 83,5265,210.05983659951627,2.6502
DST,M = 92,6480,213.15412040075768,5.1634
FD,M = 92,6480,210.61261575109006,4.9658
DST,M = 101,7821,213.13655841871983,8.6501
FD,M = 101,7821,211.02349593214288,7.9033
DST,M = 116,10336,213.11345985476933,19.2239
FD,M = 116,10336,211.50667642256886,18.3093
DST,M = 137,14445,213.08996080918067,47.9451
FD,M = 137,14445,211.93385628129707,47.9359
FEM,Hmax = 0.4,167,323.72071207217846,0.0366
FEM,Hmax = 0.36,227,285.75998187775059,0.0337
FEM,Hmax = 0.21,671,223.75440684830818,0.0719
FEM,Hmax = 0.1675,1041,218.78612207974018,0.1076
FEM,Hmax = 0.128,1839,215.00718128847262,0.3499
FEM,Hmax = 0.12,2087,214.48555473432381,0.5510
FEM,Hmax = 0.103,2843,213.90650232660934,1.8327
FEM,Hmax = 0.094,3455,213.63687280872952,3.5995
FEM,Hmax = 0.086,4219,213.45086148625617,7.0340
FEM,Hmax = 0.077,5225,213.30860931644435,14.3780
FEM,Hmax = 0.0678,6811,213.19762680721936,31.1904
FEM,Hmax = 0.0632,7743,213.15899341972863,45.3742
FEM,Hmax = 0.055,10295,213.09490801234062,106.5700
FEM,Hmax = 0.0466,13955,213.05843862847686,283.7658
