# Domain: L_shaped (ground-state convergence against DOF, dense eig)
# Reference lambda_1 (MPS): 9.6397238440219
method,resolution,dofs,lambda_1,time_s
DST,M = 13,120,9.83433332049,0.1762
FD,M = 13,120,9.69384213065,0.0089
DST,M = 17,208,9.77870935653,0.0171
FD,M = 17,208,9.69099648393,0.0025
DST,M = 31,705,9.70416105049,0.1035
FD,M = 31,705,9.67350647605,0.0215
DST,M = 41,1240,9.68455263926,0.3702
FD,M = 41,1240,9.66565566322,0.0581
DST,M = 49,1776,9.67525047806,0.9808
FD,M = 49,1776,9.6613312868,0.7642
DST,M = 55,2241,9.67026680903,2.1965
FD,M = 55,2241,9.65883480234,0.2554
DST,M = 63,2945,9.66528453793,5.5213
FD,M = 63,2945,9.65620182013,0.4879
DST,M = 69,3536,9.66240546514,10.9823
FD,M = 69,3536,9.6546130815,0.8665
DST,M = 75,4181,9.66004965197,17.1778
FD,M = 75,4181,9.65327393646,1.2441
DST,M = 81,4880,9.65809106626,27.3332
FD,M = 81,4880,9.6521322884,2.0199
DST,M = 93,6440,9.65503306574,66.9196
FD,M = 93,6440,9.65029508668,4.7136
DST,M = 105,8216,9.65276691084,130.4388
FD,M = 105,8216,9.6488874093,8.4641
DST,M = 115,9861,9.65128964236,222.2021
FD,M = 115,9861,9.64794691026,14.2128
FEM,Hmax = 0.33,121,9.71460204171,1.5413
FEM,Hmax = 0.25,189,9.68912348256,0.1717
FEM,Hmax = 0.135,679,9.66245555065,0.1198
FEM,Hmax = 0.1,1313,9.65359080755,0.1654
FEM,Hmax = 0.085,1837,9.65091723217,0.4495
FEM,Hmax = 0.0755,2257,9.64968735166,0.7072
FEM,Hmax = 0.066,2985,9.64793841557,2.1507
FEM,Hmax = 0.06,3663,9.64674719332,4.5093
FEM,Hmax = 0.055,4329,9.64617116821,7.6771
FEM,Hmax = 0.051,5163,9.64542295386,13.4208
FEM,Hmax = 0.0446,6659,9.64460789526,28.6269
FEM,Hmax = 0.0395,8567,9.64385411583,60.4402
FEM,Hmax = 0.036,10509,9.64330964039,115.3839
