# Domain: L_shaped (convergence of eigenvalue 1 against DOF, dense eig)
# Reference (MPS): lambda_1 = 9.6397238440219
method,resolution,dofs,lambda_1,time_s
DST,M = 13,120,9.8343333204927124,0.0037
FD,M = 13,120,9.6938421306521114,0.0011
DST,M = 17,208,9.7787093565342573,0.0065
FD,M = 17,208,9.6909964839253462,0.0022
DST,M = 31,705,9.7041610504922744,0.0291
FD,M = 31,705,9.6735064760451301,0.0172
DST,M = 41,1240,9.6845526392530807,0.0806
FD,M = 41,1240,9.6656556632247401,0.0807
DST,M = 49,1776,9.6752504780706801,0.1888
FD,M = 49,1776,9.6613312868048773,0.1686
DST,M = 55,2241,9.6702668090611628,0.3574
FD,M = 55,2241,9.6588348023389052,0.3010
DST,M = 63,2945,9.6652845379956336,0.6524
FD,M = 63,2945,9.6562018201315993,0.5422
DST,M = 69,3536,9.6624054651249871,0.9545
FD,M = 69,3536,9.6546130814964499,0.8813
DST,M = 75,4181,9.6600496519646519,1.4994
FD,M = 75,4181,9.653273936460856,1.3490
DST,M = 81,4880,9.6580910662818713,2.2711
FD,M = 81,4880,9.6521322884010079,1.9968
DST,M = 93,6440,9.6550330657218808,4.7472
FD,M = 93,6440,9.6502950866760102,4.2436
DST,M = 105,8216,9.6527669107566965,9.0139
FD,M = 105,8216,9.6488874093000643,8.4517
DST,M = 115,9861,9.6512896428408137,15.3966
FD,M = 115,9861,9.6479469102597122,14.3171
DST,M = 141,14840,9.6485560123227181,53.9399
FD,M = 141,14840,9.6461545989025321,53.3383
FEM,Hmax = 0.33,121,9.7146020417127037,0.0278
FEM,Hmax = 0.25,189,9.6891234825551145,0.0242
FEM,Hmax = 0.135,679,9.6624555506530889,0.0598
FEM,Hmax = 0.1,1313,9.653590807551609,0.1711
FEM,Hmax = 0.085,1837,9.6509172321736969,0.3552
FEM,Hmax = 0.0755,2257,9.6496873516583506,0.8348
FEM,Hmax = 0.066,2985,9.6479384155658465,2.3865
FEM,Hmax = 0.06,3663,9.6467471933170579,4.5658
FEM,Hmax = 0.055,4329,9.6461711682060418,7.8422
FEM,Hmax = 0.051,5163,9.6454229538571781,13.6810
FEM,Hmax = 0.0446,6659,9.6446078952624248,29.1579
FEM,Hmax = 0.0395,8567,9.643854115832255,63.2787
FEM,Hmax = 0.036,10509,9.6433096403892566,113.9788
FEM,Hmax = 0.03,14955,9.6425771637377693,348.6968
