# Domain: L_shaped (convergence of eigenvalue 200 against DOF, dense eig)
# Reference (DST): lambda_200 = 919.0475533092276
method,resolution,dofs,lambda_200,time_s
DST,M = 17,208,1115.2652973230952,0.0065
FD,M = 17,208,600.32940435259138,0.0022
DST,M = 31,705,919.12147634078781,0.0291
FD,M = 31,705,728.17983775681569,0.0172
DST,M = 41,1240,919.10407336063838,0.0806
FD,M = 41,1240,806.6940275861532,0.0807
DST,M = 49,1776,919.09123950882042,0.1888
FD,M = 49,1776,835.68686670674231,0.1686
DST,M = 55,2241,919.08368640179219,0.3574
FD,M = 55,2241,847.28550188570148,0.3010
DST,M = 63,2945,919.0757881568461,0.6524
FD,M = 63,2945,862.94474839443933,0.5422
DST,M = 69,3536,919.07109458736102,0.9545
FD,M = 69,3536,872.54222331889969,0.8813
DST,M = 75,4181,919.06719387523867,1.4994
FD,M = 75,4181,879.93669602514183,1.3490
DST,M = 81,4880,919.06391394196328,2.2711
FD,M = 81,4880,885.73939190228816,1.9968
DST,M = 93,6440,919.05873281371726,4.7472
FD,M = 93,6440,894.1157101452128,4.2436
DST,M = 105,8216,919.05485082828636,9.0139
FD,M = 105,8216,899.74123833542217,8.4517
DST,M = 115,9861,919.0523025559296,15.3966
FD,M = 115,9861,903.12261474214347,14.3171
DST,M = 141,14840,919.04755330922762,53.9399
FD,M = 141,14840,908.60383566350049,53.3383
FEM,Hmax = 0.135,679,1058.3684887995457,0.0598
FEM,Hmax = 0.1,1313,959.5968857578149,0.1711
FEM,Hmax = 0.085,1837,943.28523543468975,0.3552
FEM,Hmax = 0.0755,2257,935.66099745775193,0.8348
FEM,Hmax = 0.066,2985,929.10983308973618,2.3865
FEM,Hmax = 0.06,3663,925.90074166118632,4.5658
FEM,Hmax = 0.055,4329,924.08211814743481,7.8422
FEM,Hmax = 0.051,5163,922.64619274362155,13.6810
FEM,Hmax = 0.0446,6659,921.27307413167603,29.1579
FEM,Hmax = 0.0395,8567,920.41844142458342,63.2787
FEM,Hmax = 0.036,10509,919.95512285908228,113.9788
FEM,Hmax = 0.03,14955,919.5029650575957,348.6968
