# Domain: ellipse_minus_quadrant (convergence of eigenvalue 1 against DOF, dense eig)
# Reference (MPS): lambda_1 = 5.8687462162950
method,resolution,dofs,lambda_1,time_s
DST,M = 19,103,5.5752658838894069,0.0040
FD,M = 19,103,5.4923711637094756,0.0013
DST,M = 27,214,5.4984494235366483,0.0044
FD,M = 27,214,5.4544556648519604,0.0022
DST,M = 43,547,5.6081097166005236,0.0231
FD,M = 43,547,5.5866824370662567,0.0140
DST,M = 59,1024,5.7143681173873233,0.0587
FD,M = 59,1024,5.7006328617544435,0.0506
DST,M = 71,1486,5.7333301591846464,0.1345
FD,M = 71,1486,5.722903828935614,0.1211
DST,M = 83,2029,5.7463424287062121,1.0348
FD,M = 83,2029,5.7382839463261721,0.2422
DST,M = 95,2662,5.7515024457453805,0.4784
FD,M = 95,2662,5.744827783382255,0.4510
DST,M = 107,3385,5.7554197843816155,0.8598
FD,M = 107,3385,5.7498238748491648,0.8301
DST,M = 119,4177,5.7787947987961843,1.5918
FD,M = 119,4177,5.7739265119590186,1.3926
DST,M = 135,5374,5.7885375904912069,3.0477
FD,M = 135,5374,5.7844962533933995,2.7649
DST,M = 151,6724,5.7965576959584872,5.7684
FD,M = 151,6724,5.7931296724404682,5.2210
DST,M = 171,8632,5.7979299167663916,11.3852
FD,M = 171,8632,5.7950178853391066,10.7752
DST,M = 191,10762,5.8073461133097402,21.2522
FD,M = 191,10762,5.8048344823243703,18.7606
DST,M = 223,14677,5.8119960634706462,49.4672
FD,M = 223,14677,5.8099611559056115,50.9864
FEM,Hmax = 0.4,99,5.9013965191987836,0.0830
FEM,Hmax = 0.3,215,5.8873879131455462,0.0365
FEM,Hmax = 0.19,572,5.8779348237225433,0.1687
FEM,Hmax = 0.143,1029,5.8748340010316316,0.0925
FEM,Hmax = 0.119,1482,5.8736591394850297,0.1832
FEM,Hmax = 0.1025,2059,5.8724642677788665,0.4678
FEM,Hmax = 0.0897,2671,5.8721382960323965,1.5673
FEM,Hmax = 0.0797,3421,5.8715274747285164,3.6795
FEM,Hmax = 0.072,4213,5.8711746612983315,7.7762
FEM,Hmax = 0.0635,5483,5.8707497237523221,16.5846
FEM,Hmax = 0.057,6748,5.8705286653839721,30.8130
FEM,Hmax = 0.0504,8697,5.8702277732783159,67.5362
FEM,Hmax = 0.0452,10893,5.8700929365331831,127.4739
FEM,Hmax = 0.0387,15164,5.8698295663759215,363.1908
