# Domain: ellipse_minus_quadrant (convergence of eigenvalue 100 against DOF, dense eig)
# Reference (DST): lambda_100 = 301.0883379005482
method,resolution,dofs,lambda_100,time_s
DST,M = 19,103,346.23576203155807,0.0040
FD,M = 19,103,185.82531625944546,0.0013
DST,M = 27,214,276.66974896610094,0.0044
FD,M = 27,214,190.45193096037778,0.0022
DST,M = 43,547,286.92232985049577,0.0231
FD,M = 43,547,248.11383688148644,0.0140
DST,M = 59,1024,293.68861599485263,0.0587
FD,M = 59,1024,272.2366147811411,0.0506
DST,M = 71,1486,295.07229862954927,0.1345
FD,M = 71,1486,280.5318977870196,0.1211
DST,M = 83,2029,297.71950098371354,1.0348
FD,M = 83,2029,286.61403942144739,0.2422
DST,M = 95,2662,298.07442938534814,0.4784
FD,M = 95,2662,289.40167721127261,0.4510
DST,M = 107,3385,297.85705435729216,0.8598
FD,M = 107,3385,290.68550491024484,0.8301
DST,M = 119,4177,299.45453043108762,1.5918
FD,M = 119,4177,293.5058676156537,1.3926
DST,M = 135,5374,299.6839234169226,3.0477
FD,M = 135,5374,295.33206224056914,2.7649
DST,M = 151,6724,299.81171952822109,5.7684
FD,M = 151,6724,296.40461114884215,5.2210
DST,M = 171,8632,300.11352499081539,11.3852
FD,M = 171,8632,297.09268821858268,10.7752
DST,M = 191,10762,300.46245143137116,21.2522
FD,M = 191,10762,298.02906919434406,18.7606
DST,M = 223,14677,300.6306190724805,49.4672
FD,M = 223,14677,298.79467258862871,50.9864
FEM,Hmax = 0.3,215,405.69923086861104,0.0365
FEM,Hmax = 0.19,572,319.64515065263794,0.1687
FEM,Hmax = 0.143,1029,310.35013940457992,0.0925
FEM,Hmax = 0.119,1482,306.93566834285269,0.1832
FEM,Hmax = 0.1025,2059,305.32567211814512,0.4678
FEM,Hmax = 0.0897,2671,304.53784568154231,1.5673
FEM,Hmax = 0.0797,3421,304.07909068470087,3.6795
FEM,Hmax = 0.072,4213,303.83799992766467,7.7762
FEM,Hmax = 0.0635,5483,303.61265081100976,16.5846
FEM,Hmax = 0.057,6748,303.5087848171014,30.8130
FEM,Hmax = 0.0504,8697,303.42388828739291,67.5362
FEM,Hmax = 0.0452,10893,303.37656211272889,127.4739
FEM,Hmax = 0.0387,15164,303.3360249706148,363.1908
