# Domain: gww1 (convergence of eigenvalue 1000 against DOF, dense eig)
# Reference (DST): lambda_1000 = 940.9491535079908
method,resolution,dofs,lambda_1000,time_s
DST,M = 59,1311,928.20257792105247,0.0982
FD,M = 59,1311,550.55770748775808,0.0731
DST,M = 65,1596,929.6111470904242,0.1534
FD,M = 65,1596,552.30548525964991,0.1248
DST,M = 77,2250,932.79771331808479,0.3309
FD,M = 77,2250,640.12907122771696,0.2993
DST,M = 89,3016,937.61551299545363,0.6577
FD,M = 89,3016,714.43343258233563,0.5813
DST,M = 101,3894,939.25472543947114,1.2936
FD,M = 101,3894,762.43885744127601,1.0807
DST,M = 113,4884,939.95406951048506,2.2469
FD,M = 113,4884,795.4612510556874,1.9800
DST,M = 125,5986,940.33602312585663,3.7762
FD,M = 125,5986,821.5644878171787,3.4478
DST,M = 137,7200,940.5669914956909,6.2815
FD,M = 137,7200,840.90071264902247,6.2050
DST,M = 155,9231,940.76592364778628,13.1309
FD,M = 155,9231,861.22799540782444,13.0945
DST,M = 179,12331,940.88692839050157,29.8583
FD,M = 179,12331,880.98324965263839,29.3999
FEM,Hmax = 0.21,1379,1610.9446747910051,0.2165
FEM,Hmax = 0.194,1591,1415.720821524041,0.2752
FEM,Hmax = 0.1667,2184,1249.7662961405069,0.6573
FEM,Hmax = 0.144,2981,1124.534762122697,2.2134
FEM,Hmax = 0.1267,3835,1067.4006063541262,5.8368
FEM,Hmax = 0.113,4847,1001.7520780044842,12.1821
FEM,Hmax = 0.102,6068,988.80490197022459,22.5168
FEM,Hmax = 0.093,7298,976.46873172863616,38.4771
FEM,Hmax = 0.082,9152,964.60776020228718,73.7236
FEM,Hmax = 0.0712,12341,954.68140206315456,183.4225
