# Domain: gww2 (convergence of eigenvalue 1 against DOF, dense eig)
# Reference (MPS): lambda_1 = 2.5379439997980
method,resolution,dofs,lambda_1,time_s
DST,M = 17,100,2.5900603132989253,0.0043
FD,M = 17,100,2.5367881499452274,0.0008
DST,M = 23,189,2.5745624625623797,0.0032
FD,M = 23,189,2.5434186974400221,0.0017
DST,M = 35,451,2.5598190579681575,0.0115
FD,M = 35,451,2.5450956428588127,0.0085
DST,M = 47,825,2.553011888000793,0.0318
FD,M = 47,825,2.5442980256229064,0.0304
DST,M = 59,1311,2.549199658786705,0.0955
FD,M = 59,1311,2.5433714256913831,0.0700
DST,M = 65,1596,2.5478761955274365,0.1388
FD,M = 65,1596,2.5429613878937118,0.1192
DST,M = 77,2250,2.5459162064771128,0.3239
FD,M = 77,2250,2.5422634222220672,0.2714
DST,M = 89,3016,2.5445447413515083,0.6356
FD,M = 89,3016,2.5417059273186089,0.5498
DST,M = 101,3894,2.5435384269751324,1.2252
FD,M = 101,3894,2.5412576153581066,1.0622
DST,M = 113,4884,2.5427727382924425,2.1769
FD,M = 113,4884,2.5408925562477229,1.9575
DST,M = 125,5986,2.542173189426689,3.7015
FD,M = 125,5986,2.5405912690897718,3.3900
DST,M = 137,7200,2.5416927015154869,6.2117
FD,M = 137,7200,2.5403394107008657,5.8116
DST,M = 155,9231,2.5411299520396295,13.4328
FD,M = 155,9231,2.5400318953215999,11.8054
DST,M = 179,12331,2.5405786290985826,29.5402
FD,M = 179,12331,2.5397165202889229,29.0292
FEM,Hmax = 0.71,123,2.5605076899420172,0.0435
FEM,Hmax = 0.54,184,2.5513469605704078,0.0266
FEM,Hmax = 0.355,481,2.5457316666363994,0.0516
FEM,Hmax = 0.262,882,2.543010057247848,0.0697
FEM,Hmax = 0.21,1393,2.5416621646564379,0.1712
FEM,Hmax = 0.194,1545,2.541298188619741,0.2060
FEM,Hmax = 0.1667,2168,2.5407124742185232,0.5947
FEM,Hmax = 0.144,2960,2.5402183613568345,2.1597
FEM,Hmax = 0.1267,3876,2.5398529078415164,5.7800
FEM,Hmax = 0.113,4924,2.5395767209066946,12.4986
FEM,Hmax = 0.102,6028,2.5393490222902244,23.5432
FEM,Hmax = 0.093,7352,2.5391828368332612,40.7617
FEM,Hmax = 0.082,9144,2.5389854848935514,81.1338
FEM,Hmax = 0.0712,12328,2.5387925271855956,189.8786
