# Domain: isosceles_triangle (convergence of eigenvalue 1000 against DOF, dense eig)
# Reference (exact): lambda_1000 = 2657.0000000000000
method,resolution,dofs,lambda_1000,time_s
DST,M = 51,1275,2625.9948900590243,0.0841
FD,M = 51,1275,1558.0144811646733,0.0664
DST,M = 61,1830,2628.6268983713676,0.1965
FD,M = 61,1830,1622.6785625435068,0.1674
DST,M = 71,2485,2637.1595063049645,0.3942
FD,M = 71,2485,1884.4058002496915,0.3346
DST,M = 81,3240,2648.1224182843202,0.7459
FD,M = 81,3240,2055.3755301316137,0.6458
DST,M = 91,4095,2651.7799642317195,1.3859
FD,M = 91,4095,2172.8321680865529,1.2327
DST,M = 105,5460,2654.0505486978868,3.1395
FD,M = 105,5460,2289.9386988633669,2.7663
DST,M = 119,7021,2655.1360478397805,5.7485
FD,M = 119,7021,2360.944537966323,5.2498
DST,M = 133,8778,2655.7354461069435,10.5915
FD,M = 133,8778,2421.1939769321343,9.7887
DST,M = 147,10731,2656.0980123614036,19.4451
FD,M = 147,10731,2465.3453102917829,19.0044
FEM,Hmax = 0.13,1231,4740.4162418106935,0.1211
FEM,Hmax = 0.109,1816,3789.6547582591679,0.3084
FEM,Hmax = 0.094,2406,3390.5737566618909,0.9695
FEM,Hmax = 0.082,3207,3110.7233179370405,2.9469
FEM,Hmax = 0.073,4108,2967.1090972715256,7.0334
FEM,Hmax = 0.063,5576,2807.2137542359583,18.7241
FEM,Hmax = 0.056,7016,2760.7897419376309,35.8131
FEM,Hmax = 0.05,8896,2726.2998155171281,70.6797
FEM,Hmax = 0.0456,10656,2707.2573875325202,127.7119
