# Domain: rectangle (convergence of eigenvalue 100 against DOF, dense eig)
# Reference (exact): lambda_100 = 72.0000000000000
method,resolution,dofs,lambda_100,time_s
DST,M = 15,105,85.000000000000028,0.0033
FD,M = 15,105,47.090666379903112,0.0013
DST,M = 21,210,71.999999999999986,0.0037
FD,M = 21,210,48.295807137610389,0.0024
DST,M = 31,465,72,0.0152
FD,M = 31,465,60.619203585815555,0.0130
DST,M = 41,820,71.999999999999986,0.0311
FD,M = 41,820,64.179333509383952,0.0325
DST,M = 51,1275,71.999999999999915,0.0780
FD,M = 51,1275,67.116862088020767,0.0723
DST,M = 61,1830,71.999999999999829,1.1341
FD,M = 61,1830,68.89062833902635,0.1721
DST,M = 71,2485,71.999999999999019,0.3868
FD,M = 71,2485,69.996775702387936,0.3366
DST,M = 81,3240,72.000000000000867,0.7176
FD,M = 81,3240,70.593991303116439,0.6497
DST,M = 91,4095,72.000000000000895,1.3312
FD,M = 91,4095,70.931610054021434,1.2560
DST,M = 105,5460,71.999999999998522,2.9952
FD,M = 105,5460,71.244262578480715,2.8054
DST,M = 119,7021,71.999999999999062,5.5227
FD,M = 119,7021,71.409768487981211,5.1986
DST,M = 133,8778,72.000000000002771,10.4471
FD,M = 133,8778,71.526349302530704,10.0088
DST,M = 147,10731,72.000000000010161,19.3971
FD,M = 147,10731,71.61153594874358,20.0969
FEM,Hmax = 0.61,211,96.329551371887817,0.0464
FEM,Hmax = 0.42,441,77.259494330073167,0.1567
FEM,Hmax = 0.32,865,74.328611764677021,0.0931
FEM,Hmax = 0.26,1269,73.092615590147417,0.1327
FEM,Hmax = 0.22,1779,72.596884932316939,0.3401
FEM,Hmax = 0.188,2489,72.322703279183258,1.3501
FEM,Hmax = 0.165,3215,72.195412047145993,3.3160
FEM,Hmax = 0.147,4005,72.129219884033247,6.5733
FEM,Hmax = 0.127,5385,72.073006410698483,16.6706
FEM,Hmax = 0.1125,6993,72.043890413573322,33.6428
FEM,Hmax = 0.1,8825,72.027705158636593,66.0809
FEM,Hmax = 0.0914,10699,72.019036158251666,118.2351
