# Domain: H_shaped (DST, convergence sweep, dense eig full spectrum)
# Resolution M = 92, dofs = 6480
# Computation time: 5.1634 s
# Eigenvalues stored: 6480 of 6480
n,lambda_n
1,7.7678142762507498
2,8.5841931589867411
3,13.945036862943832
4,13.94883349170688
5,14.305770898035361
6,17.711516573582763
7,19.739208802178641
8,24.812502644338405
9,26.406968751098987
10,26.457483563468486
11,33.040943533470077
12,37.170645479596168
13,37.238841049184934
14,39.209282645561593
15,40.720391482609415
16,42.257077851080545
17,45.275945399521412
18,46.297926723302233
19,47.477819625057215
20,49.348022005450545
21,49.348022005463697
22,52.016591491852793
23,54.929717177769753
24,58.751347127846614
25,62.705597442570806
26,62.789550143369432
27,63.153559441604102
28,65.488994295661072
29,67.529084341370208
30,72.071578198577001
31,77.013512126885956
32,78.956835208708554
33,79.833442493421913
34,79.923300194404149
35,85.215709078035871
36,86.045580632046551
37,87.908166005046894
38,91.209566084440624
39,92.123518443783624
40,95.404363318420522
41,95.624666353721537
42,95.757671953985749
43,97.888759410015837
44,98.696044010897381
45,98.696044010940369
46,101.01408830890149
47,105.98977958717609
48,107.50172012470719
49,108.18646703245867
50,111.67507644767259
51,112.57542768462645
52,113.11562778659228
53,118.81227192466481
54,119.12916962840239
55,121.08719796136499
56,121.37113614998421
57,122.58792296034449
58,128.30485721415704
59,128.30485721417645
60,133.64624832693443
61,139.4639384782181
62,139.5257257470322
63,139.58865578360309
64,142.3955841790947
65,142.47669011148486
66,145.49448378162256
67,146.18817711570131
68,150.53222212057321
69,154.87127490126491
70,156.59044114780585
71,156.70972292249806
72,158.55313100506856
73,164.2157711752711
74,164.37523083363433
75,164.61521678862246
76,165.63778465552275
77,166.77460230880075
78,167.78327481847546
79,167.78327481851926
80,168.94574725405388
81,171.92789734369904
82,173.04088242313037
83,174.5274618835858
84,177.65287921961746
85,180.56889089755705
86,181.07574438706777
87,181.88108408928508
88,185.06274372458267
89,190.5141679436978
90,192.50900229315641
91,194.74727790129594
92,195.12078703041274
93,195.16677693964627
94,197.39208802178231
95,197.39208802180448
96,197.70542869346338
97,198.08950263719865
98,205.46981019218626
99,211.6685476346529
100,213.15412040075768
101,213.76413613555343
102,216.88571993740464
103,221.54985441962566
104,222.65780736182563
105,223.58492253567579
106,223.59532758997403
107,224.45281865622974
108,224.70426610820954
109,225.0204428754075
110,232.59550930458613
111,234.39826343469625
112,234.63383317709784
113,244.14815921740899
114,246.74011002723566
115,246.74011002724103
116,247.07862831070005
117,251.28824693913342
118,251.39976283165228
119,252.25891933850752
120,252.38872629925797
121,253.85982958426243
122,254.95338972855038
123,255.72039047322534
124,256.60971442828469
125,256.60971442832545
126,257.54374600240527
127,260.62411541712436
128,260.66977727437632
129,263.0167412588649
130,267.16150123857483
131,268.00920304762337
132,269.24135270208581
133,276.3670512016057
134,277.2062983301654
135,277.3216665715475
136,277.45095168678262
137,282.79956057205544
138,285.60489834595427
139,286.21852763157034
140,286.21852763158336
141,289.42425269848178
142,289.90798995824531
143,289.90814778550032
144,290.33655961981873
145,294.8054501206384
146,294.83784716326898
147,302.07610814932508
148,302.24641401500617
149,305.44022533937698
150,305.88294629320967
151,306.68949898119729
152,314.42483955218881
153,315.82734083486451
154,318.61801117376149
155,318.6806289724309
156,319.61169639423832
157,322.92654200372635
158,323.30141608135813
159,325.30391427921359
160,326.8221693125904
161,327.43100678971581
162,331.92792870871972
163,335.56654963698332
164,335.56654963705131
165,338.61521811270183
166,341.66964923271371
167,346.07392326129553
168,348.32929813255458
169,349.58219669532434
170,352.91604883188563
171,354.0011817926503
172,355.45436953152858
173,356.40865808526479
174,359.05458415733494
175,360.72178799177999
176,361.45444230698865
177,363.16565253221336
178,363.46445421518729
179,364.70757874075423
180,365.17536284026443
181,365.17536284030484
182,365.44268899914886
183,368.63963799995838
184,370.33051929572946
185,372.83956268280622
186,374.020929112901
187,374.2228738648376
188,374.30004951777227
189,381.49140684095767
190,382.40454628136871
191,385.01806708086605
192,387.54694752591644
193,389.38579088809809
194,390.7092774335153
195,391.27694377068849
196,394.78417604358566
197,394.78417604362193
198,398.84817427136988
199,404.38548976907384
200,404.58275178307497
201,404.65378044466746
202,404.65378044467087
203,405.27963540843649
204,405.74074067539743
205,405.75109401891228
206,406.50247728382323
207,412.53988306578276
208,415.29790968308964
209,416.81233252242527
210,416.86732900495934
211,422.91507364088977
212,428.23174572650646
213,429.80194710346751
214,433.12515347498345
215,433.77272291496911
216,433.77799679662633
217,435.53607918798878
218,439.36160680092894
219,441.96200286072673
220,442.56377065144409
221,444.13219804902354
222,444.132198049024
223,446.71341460690763
224,448.25202215869598
225,448.40366493187543
226,451.88861208362727
227,455.93989472520582
228,460.97271043652842
229,462.51357439851267
230,464.08390389606365
231,464.66994762039036
232,470.68218844204978
233,472.14860403113255
234,475.41606481058432
235,476.50727990003884
236,476.6913725595856
237,479.82334700928237
238,480.46905964995506
239,480.82763183267997
240,485.54341442231902
241,486.46374108855099
242,487.46697216246247
243,489.81461859184083
244,490.68895419223696
245,491.81836553046509
246,492.9238196590174
247,493.48022005446376
248,493.48022005446853
249,493.48022005449423
250,494.09345915150749
251,494.75444074141194
252,495.9068329407836
253,500.21287994537334
254,505.79408353610961
255,507.76099616432975
256,512.20862468841165
257,512.70219852978971
258,513.21942885662941
259,513.21942885663395
260,514.97727086571808
261,518.34912733850672
262,518.91601613248349
263,523.08903325772201
264,523.08903325773326
265,523.77508092369965
266,524.82895890386192
267,525.46521757527398
268,526.27012161129335
269,530.11614880280808
270,534.28350313851286
271,534.60846219689108
272,538.00652283172792
273,540.21101477361731
274,540.31250585778162
275,541.89765829386431
276,542.21608747238872
277,542.48685271153772
278,544.39293593534944
279,552.48223733246721
280,556.06525778847674
281,557.06454980823742
282,557.45669488970714
283,559.99112770451325
284,561.42452451502675
285,563.74446871363671
286,567.64291384015803
287,569.14137279998613
288,569.2653218214615
289,569.52794056004859
290,572.43705526313772
291,572.43705526318149
292,575.55070613608871
293,576.67140035400485
294,583.07779557019546
295,586.36167111111615
296,588.13265182903228
297,588.46315751253633
298,589.79889636923326
299,592.44800625010578
300,594.40621583455527
301,596.2478093732426
302,597.08243068529475
303,597.84780587199452
304,602.04586846643201
305,602.04586846644906
306,609.05841987335987
307,612.76235694075297
308,614.97257521790812
309,615.51167900110363
310,615.63688476858067
311,616.21516441015842
312,619.82775397021805
313,621.87571066738849
314,622.82237984016467
315,623.29099311789014
316,626.48038413093309
317,630.29492005476231
318,636.63879879148067
319,637.45215262526028
320,637.59557168986737
321,638.12592620135717
322,639.61667037621078
323,640.277135726457
324,641.52428607077843
325,641.52428607078707
326,641.52428607080253
327,641.52428607080299
328,641.53104107665013
329,642.54779191850503
330,645.30401347199302
331,649.01203503743955
332,649.10375923880849
333,654.87330940142056
334,656.63084569171656
335,659.0736563924961
336,659.35801398159788
337,661.8720845167494
338,662.66970712676891
339,666.22153735966776
340,666.91059867818979
341,668.17161063551009
342,669.31468431610176
343,671.09990088198867
344,671.13309927405828
345,671.1330992740875
346,671.86938210180961
347,679.40247750291371
348,681.1635189088023
349,682.40848651376962
350,683.53640532756935
351,687.0918066563878
352,688.01317300883386
353,688.28589994740446
354,689.24363117975065
355,693.1162910810192
356,694.86063484459578
357,695.10224216136999
358,698.55822281220981
359,699.8200943943574
360,700.90518427154962
361,705.44733024246545
362,707.300609666941
363,709.2647717739236
364,709.37119450170292
365,710.61151687842494
366,714.1576491700979
367,720.48112127952515
368,720.4811212795363
369,722.72300756180232
370,723.68272535166932
371,723.92672941320359
372,726.66398458027027
373,730.35072568057524
374,730.35072568061901
375,734.55497221454709
376,734.69898732564798
377,735.57182848936827
378,736.3055108012818
379,741.07982268972034
380,744.17849425517784
381,745.54962974963894
382,748.54535867665402
383,749.26244668185302
384,750.05570802165698
385,750.715187122977
386,751.50935532985409
387,757.57560360226523
388,757.96490727089247
389,766.49189093753819
390,768.08604300476679
391,769.40577397661571
392,770.31943216804029
393,773.85646272406791
394,774.21429781768575
395,774.49282514129982
396,776.04734231741566
397,778.36209669444327
398,780.19965503856884
399,781.07385713580754
400,784.63930680957299
401,787.84026935098166
402,789.56835208714972
403,789.56835208717951
404,790.07301847465726
405,795.57062766184583
406,798.33727984488723
407,801.04775564508066
408,802.08605478538334
409,803.33120715516827
410,803.89110543964796
411,806.25824380433062
412,806.79067282486233
413,808.64132845880636
414,809.30756088931298
415,809.30756088931923
416,812.43369677976159
417,812.73841836985503
418,813.63834894071726
419,814.62746870685953
420,815.13539098748981
421,816.89512891935738
422,824.92289662574456
423,826.8066345597291
424,827.60717431330227
425,828.00706807598806
426,828.26209777202814
427,829.40224937374285
428,830.10629737324348
429,833.24729809397479
430,833.59494481819468
431,837.03905101542978
432,838.91637409258431
433,838.91637409258794
434,838.91637409258874
435,838.91637409259226
436,839.89309088216294
437,840.22177302745104
438,842.07523435271571
439,850.50434748657699
440,852.11793394403026
441,853.43574033139794
442,854.09327071671146
443,856.10449289813948
444,862.79356334775525
445,864.63035761591914
446,864.7303445795784
447,868.59803706376522
448,869.34993350041043
449,870.35883150142251
450,871.6712314074191
451,872.24725820182175
452,875.45722561564014
453,878.39479169694448
454,878.39479169700576
455,880.97573082328097
456,882.85682640980906
457,883.65279378754053
458,888.26439609804208
459,888.26439609805846
460,891.0152083454733
461,891.64954940576206
462,893.65830180970556
463,895.81670133808461
464,896.42931045949217
465,898.81206980505226
466,898.89924932143992
467,899.84255281045068
468,900.88057396963654
469,906.03498161677919
470,908.88054374171679
471,913.08070926682194
472,913.08746135823947
473,917.44131916808874
474,920.8387337102489
475,923.66961549730979
476,924.42453533630135
477,928.77501797199989
478,931.73218087899602
479,932.04962956113548
480,932.11215359063613
481,933.88925944586663
482,934.74311788210252
483,936.67920145525477
484,937.66694497108438
485,938.14878242819805
486,943.92675785332699
487,946.48760713081788
488,947.58377865968521
489,948.87869299050215
490,953.04326971318039
491,954.17553303768875
492,956.5120999362623
493,957.35162690565869
494,957.35162690566415
495,959.93414479457113
496,961.04276945878382
497,961.48768018859323
498,962.22999712603257
499,967.22123130677483
500,970.65478249607565
501,979.56359999705649
502,982.71889610517655
503,983.77443591608858
504,983.83132453776864
505,984.10752098068156
506,986.96044010893002
507,986.96044010894252
508,990.76663704690122
509,991.94163549465713
510,993.46358262858416
511,993.64595397093183
512,994.19986255457388
513,994.50294426470032
514,995.97974877874094
515,996.83004451001932
516,996.83004451006002
517,1000.1797194501261
518,1001.6910732886303
519,1001.702707980727
520,1003.1757157642236
521,1005.8631169522926
522,1008.8010576346672
523,1009.52361829778
524,1011.328665345355
525,1011.9653192240944
526,1012.8330144794298
527,1013.5379932241201
528,1015.6469066044929
529,1019.4187993602517
530,1020.7199033481238
531,1022.9112476947085
532,1024.6725703707075
533,1024.8927929358183
534,1026.382773655075
535,1026.4388577132631
536,1026.43885771329
537,1026.9587656429919
538,1034.0899093965438
539,1039.2744205035156
540,1039.9924149471019
541,1042.33124549952
542,1043.5644845166953
543,1045.312223456498
544,1046.178066515457
545,1046.1780665154697
546,1049.2162136789016
547,1054.6703829538317
548,1055.1398173837686
549,1055.644206529533
550,1057.2304156291439
551,1062.2910349458064
552,1063.4836940349896
553,1063.912498267634
554,1064.3301552365197
555,1065.2828491073956
556,1068.4542968451972
557,1070.6906419857362
558,1072.0248009034187
559,1075.7868797187443
560,1075.7868797187523
561,1076.7496294708562
562,1078.5421599997123
563,1078.9515071970104
564,1079.6792145558959
565,1087.7987871180001
566,1087.830230812104
567,1088.9258171453976
568,1092.3326329437064
569,1093.1999514911099
570,1093.6220174342668
571,1094.0287810762406
572,1097.4387700358989
573,1100.7985763567401
574,1101.7085782908775
575,1102.2777087491995
576,1103.0574414031794
577,1109.2885833459713
578,1115.1642880266315
579,1115.2324083435626
580,1115.2652973230756
581,1115.2652973230934
582,1123.1224913944707
583,1124.5742296678611
584,1125.5059249062922
585,1129.2539016911992
586,1131.3985221598075
587,1132.5271025213349
588,1132.864174271486
589,1135.200746756992
590,1138.1442448500511
591,1139.2524538876175
592,1139.9812849042521
593,1140.1366827037998
594,1144.8741105263643
595,1144.8741105263912
596,1145.8942144185125
597,1154.5075513538993
598,1154.743714927444
599,1154.7437149274542
600,1156.3533462250755
601,1156.571252536708
602,1160.0808578251324
603,1161.067004754088
604,1161.8725420269291
605,1164.3756953274594
606,1166.4376619591444
607,1166.4703502867578
608,1168.6758687766028
609,1172.9535066593864
610,1173.5502777009217
611,1174.8351839155969
612,1183.5364323654971
613,1183.8086374927868
614,1191.278124392597
615,1194.1200108489136
616,1194.9530182146818
617,1195.6730430001503
618,1197.2166893753094
619,1197.4125546310408
620,1199.1818095201843
621,1200.9636564173595
622,1204.0820009694655
623,1204.0917369329009
624,1204.0917369329052
625,1204.4569218374036
626,1205.1442682402003
627,1205.2597516284254
628,1205.3488673634884
629,1206.3129612149814
630,1209.1451767125784
631,1210.4072454538905
632,1212.3958192327395
633,1212.7617141915687
634,1214.2944953283159
635,1217.8042842367122
636,1221.0066672063772
