# Domain: H_shaped (FD, convergence sweep, dense eig full spectrum)
# Resolution M = 116, dofs = 10336
# Computation time: 18.3093 s
# Eigenvalues stored: 10336 of 10336
n,lambda_n
1,7.751828147912514
2,8.569091572754493
3,13.932188979716148
4,13.936089918871117
5,14.297474080775119
6,17.699725911450319
7,19.728537311387356
8,24.782238053502141
9,26.370638265392284
10,26.422278451703228
11,32.981363994953881
12,37.113761185012621
13,37.177042095754018
14,39.094183056085512
15,40.601652196503125
16,42.165753095064176
17,45.185653711514639
18,46.209963977143531
19,47.383903891815592
20,49.257369711149018
21,49.257369711162262
22,51.90759447640059
23,54.81625746439169
24,58.611338053746287
25,62.52432072214836
26,62.661598509896216
27,62.972816164976891
28,65.349269853606756
29,67.346751610800823
30,71.896741520184193
31,76.688143046572236
32,78.786202110992335
33,79.566006516742291
34,79.644910914950316
35,84.924960791771539
36,85.63541930226701
37,87.56480954257222
38,90.77804829056933
39,91.73047722952974
40,94.994433711634784
41,95.210306153513045
42,95.386206764865079
43,97.466119441126295
44,98.259260045649199
45,98.259260045682552
46,100.61281929962966
47,105.53414745230153
48,107.0498184008752
49,107.78025190598639
50,111.26533448150401
51,112.07929611297082
52,112.56479059290412
53,118.16601247323567
54,118.45707429016002
55,120.58183734484714
56,120.76112964274235
57,122.06306638086363
58,127.78809244551573
59,127.78809244554695
60,133.05062358451235
61,138.51967421908336
62,138.84823381625949
63,138.96351875885748
64,141.43447007300884
65,141.50416642289983
66,144.61254258889818
67,145.26959107993537
68,149.8230088781774
69,154.03965746943322
70,155.39509188870323
71,155.75768191081178
72,157.31410686291269
73,162.92890936889992
74,163.01262810468151
75,163.37398437433467
76,164.64983329246292
77,165.44248975592635
78,166.41641225256791
79,166.41641225257092
80,167.66767749511112
81,170.8546072317607
82,172.00085210625812
83,173.21555569379305
84,176.78998277990723
85,179.13869028089456
86,179.67950728661077
87,180.6234034266663
88,183.78518186358417
89,189.09954026433144
90,191.16308545692789
91,192.87007917488864
92,193.27802900169624
93,193.38053513071091
94,195.94524465225237
95,195.945244652274
96,196.37900267499941
97,196.90835661692691
98,204.0269313146685
99,210.18647335792099
100,211.50667642256886
101,211.93897338171209
102,215.2405652277323
103,219.30966334594154
104,220.79938719200578
105,221.71772544206232
106,221.83121744289565
107,222.40861097131108
108,222.43415978648812
109,222.50711847443907
110,230.73717172404014
111,232.30996426172561
112,232.82134315245685
113,241.58545841507993
114,243.93505371142015
115,244.9471349868175
116,244.94713498681932
117,248.12535112003738
118,248.1339093879462
119,249.11256055469272
120,249.91110939538535
121,251.2595033850036
122,251.67560835024523
123,252.69496885317758
124,253.28680104561982
125,253.28680104569042
126,255.14747366164528
127,257.47093183352058
128,258.27304817174172
129,260.52842154914657
130,264.235570905332
131,265.09657169678616
132,266.12788661546819
133,273.63637541443723
134,274.24739418983575
135,274.5633622666233
136,274.59461396280904
137,279.59542078931929
138,282.81563344514882
139,282.81563344539978
140,282.9947946620814
141,285.39896275416731
142,285.68309170817099
143,286.04571196675965
144,287.01026692191505
145,291.49861770924514
146,292.01733661002515
147,298.69253011026291
148,299.13878590650666
149,302.03627486039835
150,302.80063466272617
151,303.06928858797835
152,310.95984661802487
153,313.10428719360726
154,314.15228524428875
155,314.3917469787782
156,316.14497550839792
157,318.85060788410857
158,319.11724219016173
159,319.84496019380623
160,321.37332836564451
161,322.36268725566811
162,328.3750273954584
163,331.8175237798286
164,331.81752377994331
165,335.02209872339034
166,338.29489531927584
167,340.48921239175161
168,344.04924029784161
169,344.54674808974084
170,347.36280406754742
171,348.91113765225049
172,349.94919747833671
173,351.07392400136285
174,353.95503346776951
175,354.01044215731662
176,354.927521755979
177,356.90097351933605
178,357.58927100162134
179,358.30703861857887
180,358.30703861876242
181,358.88087606498004
182,358.9425623254026
183,363.77445452623959
184,365.96559506477689
185,367.65759797578767
186,367.78048448153834
187,368.62340275030988
188,369.99073547942618
189,375.70710823589957
190,376.02725969711747
191,378.38636147567797
192,381.83553853238027
193,384.1432482472535
194,384.49182253496991
195,386.06069085042236
196,387.83587101839362
197,387.83587101840413
198,392.31338707341251
199,396.78682516399311
200,396.86781010352399
201,396.93281220403225
202,399.06457625785015
203,399.31213757493646
204,399.71670126683495
205,399.97467598662018
206,399.97467598672677
207,405.61362099011166
208,407.98055309129342
209,410.61405093503078
210,411.59415013046555
211,416.74013907414223
212,422.53768830066457
213,422.88947267680851
214,425.16036358231418
215,425.52212291975286
216,426.2501087276392
217,427.58592091670636
218,433.14686623377565
219,435.35836701607212
220,436.24898853425515
221,436.70410078349704
222,436.83776135292618
223,436.83776135292965
224,437.95303360217446
225,437.99359627639069
226,445.42888851752508
227,449.08921750930102
228,454.16958051710071
229,455.19719897960942
230,455.72821449899305
231,455.91922275152376
232,463.0605238154817
233,463.07661562742987
234,466.32565336401018
235,466.73415967905373
236,467.44815097047081
237,470.9876334567806
238,471.30162218037003
239,472.65841631224481
240,475.27275882424107
241,475.29149922622145
242,475.53525556564165
243,478.80144744030252
244,479.26454662480108
245,480.32955396705211
246,480.40867433054575
247,480.79602843156374
248,480.79602843157312
249,485.16838387379352
250,485.28671322712529
251,486.80424095171992
252,486.84506477969421
253,488.63710411512699
254,494.69068460860632
255,496.06864808964036
256,500.07552165199354
257,500.13091087605551
258,504.99491355977068
259,504.99491355983167
260,505.87029556807204
261,506.63663649579735
262,510.32486083125929
263,510.32486083126469
264,510.52799603899382
265,511.98842284287628
266,515.29309143527394
267,515.37289221865296
268,517.08126497338446
269,518.50918596493091
270,523.65754752645125
271,524.28042951043608
272,524.76671221662355
273,525.07619353696896
274,525.14620266167412
275,529.06566075123249
276,530.39759943065667
277,530.92932767750335
278,535.38822305291876
279,542.92692905776482
280,543.60799310723496
281,544.91789812171533
282,546.49361249526464
283,550.53416107446196
284,551.47109507229015
285,552.73929633543867
286,552.94755105242677
287,553.90064713919116
288,554.9569875903411
289,558.29324271434211
290,559.32675116569362
291,559.32675116573432
292,564.91941853080971
293,565.13944778299162
294,569.69905383590822
295,571.0705031629127
296,571.55359295518269
297,573.72238806091048
298,574.2238581231743
299,578.51400018983918
300,581.75379414233009
301,581.82846969843513
302,584.46649473670709
303,585.79431410799305
304,591.86530235285238
305,591.86530235285693
306,594.89550861573355
307,595.83706043742325
308,599.24059877919126
309,599.2464148270102
310,600.16296073417607
311,601.63954438417738
312,604.12967495574935
313,607.57583291987976
314,607.73092300841074
315,608.32607062144234
316,610.76981573051626
317,615.19017146672729
318,616.24837742390696
319,617.27916708306088
320,618.04869555513812
321,619.00211886084924
322,619.10323633116286
323,619.959382382336
324,619.95938238238307
325,620.47960361266769
326,627.48390337254909
327,627.4839033726139
328,628.22781348673811
329,628.27701658803028
330,629.28670854332142
331,630.2184991475433
332,630.98309234802707
333,637.43092950384892
334,638.05451741746481
335,639.27425360609129
336,643.17842546367751
337,644.35455866747338
338,644.58651177863169
339,647.67328811828713
340,648.70516622281434
341,649.48821478202422
342,649.48821478211073
343,651.76378288883916
344,652.54888118194265
345,653.7160452172435
346,655.53482545875215
347,662.03508329764429
348,664.63429974603082
349,665.6764991565492
350,666.94006488648665
351,668.53517900521172
352,668.96813695931633
353,669.45307831214154
354,669.55912986780208
355,670.07187319636967
356,672.2982751357647
357,673.45958335505577
358,679.6998658818876
359,680.37882635123015
360,683.50385218224869
361,685.90088441943556
362,690.24459865693086
363,691.06990290403655
364,693.35674881445516
365,693.51467618058348
366,696.88553992589163
367,698.27468701720136
368,698.28594867453239
369,698.49010511649487
370,698.49010511656945
371,699.13113901367274
372,706.32039672617645
373,713.97630904803464
374,714.35429216567172
375,714.35429216572368
376,716.13444231187043
377,716.5233584732473
378,718.80028830767571
379,719.75666202762557
380,721.31655595448399
381,721.6686558356289
382,721.9430523366741
383,723.82899171023121
384,724.5136091981143
385,730.45257887711819
386,732.08483773583123
387,737.39589159519869
388,740.29662076442764
389,742.61254459614793
390,744.19869927108948
391,745.08826975186628
392,746.24995816944556
393,748.09947666418623
394,749.17300875528156
395,750.96069078058883
396,751.36293336969516
397,753.44993592823641
398,758.54834871952824
399,759.24934695664388
400,763.04356949395617
401,766.64725732337706
402,766.64725732345426
403,768.08134299747462
404,769.25990173037007
405,770.01740356114396
406,770.05848928151124
407,770.27988800766786
408,772.35379238477333
409,772.77495831920487
410,773.63302458501266
411,774.89457271925005
412,774.89457271926813
413,777.04387805055819
414,779.30309254460042
415,779.76660868675856
416,780.99013003549453
417,782.80917518060835
418,787.96139305119993
419,790.4489677493184
420,790.73569751683203
421,791.11965836723402
422,795.14106803119864
423,795.97864511151317
424,797.06685275504196
425,799.49899582765704
426,800.40564002000644
427,801.62317884580534
428,804.42340511903467
429,804.42340511906457
430,804.51616364996676
431,805.34122303376444
432,806.87885257064306
433,808.80542591789151
434,810.93896063785508
435,814.04142810803046
436,816.4374712157387
437,819.37452973874338
438,819.37452973880272
439,820.23454879213023
440,821.12615122107513
441,826.79114791646509
442,827.21579565737864
443,827.96570300382689
444,829.00597649672648
445,829.72111967851447
446,831.46942090203902
447,831.92200044081562
448,837.78134715501335
449,839.29423553180698
450,840.4824885260407
451,844.77215165050677
452,845.26072170755015
453,853.27779302607973
454,853.42529545352431
455,853.42529545359571
456,853.5176461164134
457,853.51764611647582
458,856.65856456571055
459,857.71223028275074
460,857.72702468556542
461,858.73590007944256
462,860.03073694747661
463,861.31450515036079
464,865.91670169200108
465,866.24856347144794
466,868.0200058390908
467,868.1120130311466
468,872.59825276640174
469,878.23694742174666
470,878.46792309350133
471,881.07275485877813
472,883.18546522768884
473,884.39737045855759
474,885.73830770709026
475,886.50630344445062
476,890.24341265246039
477,892.48166694401186
478,895.24967863405436
479,896.90179022911877
480,900.30545841765024
481,901.80583564121719
482,904.27426242161869
483,905.63326902016468
484,905.87273878538451
485,906.87147730832748
486,908.6459389388491
487,908.76290690350345
488,909.10108012187175
489,914.16122825456159
490,914.7055330594502
491,916.0823031067788
492,917.80208314931053
493,921.58244766031953
494,921.58244766036012
495,925.42888668378873
496,926.89056719959069
497,929.3138996006337
498,933.89290136252384
499,936.09314964243765
500,937.02095801492021
501,938.05407050871008
502,938.91207073663952
503,941.38009886415614
504,941.86351955154578
505,942.47362143287978
506,942.74856809054802
507,944.52103627779525
508,944.59678527959147
509,944.59678527963865
510,946.79446496541857
511,947.12954139686224
512,948.06079415151999
513,953.23887078574114
514,957.87519970499625
515,958.47966476442105
516,958.53788368951984
517,958.53788368955281
518,961.02620679493168
519,961.38460307361663
520,961.40244577391968
521,962.98176248452523
522,965.62913987521699
523,966.4066888969387
524,967.13612034077448
525,969.53668020438386
526,971.88785379384581
527,971.95373507024726
528,974.12561767927423
529,974.12561767932277
530,974.69777815057671
531,975.64920116648182
532,979.1650674925138
533,982.20051076890888
534,983.66525535540325
535,985.18243435601028
536,985.72370364592769
537,989.67559828449191
538,995.16468015299756
539,995.178091231248
540,999.35051677185265
541,1000.0733710877065
542,1003.7718221483543
543,1003.9056700752475
544,1005.4669355003322
545,1006.1473554339753
546,1006.3583273760205
547,1006.9763395826067
548,1008.4528364533945
549,1008.4528364534285
550,1009.03369124446
551,1010.9444864302538
552,1014.2752411654869
553,1023.1275080137536
554,1023.1275080137988
555,1023.8450690230596
556,1024.0561374200886
557,1024.3698978839623
558,1025.0136695263391
559,1029.7620036390072
560,1029.9389339653985
561,1030.7752456237752
562,1032.7605187368031
563,1033.0626767158051
564,1033.426504802904
565,1033.9244083657445
566,1037.693355489432
567,1040.5064539796444
568,1046.3713872357614
569,1048.736739853761
570,1049.0246253194316
571,1052.9959577936154
572,1053.8192128079236
573,1055.7105646802461
574,1056.9779868116673
575,1061.6640533007687
576,1061.8007372988959
577,1064.3982075126814
578,1065.2545077972898
579,1065.9876519830655
580,1067.5583305892549
581,1069.6326570921099
582,1070.5200280983236
583,1071.1345184078048
584,1077.2135247145304
585,1080.0356894036561
586,1081.0268735023185
587,1081.0268735023321
588,1081.1261441232018
589,1082.1480944899463
590,1084.0048002208971
591,1085.5053842166139
592,1088.1141425016292
593,1090.6857912193097
594,1091.2846602206321
595,1091.2846602206334
596,1094.2492864665544
597,1094.6038129105932
598,1100.0421190678389
599,1102.6558023931891
600,1109.7639051012929
601,1110.2804198489098
602,1113.4730740264506
603,1113.4730740265884
604,1114.4046042781854
605,1115.4746136573874
606,1116.2431137265771
607,1116.3009536605798
608,1120.2473739553311
609,1121.6434176191519
610,1123.3434033075566
611,1123.5348556420568
612,1125.3294615702564
613,1126.0520977296687
614,1126.3585004585946
615,1126.7281464954979
616,1127.9133068543101
617,1127.9654360945849
618,1127.9654360946729
619,1130.8816181016823
620,1131.5327849563744
621,1136.0408263745067
622,1138.2058066339127
623,1138.4715996656291
624,1141.1028159617067
625,1141.6427650071792
626,1143.670105096186
627,1144.4122762335448
628,1144.5772319263976
629,1145.0163293109611
630,1149.0628892987531
631,1151.0003550818151
632,1152.9484423677704
633,1154.0539721888051
634,1155.8893115814899
635,1156.9563112202532
636,1157.3755747068774
637,1157.4942684942962
638,1157.4942684943412
639,1157.9825689350268
640,1163.8166919210939
641,1165.2487624567057
642,1165.9584052008058
643,1172.3600890531334
644,1172.9226127996271
645,1173.192783190128
646,1175.8998140314814
647,1178.1550490136801
648,1178.1550490136833
649,1179.3046507431418
650,1181.8767151820023
651,1182.7774883765906
652,1183.9524243716733
653,1184.6230723981942
654,1187.3163047192968
655,1191.5257309502824
656,1191.6727900205406
657,1193.6363351646862
658,1193.8047879042099
659,1196.1676232081691
660,1198.1700846422755
661,1201.2874065369081
662,1202.9561023551871
663,1206.4961588288461
664,1206.4961588288547
665,1207.3908625376864
666,1207.4767811382044
667,1208.5873393459901
668,1209.0747121109659
669,1209.3045954215202
670,1216.3350970764686
671,1217.5866733100622
672,1219.0160686060578
673,1220.1902274530821
674,1220.4810166723221
675,1221.0969987772328
676,1223.7353437249644
677,1226.4493617573719
678,1229.5133503434231
679,1230.6639281229577
680,1232.2163732924514
681,1232.644600299458
682,1235.9620638392685
683,1235.9620638393662
684,1238.5343797356568
685,1244.1177655154088
686,1244.659998811848
687,1245.4579620526013
688,1251.0990669326691
689,1252.9403420906376
690,1253.4962044997349
691,1255.2476276052917
692,1256.0570613384621
693,1256.6923449014544
694,1257.3541010533752
695,1260.1695299987173
696,1261.8642853151659
697,1264.2116095591123
698,1267.3047815908972
699,1267.766141752649
700,1268.0346982414485
701,1272.4321601619822
702,1273.3112527227763
703,1274.6533110356083
704,1274.6533110356449
705,1280.5607538599679
706,1283.1752865867763
707,1283.1752865867923
708,1284.5705800295507
709,1284.7898849934406
710,1285.1625921934829
711,1286.27311950281
712,1287.2380380947625
713,1289.4133098830985
714,1290.983712503581
715,1295.2042084201169
716,1295.2630607083308
717,1296.1711218558246
718,1301.771322646998
719,1302.8436399495802
720,1306.841550044117
721,1310.0067317296116
722,1310.6929609236481
723,1314.9318468646272
724,1316.3874071106006
725,1316.7282587105383
726,1317.678166914463
727,1318.2345897383095
728,1318.5711232423371
729,1320.2644361611924
730,1321.6345517593188
731,1322.5887019034426
732,1323.8113090995387
733,1323.8113090995937
734,1326.169275231018
735,1327.2713145123098
736,1328.8293656058472
737,1329.0654173543496
738,1330.9583682359773
739,1332.8353216198475
740,1333.2461551674814
741,1335.9790476137139
742,1336.9591731775597
743,1337.6813095347695
744,1339.6138338370249
745,1339.8942025509898
746,1342.7144256467318
747,1344.2105762267367
748,1344.7154626923857
749,1344.8030193815625
750,1345.3163361675133
751,1347.4934522491349
752,1347.8866710681593
753,1349.125965609373
754,1351.1248938946169
755,1353.3401414993552
756,1353.3401414993814
757,1355.3502999024836
758,1359.5533651421831
759,1359.5866155296173
760,1361.5236998287407
761,1361.5236998287721
762,1365.6422264127909
763,1370.2758051439971
764,1370.2894430478977
765,1371.002896546737
766,1374.3345687177566
767,1374.4070082286898
768,1375.1254177900471
769,1375.1254177901219
770,1379.0231204852191
771,1382.3723690060156
772,1384.9258578294528
773,1388.7472288280278
774,1390.9893642922639
775,1391.3141380421628
776,1391.651884129453
777,1392.7725389477364
778,1394.667168064844
779,1396.9367851811269
780,1397.5605568888639
781,1401.4349478834304
782,1402.3420318338185
783,1402.3420318338497
784,1402.5699182358378
785,1403.6994984424114
786,1405.6642763995578
787,1405.6642763996481
788,1406.4827590602868
789,1407.4762633214191
790,1407.9129961499111
791,1413.010946472351
792,1418.2816826555575
793,1419.0860918298226
794,1419.1208311307528
795,1419.2334699866929
796,1419.9920239092894
797,1420.6298403528601
798,1420.8967371379863
799,1425.5441918010056
800,1425.8012129155782
801,1425.9075577676704
802,1428.3336322729288
803,1433.8530651475899
804,1437.9007285044497
805,1439.2218189716066
806,1439.5288747379359
807,1443.5945161043815
808,1446.6833261336585
809,1449.4840748125371
810,1450.1549233935471
811,1451.6291166552637
812,1457.3466880121568
813,1459.6471482897741
814,1460.2907322804012
815,1460.6144451247956
816,1461.4268180518452
817,1463.4292284274068
818,1465.4190664371367
819,1466.5439374018151
820,1466.5439374018342
821,1467.3918320203138
822,1467.5045822818263
823,1467.959334800848
824,1468.3940112680318
825,1470.4991840406028
826,1470.4991840406562
827,1473.5497149263601
828,1477.7598792989088
829,1481.4191561823488
830,1481.6497525898487
831,1484.0990211147928
832,1484.7746830904532
833,1485.1463365356396
834,1487.3484864956133
835,1487.3916789296354
836,1489.5827681585997
837,1491.7828423356748
838,1491.9591724750007
839,1497.8833764062169
840,1498.5662677817513
841,1499.2746372894972
842,1503.4352317624307
843,1504.2069170963409
844,1512.0347166097599
845,1512.2258441717925
846,1514.6785230884086
847,1514.7082740534602
848,1519.0107288151091
849,1520.1693946693158
850,1523.5911705373474
851,1525.3493309339312
852,1526.0269273800916
853,1526.2777293711026
854,1526.9325457713182
855,1528.0008683179669
856,1529.1429482232516
857,1530.0606081270353
858,1530.1112546202507
859,1530.8642686557503
860,1530.8642686557678
861,1531.7112622941954
862,1531.7379933266307
863,1532.0580445334936
864,1532.8589204308319
865,1535.4942968508169
866,1535.5250774864062
867,1536.8827117018104
868,1540.0048240422298
869,1542.3211931928834
870,1544.8276303503242
871,1544.8276303503906
872,1546.4355691182384
873,1548.9419194405466
874,1549.8920045248151
875,1550.0180576940002
876,1550.268809550862
877,1553.6006943686862
878,1555.1923253437269
879,1556.3165748339047
880,1556.5162556840119
881,1557.369572833659
882,1557.3695728337084
883,1557.4617537026515
884,1560.3931010554868
885,1560.3931010555061
886,1561.1467611053502
887,1563.9279277071794
888,1570.2224248094367
889,1572.926193701001
890,1574.0432172261624
891,1576.6133814617742
892,1577.0132670229191
893,1585.0122120791734
894,1585.3393828816347
895,1585.6701583645081
896,1586.263844625915
897,1589.0329272146432
898,1589.0329272147501
899,1590.3106040244681
900,1593.7544312659375
901,1593.8335135306734
902,1594.3099075559367
903,1595.3562305635753
904,1596.4761513306569
905,1601.3570739035649
906,1602.0349598564082
907,1602.2327412471491
908,1602.4065001665101
909,1603.0728213821676
910,1603.4480729739112
911,1603.970925453981
912,1607.4515362522609
913,1609.3949913899592
914,1609.3949913899667
915,1609.4641290450118
916,1610.1785062586052
917,1614.196582874911
918,1616.6582957755595
919,1620.7260659142587
920,1621.6280958286709
921,1623.1680459385439
922,1627.1912628044611
923,1628.2125175304402
924,1628.4863346596971
925,1628.6529990371353
926,1630.4321939956112
927,1630.5797267966673
928,1630.6782993602462
929,1634.2740976478942
930,1634.4741112881852
931,1639.6094872505323
932,1640.8421388407291
933,1642.7269136967893
934,1645.3175594161135
935,1648.6343955394514
936,1652.851700669361
937,1654.3808154151866
938,1655.5854321915165
939,1656.5947310150837
940,1656.9081817252113
941,1658.4107656511437
942,1661.0950851223026
943,1662.3898104067459
944,1662.389810406773
945,1665.285364392915
946,1667.1390453538072
947,1672.5869802745669
948,1674.4535050821901
949,1674.4728951904417
950,1675.657307013794
951,1676.0072925278603
952,1676.5176415014414
953,1677.5521435967971
954,1677.5521435968365
955,1677.6774085278259
956,1680.7708947048607
957,1681.0425064661604
958,1685.544363117931
959,1685.6713135091854
960,1688.2729876948397
961,1689.7685820471147
962,1690.662888212785
963,1694.0609400310168
964,1694.3589304927873
965,1699.1595203963484
966,1699.365219161826
967,1699.7628206872869
968,1699.7628206873114
969,1703.0814884391532
970,1706.4175007336978
971,1707.3242213869491
972,1708.0600405320815
973,1709.5982436289962
974,1711.9671512552873
975,1716.5716997054276
976,1721.5965562120064
977,1723.6243045939996
978,1723.6904991463593
979,1728.1962811654109
980,1728.1962811654462
981,1729.0600899286535
982,1729.5076902517308
983,1731.4730550159543
984,1734.1003926279957
985,1735.5872243674905
986,1736.4444916785731
987,1737.0354082312501
988,1738.2485682980341
989,1739.3456166000392
990,1742.5521706110389
991,1745.011639271406
992,1745.0754583179059
993,1746.4668774377453
994,1746.8930993886618
995,1747.7814968676005
996,1747.7814968676737
997,1748.1945126944947
998,1748.3293384890978
999,1748.3719681207624
1000,1748.4499656825983
1001,1748.7181881121192
1002,1752.9466668562891
1003,1753.3002907564271
1004,1753.6272781632817
1005,1757.0174342242849
1006,1757.6899942523592
1007,1762.3391008995741
1008,1762.942930554708
1009,1764.4225323898809
1010,1764.4225323898838
1011,1765.0891012713146
1012,1765.7123048541084
1013,1767.96112164843
1014,1769.0655324369116
1015,1772.1976587789031
1016,1773.1076865856105
1017,1774.9540530669983
1018,1777.310329267357
1019,1777.3103292673852
1020,1780.7406190479799
1021,1783.4053517346961
1022,1783.4123869620221
1023,1784.8788002196102
1024,1784.878800219645
1025,1787.7997089214418
1026,1789.2476134182887
1027,1789.3598598095709
1028,1790.3251326077207
1029,1790.8382064316825
1030,1792.4467709316973
1031,1794.323422729736
1032,1799.2892608838295
1033,1800.6356220924972
