# Domain: H_shaped (FEM, convergence sweep, dense eig full spectrum)
# Resolution Hmax = 0.1675, dofs = 1041
# Computation time: 0.1076 s
# Eigenvalues stored: 1041 of 1041
n,lambda_n
1,7.7701098727884004
2,8.5866209501475836
3,13.949170855154284
4,13.95298576460463
5,14.311036242987885
6,17.717477058562359
7,19.744738000597295
8,24.824728428396867
9,26.420957376689774
10,26.471651606740501
11,33.063849347570319
12,37.207784678180467
13,37.276667930271763
14,39.245723172375705
15,40.757713237189634
16,42.315307453130835
17,45.352325671657681
18,46.366137036272335
19,47.554908965218658
20,49.424847819510653
21,49.429085115623685
22,52.107187358066632
23,55.042630798908192
24,58.896780842534035
25,62.863160416083055
26,62.990823439119545
27,63.313140845750382
28,65.67297260429514
29,67.712454886507984
30,72.330933204654997
31,77.273527143647328
32,79.281332008253727
33,80.159052545784903
34,80.247950759327125
35,85.569717444925402
36,86.425376417243996
37,88.310197804913273
38,91.65977459285746
39,92.617580330861045
40,95.926489998671087
41,96.191593876143131
42,96.392990476967228
43,98.479852945835177
44,99.267868445486258
45,99.308008665683346
46,101.65676651479356
47,106.73112002519244
48,108.30792175538966
49,108.98616394982017
50,112.56245243086147
51,113.39524418627319
52,114.15229403341431
53,119.81630545404307
54,120.10225122264004
55,122.16622345809778
56,122.40672274853675
57,123.77810866732257
58,129.54609607493077
59,129.63073940910846
60,135.0796639299239
61,140.91070666662378
62,141.16939054077736
63,141.21634826422667
64,143.96406173343129
65,144.05068418917392
66,147.22966741967471
67,147.90682223166121
68,152.76095334880483
69,156.96991748149065
70,158.55107023210249
71,158.79894096768689
72,160.59876366556682
73,166.62572021558873
74,166.8585169520583
75,166.99136057245477
76,168.26746980286487
77,169.18431034270091
78,170.2252842227721
79,170.26937345009887
80,171.46221452118124
81,174.81480733315163
82,175.98180155399149
83,177.58830015786566
84,181.12854610605177
85,183.90630771082823
86,185.02412665096045
87,185.18317235392965
88,188.55251776857483
89,194.50570407593241
90,196.40319193870639
91,198.67101101534101
92,198.94752838118907
93,199.19645228315929
94,201.44429252960484
95,202.04321766047698
96,202.1171106898403
97,202.91149467195928
98,210.35731607492139
99,217.06311132008915
100,218.78612207974018
101,219.45400655378663
102,222.76975675717205
103,226.94581403860911
104,228.43103693147117
105,229.66826407317998
106,229.89832529879041
107,230.58776212731306
108,230.81187408192483
109,231.22512144987363
110,239.80291451316876
111,241.71722623467952
112,241.79760354093992
113,251.74103330731091
114,255.09887661366147
115,255.57853390754795
116,255.75719592497208
117,259.35496414322643
118,260.96104133705137
119,261.33021341574386
120,261.5538106469063
121,262.78576271249995
122,263.67759245770003
123,264.56996099440175
124,265.66645982440764
125,266.57192698466366
126,266.8683670679456
127,270.1819733958904
128,270.30245858333757
129,274.08450123470385
130,278.71835107283658
131,279.06765892028858
132,281.47369470818313
133,288.66244119512066
134,289.63313963605816
135,289.69164998511735
136,289.81709083814508
137,295.08319887616767
138,298.24622886850153
139,299.41393208502558
140,300.10171495122978
141,301.22540833409988
142,301.78602326931173
143,301.99864173119016
144,302.84852589065554
145,308.46623571806884
146,309.1312065931856
147,315.98628282565539
148,317.24593947380424
149,318.14326982450234
150,320.66457766634272
151,321.56375029025736
152,329.69876993737842
153,333.13714642291313
154,334.85118136177437
155,335.02194790438449
156,336.60948549509425
157,338.96975115133773
158,339.71168298951892
159,341.63656502115646
160,342.83469205575318
161,345.75060085757542
162,348.98289329774434
163,350.14731182320679
164,354.01726519137725
165,356.8001082127351
166,361.732568910336
167,364.13281570506956
168,366.83140213593128
169,368.8061491808495
170,369.16695299749512
171,374.1561582791706
172,375.31837728906453
173,377.20082924912163
174,378.22778829316184
175,379.04561320168148
176,380.2972972646877
177,380.69344750071656
178,382.7023233821543
179,383.2611749633964
180,383.95767174147892
181,385.29131843903889
182,387.76929965266254
183,389.73279954252644
184,391.138110336409
185,392.92828089157882
186,394.10136840766086
187,395.50171521514392
188,396.59712932048143
189,404.94741189405568
190,407.31349209604343
191,408.78787795149776
192,412.69383749839034
193,415.62617418271793
194,416.30135248858761
195,417.07929062442599
196,418.2346134867737
