# Domain: L_shaped (DST, convergence sweep, dense eig full spectrum)
# Resolution M = 81, dofs = 4880
# Computation time: 2.2711 s
# Eigenvalues stored: 4880 of 4880
n,lambda_n
1,9.6580910662818713
2,15.197068328486463
3,19.739208802175462
4,29.521406219297369
5,31.957283903691049
6,41.508235576108504
7,44.947546203554474
8,49.348022005448883
9,49.348022005464543
10,56.747108087103783
11,65.375303885153969
12,71.101802141709669
13,71.572647692225104
14,78.956835208716925
15,89.434523176549305
16,92.306172166087578
17,97.379159941283035
18,98.696044010877856
19,98.696044010929228
20,101.66822773245441
21,112.38513972255164
22,115.51570346733718
23,128.30485721416744
24,128.30485721418984
25,130.11900735807117
26,130.29217530705159
27,142.54183753173623
28,151.11957144325507
29,154.70639085110702
30,162.19430843042679
31,164.71244406750611
32,164.85328405162258
33,167.78327481844869
34,167.78327481853381
35,177.65287921962263
36,179.79658093195724
37,184.0533199173955
38,197.392088021723
39,197.39208802179712
40,201.48330412331819
41,207.46997892079926
42,208.77364323142061
43,209.55297531357158
44,223.21991851323378
45,223.62652639078414
46,236.35076059453561
47,238.41588591016148
48,246.74011002724876
49,246.74011002728034
50,250.87442010133751
51,252.86895066208305
52,256.60971442833392
53,256.60971442833716
54,265.94470350121679
55,269.44503667647422
56,270.22257773073716
57,281.33849810245943
58,286.21852763158
59,286.21852763161382
60,289.18680693273819
61,293.60559498730305
62,306.77790723123411
63,306.93920794955636
64,310.42892360963725
65,313.78116694206244
66,315.82734083486906
67,335.56654963704
68,335.56654963709724
69,335.68555778290579
70,335.82169751944008
71,346.13041937046296
72,351.74227496543512
73,359.77848945460505
74,360.50145242217968
75,365.17536284032565
76,365.17536284039721
77,369.54157668400734
78,372.33168795826487
79,376.2581307572454
80,382.87048838597985
81,389.86373752078504
82,390.527764863377
83,394.78417604355565
84,394.78417604358714
85,404.6537804446607
86,404.65378044473471
87,415.818007908987
88,419.62208550076963
89,426.76379009356839
90,427.08079643387919
91,432.96107176847994
92,443.80329873124992
93,444.1321980490294
94,444.13219804903139
95,454.12708947630142
96,454.13704804519824
97,454.53252317999733
98,464.45240007409666
99,478.86026229526004
100,479.66740603909392
101,486.05505564844719
102,490.13585269373374
103,493.48022005441896
104,493.48022005448524
105,493.48022005452555
106,499.55937614389342
107,502.29279867594835
108,512.62570577697181
109,513.21942885663861
110,513.21942885664475
111,513.549563068314
112,523.08903325774975
113,523.089033257761
114,530.41527500167058
115,537.05270302564031
116,545.15771396027662
117,546.22967051726903
118,559.24465962807676
119,563.86375827544441
120,565.03992734237863
121,565.4746698333654
122,572.43705526319582
123,572.43705526319923
124,575.95074265973426
125,578.19021091011166
126,591.64338412344523
127,592.07237240274173
128,602.04586846642076
129,602.04586846645088
130,605.68206017037255
131,609.5586813851246
132,631.00492648790794
133,634.17701213619489
134,636.96746847037718
135,641.52428607080651
136,641.52428607087757
137,641.52428607088905
138,641.52428607100273
139,641.87849523396619
140,642.66079713216232
141,648.98195632069599
142,654.43055017501854
143,660.65817612584237
144,663.72473591879145
145,671.13309927408625
146,671.13309927414184
147,674.42146899195382
148,685.71004402681581
149,686.84185459715013
150,692.1415614416054
151,698.88809610074816
152,710.61151687844142
153,714.87952107976764
154,715.63304637992496
155,720.48112127952868
156,720.48112127958098
157,722.64015866639818
158,722.65556270055129
159,730.3507256806223
160,730.350725680658
161,747.17316216054644
162,747.80434501636148
163,753.38537282305754
164,754.09494326340507
165,759.18777493250479
166,764.23846784116631
167,780.9433635160425
168,789.56835208714256
169,789.56835208725579
170,790.54849416014463
171,795.45668957323301
172,797.34402052048927
173,801.4180546900966
174,806.77941815277757
175,807.74156696333318
176,807.93842245120311
177,809.30756088935038
178,809.30756088940279
179,824.98277042759867
180,826.67294892852317
181,833.52211814450936
182,837.20888337253791
183,838.91637409259613
184,838.91637409269788
185,838.91637409270243
186,838.91637409272573
187,856.27573092229557
188,860.57430491945718
189,875.03386968267841
190,875.22033710009453
191,878.3947916969654
192,878.39479169698791
193,880.96164406411106
194,888.26439609803708
195,888.26439609812519
196,892.09982630871832
197,900.09873366968588
198,900.123142074783
199,903.93306887763356
200,919.06391394196328
201,919.61766177070024
202,923.26934587004848
203,929.08522353357046
204,929.47926644461131
205,937.28650046171367
206,938.31561446114426
207,957.35162690566187
208,957.35162690575169
209,960.39429411239689
210,961.97277672058351
211,967.221231306753
212,973.41410869909328
213,974.00915966883395
214,986.9604401089473
215,986.96044010899266
216,992.5742139949167
217,993.81705389678189
218,996.8300445100366
219,996.8300445101338
220,999.74943009229617
221,1003.7644175863304
222,1010.4215464428481
223,1013.5466911265439
224,1018.5837630716647
225,1026.4388577133082
226,1026.4388577133616
227,1027.4149786719649
228,1038.1996814300212
229,1039.6783728000207
230,1046.1780665154595
231,1046.1780665154868
232,1050.261371794259
233,1055.1609920244409
234,1058.9439026042542
235,1062.5094644720014
236,1070.6736999834147
237,1075.7868797187443
238,1075.7868797188248
239,1076.2582682081165
240,1097.2120825729633
241,1097.2973652508879
242,1100.2409855025273
243,1100.4941288646626
244,1106.1724537552618
245,1111.6084525819108
246,1115.2652973231077
247,1115.2652973231113
248,1126.744544181435
249,1127.7822132728363
250,1138.6441914288202
251,1139.577397712939
252,1144.8741105263759
253,1144.8741105263937
254,1154.7437149274708
255,1154.7437149274904
256,1163.4516151465073
257,1170.0792676780688
258,1170.7027727258551
259,1174.3280058183184
260,1181.924146296521
261,1192.5627560061071
262,1193.889010979497
263,1199.7549480705693
264,1200.4145338814526
265,1204.091736932919
266,1204.0917369329366
267,1210.724981760751
268,1216.0382324657378
269,1217.4343033070747
270,1225.4935406921393
271,1225.6314681141557
272,1233.7005501361439
273,1233.7005501361698
274,1233.7005501361798
275,1233.700550136253
276,1241.4058776141105
277,1242.0239265047417
278,1245.8830269558352
279,1249.6858152313159
280,1263.2922601879245
281,1263.3093633394467
282,1264.3175766461034
283,1283.0485721415771
284,1283.0485721415901
285,1283.0485721416042
286,1283.0485721416239
287,1286.7415511929544
288,1290.1915829859608
289,1309.6201682154231
290,1312.2759599600095
291,1315.4539769263358
292,1316.1870305093667
293,1321.1742649427035
294,1329.7641681013761
295,1335.8048200337632
296,1338.5728724435589
297,1342.2661985481557
298,1342.2661985481784
299,1344.1826090826237
300,1344.2298222726934
301,1350.9181723718593
302,1352.1358029492492
303,1352.1358029493176
304,1365.0947325141015
305,1377.2150616043441
306,1383.4188423138228
307,1386.3154608383761
308,1386.4729736345903
309,1396.8758183462558
310,1398.4276438355832
311,1409.4249631107728
312,1411.7067435210261
313,1425.2138072282889
314,1427.8989829169407
315,1431.0926381578886
316,1431.0926381579302
317,1431.092638157947
318,1431.0926381579859
319,1439.753419653538
320,1440.9622425590542
321,1440.962242559086
322,1443.3253392956351
323,1447.4958739923325
324,1447.5004963452316
325,1460.701451361216
326,1460.7014513612521
327,1460.7243565348465
328,1461.3213629092563
329,1470.5710557623195
330,1470.5710557623413
331,1483.9623329796261
332,1487.6962210285017
333,1489.2493817173602
334,1493.2081604455843
335,1493.8506817689354
336,1502.4422933026524
337,1510.0494733666812
338,1510.0494733666835
339,1514.4931979942692
340,1531.6952475861833
341,1534.3572258922848
342,1542.8366108510979
343,1548.6231848055438
344,1549.5278909710262
345,1549.5278909710312
346,1551.4868545285299
347,1552.1681237091966
348,1552.550557777902
349,1557.6692043067139
350,1557.8811184861061
351,1573.5626060612317
352,1577.2778596452822
353,1579.1367041742906
354,1579.1367041742978
355,1580.5331323900923
356,1580.7166370116338
357,1598.8759129764785
358,1612.9625631865451
359,1613.3879298014733
360,1616.5064910688836
361,1618.465421077349
362,1618.615121778653
363,1618.615121778658
364,1630.2733990389086
365,1634.8602869577308
366,1659.2473996377507
367,1660.8145581513022
368,1663.2176565670225
369,1667.9631437841192
370,1667.9631437841331
371,1670.5232701093746
372,1673.8759336413179
373,1674.4135893159098
374,1677.8327481851584
375,1677.8327481851852
376,1677.8327481852059
377,1677.8327481853112
378,1686.315096191337
379,1686.4192126033774
380,1693.6123902235502
381,1699.7860212497569
382,1702.127740786947
383,1707.4415613884516
384,1707.4415613884796
385,1708.651990661341
386,1723.3260817810328
387,1725.1477505662981
388,1726.1443712186117
389,1731.3817542622226
390,1733.315347077476
391,1736.3480860052823
392,1754.8219247574502
393,1755.7325092748531
394,1756.7895833939028
395,1756.7895833939058
396,1776.5287921960944
397,1776.5287921960971
398,1777.617847218484
399,1780.8413354897696
400,1786.3983965971829
401,1786.3983965971854
402,1788.3047958480463
403,1790.3659213234268
404,1800.4577818211881
405,1801.3841360511276
406,1808.7188035888259
407,1808.8612627642299
408,1825.8768142015131
409,1825.8768142015283
410,1825.8768142015379
411,1825.8768142015517
412,1836.2004159868868
413,1836.2651751682104
414,1838.8275333451081
415,1842.442077996503
416,1848.3767715110323
