# Domain: L_shaped (FD, convergence sweep, dense eig full spectrum)
# Resolution M = 31, dofs = 705
# Computation time: 0.0172 s
# Eigenvalues stored: 705 of 705
n,lambda_n
1,9.6735064760451301
2,15.146844693471795
3,19.675872867091556
4,29.341832412344882
5,31.826884898118635
6,41.126226105092002
7,44.402543293624383
8,48.811615787765525
9,48.811615787767991
10,56.240268891666702
11,64.487217840085407
12,69.90275905708944
13,70.39787752768153
14,77.947358708446416
15,87.415498362162523
16,90.143877392558835
17,95.318276033233801
18,96.125494934640599
19,96.125494934644109
20,99.680971964347734
21,109.91444968414113
22,112.54979866624807
23,125.26123785531662
24,125.26123785531789
25,125.47424296592744
26,125.63690139366345
27,139.22312145646444
28,146.32987307190899
29,148.86461850687701
30,156.31332478531104
31,157.9691284484453
32,158.03119352791185
33,159.79926446603054
34,159.7992644660313
35,172.26797519044516
36,172.57511700219348
37,175.78647321856639
38,188.93500738670525
39,188.93500738671074
40,194.39977746507594
41,196.30239264212599
42,196.39945823362595
43,200.37311908976406
44,213.15558888703092
45,214.25430320868495
46,222.92583768739152
47,225.73890871309442
48,233.01288096605498
49,233.86679295202609
50,236.24888653358445
51,236.24888653358468
52,237.3859771275055
53,237.38597712751002
54,248.93938570490934
55,252.11694112920753
56,256.54160074864939
57,265.45272983290886
58,266.52172004818357
59,266.52172004818544
60,272.84695251423972
61,278.48882682032644
62,279.91785591642736
63,279.97032710902909
64,290.01696697931175
65,291.76054721270577
66,299.92265606497563
67,307.1642153815045
68,308.02071843658393
69,313.83559919506285
70,313.83559919506348
71,320.34433246320094
72,321.77628714010422
73,325.90401906262036
74,325.90401906262105
75,326.52619466049094
76,331.78341646030475
77,337.89495180968402
78,338.48002586712465
79,348.09256088302612
80,350.51593382913376
81,355.03976198329309
82,355.03976198329963
83,357.95612272464109
84,359.60115108663155
85,371.96779648356062
86,372.20745311971751
87,377.50936872644661
88,377.50936872645286
89,377.98013315373021
90,380.39121802030547
91,399.89758201536824
92,400.12224345294572
93,402.35364113017033
94,402.35364113017101
95,402.63286730331271
96,409.5003313670129
97,414.40859280336724
98,417.97912420368789
99,419.31425476194096
100,421.95169156128617
101,421.95169156128895
102,428.42671221720087
103,432.3287040227334
104,432.57015041646474
105,437.52106269924644
106,440.44768552350632
107,451.08743448196253
108,451.08743448196418
109,451.09771289125717
110,451.2070629644719
111,455.09608138792714
112,466.02741066155903
113,466.02741066156153
114,469.94093053374678
115,470.06385534393337
116,474.17749638996287
117,476.17720816044329
118,485.36433949584239
119,490.56433957965004
120,496.86152084025269
121,498.40131362883881
122,498.40131362884142
123,498.65240860008407
124,502.30241795172088
125,508.35636874440007
126,515.04632184270019
127,517.40229916546843
128,517.5026267795447
129,518.99291732111976
130,521.83793643354556
131,521.83793643354568
132,529.52655396483863
133,530.09149179337328
134,534.6860565346617
135,538.39814819834749
136,543.61412332303723
137,543.61412332303757
138,549.33978781866801
139,549.66759238172426
140,550.97367935422028
141,550.97367935422119
142,562.07508316022961
143,562.07508316023097
144,569.82107528547942
145,570.27545280488778
146,572.69315359654217
147,574.23386193528995
148,574.79661885110738
149,579.10967808690918
150,585.44016585511554
151,594.97030375194288
152,598.2875585010928
153,598.28755850109587
154,598.88418955473628
155,600.9001413037023
156,603.53661071840531
157,604.16872718126569
158,612.33897176275286
159,615.76349894706664
160,617.16293571428184
161,617.44855517240353
162,621.72418130580388
163,621.72418130580616
164,629.42121425777179
165,629.66257353099195
166,632.13216525814926
167,634.64792429001818
168,637.6879070835638
169,639.6617958217056
170,639.66179582170571
171,649.48994471599531
172,649.85911090681793
173,650.85992422647894
174,650.85992422647962
175,661.96132803248713
176,661.9613280324877
177,664.67994711101517
178,667.90510253430637
179,668.97929263269702
180,669.45827479309492
181,673.39928107560615
182,673.66328951233629
183,677.84723917151496
184,684.1038426677128
185,693.25191475948702
186,695.93673275930996
187,697.46288930530648
188,698.17380337335248
189,698.17380337335396
190,699.03918433492674
191,702.10160459910503
192,703.1379478527947
193,711.80128367144187
194,713.59562735753252
195,714.3651821960666
196,715.46644075927281
197,717.77185380447224
198,717.77185380447224
199,728.07324929209733
200,728.17983775681569
201,728.17983775681762
202,728.35362415146187
203,732.32551121301549
204,734.58984551540323
205,739.54804069396357
206,739.54804069396414
207,746.90759672514616
208,746.90759672514753
209,747.7102560621139
210,747.94874249819338
211,759.98675609809652
212,761.84757290474488
213,761.84757290474511
214,762.09212216455762
215,762.13471581171484
216,763.13472851539836
217,767.58132147028789
218,770.10408006600414
219,770.35944366126625
220,776.22184006284965
221,783.34138670790026
222,788.70066336453601
223,789.83103113904951
224,792.30172623785802
225,794.22147587202289
226,794.2214758720238
227,795.387687545728
228,795.4016371887019
229,800.54039101329488
230,801.185010495092
231,802.88891906243805
232,803.50888116096075
233,806.28989573958268
234,806.28989573958381
235,812.02175517564172
236,813.90067951907054
237,819.07752733796065
238,819.53475962705227
239,824.2275102554845
240,827.01159552589866
241,827.41303472342429
242,828.06608262907355
243,828.066082629074
244,835.42563866025773
245,835.42563866025898
246,839.43428556622132
247,839.43428556622155
248,840.40748654262018
249,840.57372057829298
250,845.90364279414916
251,846.00612338372764
252,857.793525938892
253,857.89524540341358
254,857.89524540341381
255,858.00483279175444
256,858.81560020402776
257,860.0596609042467
258,863.49956161038983
259,868.04345374774823
260,871.61096075554542
261,872.91729983423704
262,875.6621816720384
263,879.24566977362497
264,880.3506315565304
265,881.32964871825868
266,882.73951780713242
267,882.73951780713355
268,883.87660840105821
269,883.87660840105934
270,888.55813561562456
271,890.82397939942928
272,892.96612445767869
273,893.14463553185237
274,896.83216424371403
275,898.15643690107629
276,899.30231435397684
277,899.48296513078435
278,906.17720483327264
279,906.93065658746559
280,913.01235132173258
281,913.01235132173315
282,914.56225449701674
283,915.16600497716411
284,917.14040282352357
285,917.15253449657803
286,924.11375512774293
287,924.11375512774327
288,924.48340319111833
289,925.22553708562509
290,927.95232750133141
291,927.95232750133221
292,935.47060709069638
293,935.48195806488945
294,935.48195806488968
295,935.57859104779766
296,941.28798671157881
297,941.84423507489134
298,946.41328733852367
299,946.41328733852424
300,947.55037793244946
301,947.55037793244958
302,947.76717042237624
303,947.85558624058092
304,957.32699268943838
305,958.19954755298022
306,959.68915988654635
307,960.32623046860863
308,960.32623046860897
309,960.97299740047902
310,961.10662444010757
311,962.19424837561758
312,964.35419304733205
313,967.53427426644532
314,970.9057650132097
315,972.77522332500837
316,973.14795509818578
317,975.19241878428352
318,976.68612085312373
319,976.68612085312418
320,979.12016248999021
321,983.66748643226117
322,986.93820922370253
323,988.89199943769336
324,989.20027454114438
325,990.62268490575605
326,991.17575040803638
327,991.54250136052201
328,993.03957335601172
329,993.06222027013416
330,994.86425707932392
331,994.86425707932483
332,995.21294472580644
333,995.61519184967517
334,998.09040336736371
335,998.1037071281628
336,1001.2488637489829
337,1001.5499074285602
338,1005.3286835013347
339,1005.3319990660815
340,1008.8707006200909
341,1008.9205996667162
342,1012.7779805316975
343,1012.8547989236273
344,1017.9715610893372
345,1017.9865491765551
346,1023.9999999999981
347,1023.9999999999984
348,1023.9999999999985
349,1023.9999999999991
350,1023.9999999999997
351,1023.9999999999998
352,1023.9999999999998
353,1023.9999999999999
354,1024
355,1024
356,1024.0000000000002
357,1024.0000000000007
358,1024.0000000000011
359,1024.0000000000011
360,1024.0000000000011
361,1030.0134508234446
362,1030.0284389106637
363,1035.1452010763728
364,1035.2220194683021
365,1039.0794003332826
366,1039.1292993799084
367,1042.6680009339179
368,1042.6713164986654
369,1046.4500925714397
370,1046.7511362510174
371,1049.8962928718361
372,1049.9095966326365
373,1052.3848081503252
374,1052.7870552741924
375,1053.1357429206748
376,1053.1357429206753
377,1054.937779729865
378,1054.960426643989
