# Domain: L_shaped (FEM, convergence sweep, dense eig full spectrum)
# Resolution Hmax = 0.135, dofs = 679
# Computation time: 0.0598 s
# Eigenvalues stored: 679 of 679
n,lambda_n
1,9.6624555506530889
2,15.199153648718152
3,19.741473476613685
4,29.529026304673668
5,31.976609504290643
6,41.53529686895169
7,44.979661039434184
8,49.381129441918389
9,49.382860622069877
10,56.806147093912756
11,65.460334390405208
12,71.209559007743579
13,71.670193727202488
14,79.087637782808116
15,89.648670579866518
16,92.515010259440075
17,97.644199952893317
18,98.953356679342761
19,98.958490662522038
20,101.98515639042667
21,112.74046228166755
22,115.9569735813558
23,128.83093008050244
24,128.87531403168745
25,130.6785518236959
26,130.87028986287564
27,143.28881771877502
28,151.98239327908874
29,155.6937054936495
30,163.27921958673429
31,165.94118035231287
32,166.0943450380571
33,168.99958475482435
34,169.01435614420254
35,179.06370489877975
36,181.25597523083042
37,185.64074402999634
38,199.27956166933996
39,199.32951791910136
40,203.47852628355176
41,209.80924013721094
42,210.96474487288219
43,211.81158159983332
44,225.88887767629274
45,226.28163488376532
46,239.53523452576067
47,241.65785614081886
48,250.2680902215802
49,250.71497222008497
50,254.88582875180188
51,256.95497257893203
52,260.59960757774127
53,260.66557025343775
54,270.6029278637327
55,273.98782940270962
56,274.84454685104947
57,286.79212422616041
58,291.81214927676984
59,291.9637851119877
60,295.38308880480287
61,299.47559581733873
62,313.37241205884374
63,313.69566453558951
64,317.18799502014872
65,320.85366470715098
66,323.50224714216347
67,343.54857227296594
68,344.12330331822318
69,344.96000760061196
70,345.20821732862964
71,355.21183188619079
72,362.50109933958612
73,370.68602736893376
74,371.82607302379932
75,376.56363093074333
76,376.82115349911015
77,380.68370202297535
78,384.19054615490688
79,388.66256097782161
80,396.78857935614332
81,403.23712134303713
82,404.93164991527959
83,409.50819998194493
84,410.09036869838326
85,418.43984502170701
86,419.95330743486608
87,432.46707560827349
88,435.54196877442695
89,442.28035626879188
90,443.12542218037896
91,450.60459177937662
92,461.19119488714239
93,462.04902614391125
94,462.28670826678746
95,473.87056767340539
96,474.82442037408703
97,476.23208849520319
98,485.31162912540225
99,500.03497715718294
100,501.04648207977476
101,510.1582359999029
102,516.00405772225861
103,517.01379067468383
104,517.95788728843411
105,519.15542845863945
106,522.51876439874763
107,526.29715034311357
108,536.86979528394056
109,538.51558240322299
110,539.61040575717118
111,540.57855481949321
112,551.43416486773936
113,552.53389656629599
114,557.30489416232479
115,569.20430904629563
116,573.60067172643573
117,574.40394097100045
118,592.75374451015273
119,594.89792881886194
120,596.52533811241915
121,598.53574522119402
122,605.79419525914284
123,609.15751092881783
124,610.23731041538758
125,614.31282571058534
126,627.46512142724794
127,628.43828547972987
128,640.91582981453064
129,642.66555815237757
130,651.57336082162055
131,653.48118676247464
132,659.5032148194714
133,661.38796479799669
134,672.22027874493779
135,673.13817762574297
136,677.06785786090848
137,679.59337111186392
138,685.05501490695815
139,694.14130779618552
140,697.552622101064
141,700.38240742451694
142,703.51126015882187
143,710.06400027037398
144,712.78343383125139
145,714.42873227694122
146,725.21691533603757
147,730.28479273204698
148,743.13106922341024
149,745.14523190906903
150,754.03404350087101
151,756.21417547410817
152,764.74826098586277
153,766.78981270570989
154,776.619271947436
155,783.62209699725702
156,787.04138330724936
157,799.95781030712567
158,802.32660269803853
159,808.94161512098719
160,812.70841584312723
161,816.11178765016575
162,821.91132643277388
163,831.68511911860435
164,833.40639652369748
165,841.20710942061885
166,843.4400384665629
167,864.08253202290007
168,865.85557491752218
169,882.41372361838353
170,888.38171747773174
171,888.91400736580829
172,889.58261216662231
173,898.69749525531586
174,900.16993347259051
175,903.99300742389346
176,915.18189637393505
177,917.88093376621566
178,921.60124457546249
179,933.49046677548256
180,935.24412452282411
181,938.56481633403348
182,944.69848433083769
183,954.15930594504778
184,958.97414141834508
185,967.68669701149668
186,972.63772175836755
187,980.36786328286507
188,982.68843971076103
189,994.41869289864587
190,1004.4179571563747
191,1012.5171246693171
192,1015.4589580595771
193,1018.7699625177205
194,1020.5875922092043
195,1023.0134183090904
196,1030.6159839343873
197,1034.541744815117
198,1042.7730459629618
199,1054.5400193136591
200,1058.3684887995457
201,1070.6488337963417
202,1078.1430701800457
203,1081.84578127603
204,1086.6040751285316
205,1101.1545705050364
206,1106.8765571386498
207,1113.7383352659626
208,1118.9125121159768
209,1134.2325198428907
210,1138.3147453176814
211,1144.8585085128577
212,1150.5218818031935
213,1155.8382727274759
214,1167.5665508998111
215,1170.2413932395834
216,1173.4274797203693
217,1175.1687021680086
218,1188.4574863684263
219,1191.0816509578478
220,1199.1160666969915
221,1213.8263029953935
222,1214.8322330998196
223,1220.9795523298683
224,1227.4896082339244
225,1234.460564483601
226,1238.2801443541055
227,1243.8774711643969
228,1252.9266112977873
229,1255.3291724882774
230,1264.5614226468845
231,1266.1233517709645
232,1274.2651758158609
233,1285.4459089000959
234,1287.0346724740093
235,1289.337793347268
236,1293.437917121707
237,1307.4680443459147
238,1309.9925412039654
239,1315.8826029828301
240,1320.9996273307095
241,1326.6920121460889
242,1341.3972143120197
243,1344.4889200012835
244,1357.4099244637875
245,1366.4938729017181
246,1372.4263680880292
247,1381.286071526767
248,1382.5288505727935
249,1386.0121830329529
250,1407.585324288729
251,1412.2312771401409
252,1421.9880710007862
253,1426.1464447928615
254,1438.2362039443944
255,1440.2051517017906
256,1451.4031332135612
257,1457.4100897412002
258,1460.852835732966
