# Domain: ellipse_minus_quadrant (DST, convergence sweep, dense eig full spectrum)
# Resolution M = 27, dofs = 214
# Computation time: 0.0044 s
# Eigenvalues stored: 214 of 214
n,lambda_n
1,5.4984494235366483
2,11.026088660930453
3,14.209545372325614
4,14.48456370388541
5,19.850175850705007
6,25.512606980356942
7,26.182752309204499
8,27.445944725396878
9,32.566163957442228
10,39.266193832574046
11,39.562649507205805
12,42.403577234454275
13,43.841953168664077
14,45.780873984856669
15,49.451098621133198
16,53.145700233015283
17,57.728339719244815
18,59.014193917650204
19,62.719242113603336
20,63.105688384692741
21,67.90436277391558
22,70.458675124598869
23,72.75548750785201
24,79.958255085352931
25,79.997526842381021
26,82.491161438180896
27,84.900152009009815
28,87.40881384300809
29,92.422747295297
30,93.633215781856094
31,95.615072841194433
32,96.071223616922609
33,104.00162707617905
34,104.48877857005905
35,105.56659674643399
36,105.89752762765062
37,111.00667424713981
38,115.09172379978132
39,116.50118465378168
40,119.7032880953858
41,123.99043215761444
42,126.94610752244471
43,131.12212082357516
44,131.40792602779956
45,134.07802005377914
46,135.35574903619658
47,136.73840815934878
48,144.81711855716938
49,145.58741797961704
50,148.42277602658069
51,148.57101572459138
52,155.57156824149888
53,157.09932734452588
54,161.58465595535742
55,162.32026266371139
56,165.69179817435923
57,166.21257734651002
58,167.846066357116
59,168.66088364670276
60,172.43814699094779
61,173.68943908161506
62,179.42654730780993
63,182.92001624703869
64,184.28375398806315
65,187.33491168125008
66,188.69292648334161
67,193.34897918411315
68,195.58455810039442
69,197.62769856894863
70,201.81258510670725
71,203.41686442164476
72,203.88894052080019
73,206.99675669684905
74,208.69586967744706
75,211.79801103702459
76,214.07476771395628
77,219.86206183547131
78,221.55978037222465
79,224.19755936419077
80,228.68580862593458
81,231.29274228148205
82,231.37669621518884
83,238.91216605816359
84,239.42450201980785
85,240.95599206417296
86,244.04411479493166
87,245.54152695420163
88,246.88410811779383
89,250.81265926800583
90,252.39886972584171
91,253.60446402069164
92,258.41067970849281
93,259.44254456251048
94,261.33003505064448
95,264.9486441900923
96,268.72128580940381
97,271.05512202718018
98,274.38335981166034
99,275.52451713631478
100,276.66974896610094
101,276.91963879903216
102,285.27619495873404
103,286.46445023600353
104,290.26293739570752
105,291.56626331511279
106,293.58951946040713
107,295.14728198819915
108,298.58381560797665
109,302.49329672113862
110,303.75855042095441
111,306.18573199339772
112,307.1883077233972
113,310.29801514292228
114,312.39306278323318
115,314.5834962765104
116,318.60850105181345
117,322.02906622740807
118,325.56363088475325
119,328.87057608997389
120,331.89134344364095
121,332.43973709430702
122,334.01990938429066
123,336.03890235910387
124,339.8626498362504
125,344.15419904635837
126,344.41246276357526
127,348.62864902921069
128,351.07339325061014
129,355.12712808921486
130,357.16475925625764
131,360.01515200389161
132,361.09844608099775
133,362.78235976156481
134,363.44792010204793
135,364.54816599470536
136,370.11443249439395
137,371.16290166414973
138,372.38077458137326
139,373.39131190381426
140,379.46392393847611
141,382.86933925803339
142,386.21634919151086
143,386.60052344186948
144,388.35018897774461
145,390.91806056579122
146,391.96323450974205
147,397.74073953745773
148,398.08808537018888
149,403.84203127293438
150,406.92891307537423
151,410.99698745489002
152,411.46954688900445
153,411.74606157303504
154,416.1187864144934
155,416.91156479708877
156,419.09349314429193
157,420.70202211571888
158,425.90646670336878
159,427.43854005584382
160,430.21283713223488
161,432.86773006036492
162,436.57347470493488
163,437.5069989207239
164,440.90812657343224
165,445.19682858074725
166,446.27454804788988
167,452.0958710785568
168,453.03605074433574
169,454.10357738978649
170,457.78963896511635
171,460.13487783649492
172,461.78667290622008
173,467.85191637130157
174,473.11919025158323
175,476.93410297182021
176,484.09313013646897
177,486.08601721095027
178,489.77880363450492
179,491.05437630819551
180,491.82648277908112
181,494.19882961566577
182,505.93315366105065
183,507.68623222918353
184,509.52803127639794
185,524.04759930368959
186,524.28798513227912
187,530.28357637384681
188,531.75573261992008
189,537.88210147349787
190,540.98924500301416
191,551.93045409851709
192,559.63711114713249
193,562.85825653818836
194,563.33771414026967
195,577.13202711062047
196,583.19757142682647
197,589.94152378932631
198,592.94558378988825
199,607.52503005110248
200,614.38289173117641
201,623.18573448539462
202,623.29975588100535
203,642.00174804520498
204,647.62831105051919
205,656.59126992193933
206,676.3733145200174
207,686.95746666117986
208,691.15671625197842
209,711.20327327299447
210,721.12586290597028
211,755.9914841217178
212,758.75819964560912
213,791.63551299356129
214,833.97077829247712
