# Domain: ellipse_minus_quadrant (FD, convergence sweep, dense eig full spectrum)
# Resolution M = 95, dofs = 2662
# Computation time: 0.4510 s
# Eigenvalues stored: 2662 of 2662
n,lambda_n
1,5.744827783382255
2,11.30328688636518
3,14.828277875716712
4,15.456561900160459
5,20.691658902710955
6,26.492465475950645
7,27.017749720402964
8,28.994566124763608
9,34.028178876379798
10,40.369682251217256
11,41.276161763687746
12,43.623766102950661
13,45.664990420757903
14,48.575566948851247
15,51.230403930638367
16,56.162952827482705
17,59.993884889693433
18,62.178784092253103
19,64.651083107740831
20,65.719529844453319
21,71.003071148944827
22,72.489636862617544
23,75.687549951804357
24,82.710299596135329
25,83.183703286926715
26,86.606518346983847
27,88.671205096297328
28,89.358645998087496
29,94.913497027652724
30,97.644666554322228
31,98.996859635586773
32,100.16908192787626
33,107.97004310806395
34,109.14787737600696
35,110.9969868466092
36,111.36634253264775
37,116.79959452439623
38,118.17584459816706
39,123.3331947301924
40,124.44778046530037
41,127.63878095835011
42,131.21345851674192
43,134.87580690546437
44,138.75599900424012
45,139.04942097395914
46,139.37385871545047
47,144.15588060539042
48,149.36260338865384
49,150.40450049748654
50,154.34452445755343
51,155.47985253989731
52,160.34939993661214
53,161.8248921494513
54,165.11622828225163
55,169.23511099902126
56,170.65259127340892
57,172.21236115410522
58,173.12118598837588
59,174.29126146975773
60,180.54127047636587
61,182.60041749830194
62,184.54734450120594
63,188.9822362028778
64,190.43491513906392
65,196.12389038115023
66,197.49476251692653
67,198.60111987651302
68,206.00858319969973
69,207.63380210116804
70,208.77563070303557
71,209.65003456102613
72,210.38679935719003
73,213.74397413377184
74,213.96816047580879
75,222.4980269848765
76,223.07401587934211
77,226.6633715338165
78,231.45670788190202
79,231.79362820490041
80,236.46405882866932
81,237.9925137627657
82,243.82790961882466
83,245.5391043239423
84,248.58322474823319
85,249.58316843057
86,249.62703757860882
87,251.19587605162837
88,251.5021747058716
89,255.3815028761735
90,258.38601866004336
91,264.31335377511164
92,266.70819005052459
93,268.38717090639494
94,270.02135394337284
95,271.13689924204522
96,278.87709240139407
97,279.68436698281698
98,285.28147647283441
99,288.01443878752724
100,289.40167721127261
101,290.46107866613755
102,291.33627268602845
103,293.59494455292372
104,295.81239388737526
105,298.198208939388
106,302.08395196826672
107,306.17104733606345
108,306.91714138011685
109,308.69307012982421
110,312.82461963771493
111,313.93693240117415
112,316.82215384166801
113,324.15712313363457
114,326.19565700274114
115,328.15108262762561
116,332.95727861996426
117,333.01730083802516
118,334.98923585190818
119,336.73143370753297
120,339.87134792316675
121,340.20701750300844
122,344.3386755656274
123,347.58256955408194
124,348.70019987866169
125,350.00598608422371
126,355.83200268853648
127,356.22953170600198
128,357.97128143932815
129,359.23409640428144
130,362.29345194011375
131,368.77707290814016
132,369.30553158621814
133,372.47113225175787
134,373.94778095502801
135,380.3082743633322
136,381.4124669260903
137,383.22162925409611
138,384.1904981864347
139,386.70728772342551
140,389.14553316020539
141,391.83492629504315
142,392.98775624369398
143,396.68545872069205
144,397.38806102796588
145,403.57727545021834
146,405.812142929728
147,407.83951076294539
148,409.74341733931089
149,414.03283168707628
150,414.40474045514975
151,415.53983256669721
152,417.98722304896086
153,423.2109349664334
154,425.85573379535697
155,430.95294179595277
156,431.75753483128238
157,435.27061790096485
158,436.77895073210925
159,437.86613092531906
160,438.63384035709004
161,440.2672803740021
162,443.10856146364898
163,448.66769325924565
164,449.87042582431945
165,451.37316002499796
166,457.14564277344175
167,460.44141420365673
168,460.75662007384852
169,462.04852729022542
170,464.47514588720969
171,465.83886246567465
172,470.20214205652809
173,470.63153592981502
174,474.23204013851114
175,477.12748342261619
176,483.10824015375539
177,483.34950832818998
178,485.87152156993801
179,486.93855570259154
180,488.7262896413435
181,491.15355376441556
182,492.33600522507447
183,492.6546225652213
184,496.89172246520934
185,498.62042357402288
186,504.7097917702319
187,506.24049680972598
188,509.68931059880509
189,510.32437408620285
190,512.57560962142929
191,515.4262575417423
192,517.32876699383314
193,518.94730004081998
194,524.22001917355158
195,526.1993119246398
196,530.43071056379972
197,533.74511015483472
198,534.94791102214219
199,536.03546978418149
200,537.66691113617162
201,537.85964292794699
202,543.06238438916478
203,545.76185547569912
204,546.09167336925009
205,548.29877116310365
206,550.1300261239262
207,554.14335911664659
208,555.03576767661968
209,561.3122310558075
210,561.39592102739493
211,563.50427220750237
212,565.74828358486502
213,568.987780300385
214,573.22557740978721
215,573.90590890859221
216,575.50231194470962
217,576.68117163968566
218,584.55251045729017
219,586.56136937292104
220,587.35742168946092
221,589.82091482822034
222,591.92986682447031
223,593.6830390514325
224,594.64495790329943
225,597.05588055812416
226,599.63589120008055
227,602.08185067692614
228,603.2549395085756
229,604.56787722844081
230,607.82839646346019
231,610.61165881432237
232,614.0017177368353
233,616.49772566308116
234,616.92590620426358
235,620.02269686477064
236,620.14958785299211
237,622.82937753515864
238,627.37670156344518
239,630.03855034920423
240,631.74335417685029
241,635.54261976819316
242,637.81811453406704
243,640.25491903509499
244,642.739140095778
245,644.75758901950894
246,646.78506704132246
247,648.87667855508892
248,654.99850876742414
249,655.39554723961089
250,656.9706400536802
251,657.51427938768541
252,662.41841292813388
253,662.53979212244099
254,666.77214432975279
255,666.85567192650035
256,669.31755670996642
257,669.82087646015555
258,671.1208226514118
259,673.50849930712729
260,677.98324746401374
261,678.98242801694209
262,683.80011868609336
263,685.77641196111517
264,687.51382214283353
265,691.45104539484169
266,694.7828194971687
267,696.22377160566157
268,698.06885017237937
269,700.48868427539935
270,700.6908312692442
271,703.30509353705895
272,708.38127466410162
273,709.57701826028767
274,713.6598741164222
275,716.75487717605404
276,718.00750342231152
277,720.05500472587573
278,723.77739134056173
279,724.58488402480555
280,724.82664133763819
281,726.08742179078229
282,727.87037102587215
283,730.33250084368638
284,731.69831809852485
285,733.7193521487543
286,737.02398503399422
287,737.25198626631766
288,740.26000322733842
289,744.07820991495862
290,745.62360609593759
291,747.3525355768121
292,751.83055791049662
293,756.07503243835913
294,757.10054138266992
295,757.55079036021436
296,759.08916176337436
297,760.17995336423689
298,766.26453425991849
299,767.65302089965462
300,768.96067018052156
301,770.63198162210506
302,775.5118304942265
303,777.29219964622473
304,780.11330974579141
305,783.65376854704846
306,784.63237907706866
307,787.67476230416116
308,788.40497501070024
309,789.58291540238076
310,791.48053838298051
311,793.18749805617915
312,793.69491078831629
313,797.79322546671142
314,802.56192501982218
315,803.68177157275397
316,803.77782677880725
317,808.10114830906366
318,809.97597109330081
319,810.36771502407555
320,812.31664205944389
321,814.19386491828232
322,816.04286137711131
323,816.22197300117625
324,823.17187548487129
325,824.93061168596728
326,830.78291205685366
327,830.93062681145943
328,831.50350689905895
329,833.13294280917489
330,838.04977237611229
331,840.28975429605555
332,842.03875130586277
333,844.46092289031981
334,845.19499873486632
335,847.03259904757329
336,851.35935680466673
337,852.91713627189461
338,854.36442442766543
339,856.11257522154926
340,857.96528097687599
341,861.65560689142183
342,862.59700538574759
343,867.51571325774398
344,868.3082942715431
345,869.8211610161087
346,872.27744923588705
347,872.37908396167006
348,874.27023473514453
349,874.96532883582836
350,878.01234573373051
351,880.20926861033934
352,882.09889359672684
353,882.75958990798426
354,884.62387020652818
355,887.74838291982076
356,892.02391681267477
357,896.23794222043523
358,897.27150711155389
359,899.58108347549819
360,902.63348469574339
361,905.72939303750752
362,905.99393800849657
363,908.3784671621753
364,909.73696830360188
365,910.24143127760681
366,911.00166162044718
367,916.81908973736677
368,918.92477766213824
369,919.97652265728084
370,923.62917014752384
371,924.45162232219843
372,925.40876141012279
373,927.00870746775547
374,931.36087586517544
375,933.4590744893851
376,936.83787400857636
