# Domain: ellipse_minus_quadrant (FEM, convergence sweep, dense eig full spectrum)
# Resolution Hmax = 0.119, dofs = 1482
# Computation time: 0.1832 s
# Eigenvalues stored: 1482 of 1482
n,lambda_n
1,5.8736591394850297
2,11.537142487768746
3,15.143060908306001
4,15.924613151192975
5,21.123520622648268
6,27.08356097229419
7,27.512060340692347
8,29.930839652179689
9,34.718436540233824
10,41.351149958055984
11,42.201494553118415
12,44.526446377608437
13,46.998900567359577
14,50.42322019962198
15,52.365800596586624
16,57.818965087953032
17,61.429857153998171
18,63.846213945610671
19,66.045881587380464
20,67.920404578229395
21,73.725329996751071
22,74.305306930879652
23,77.972762704272213
24,84.822433422021291
25,85.457795205554874
26,89.151917727939534
27,90.952785302066232
28,92.288972371783117
29,98.564113561079139
30,100.44084976391193
31,101.94749353780979
32,104.85427123643115
33,111.52865347824893
34,112.37841312936523
35,114.35000562075736
36,115.40700022485144
37,120.68609186927799
38,122.18560735340982
39,128.59228381243946
40,128.93524367318349
41,131.70800712763744
42,137.60375183869073
43,140.43113388734014
44,143.71596090954378
45,144.08267641020183
46,144.19775528761718
47,149.59490596242972
48,154.51852638333023
49,156.67005053772274
50,160.41525417542658
51,162.11924493693536
52,166.43761708409261
53,169.43060807191566
54,172.785678405261
55,177.43639285417044
56,179.10332213684154
57,179.60384218046315
58,179.89638852012871
59,182.0102744624545
60,188.25436132695734
61,191.9442916103622
62,192.32534445463199
63,196.8896413230797
64,200.1723442319915
65,205.07790163353013
66,205.95415833160732
67,210.53720407091396
68,215.71201789294861
69,217.97564311788821
70,219.23845194660478
71,219.80173643720437
72,222.09698695019338
73,223.92832737050213
74,226.78398418732706
75,233.59965802902806
76,234.9020566278511
77,237.92220497894027
78,243.49194353869598
79,245.18990839231276
80,248.3657846436559
81,252.85633385731802
82,257.73933393160229
83,258.64176272897566
84,262.19829777128973
85,263.84994470979984
86,263.9082472836663
87,265.97414573991892
88,266.29407533744467
89,274.01503946662154
90,275.65472321101629
91,279.24348527740739
92,283.43667969264118
93,283.67768543242465
94,286.31752530497272
95,290.5373133176783
96,295.30067047297928
97,298.85476869796679
98,303.96057581372247
99,306.3772973208504
100,306.93566834285269
101,308.37046473835795
102,312.00033684971538
103,313.74460568895881
104,315.49895498216989
105,317.13915922854346
106,326.378945270516
107,328.32542009140263
108,328.9546972384706
109,331.98327790900703
110,332.61712311956097
111,336.08020672956076
112,341.92959716278034
113,346.41800651733979
114,348.78236210269819
115,356.01267466775738
116,356.53673660439682
117,357.6082555286178
118,358.98864894295303
119,363.26834614475223
120,364.38395271560972
121,367.15021374959997
122,371.45079449294479
123,373.35429384382257
124,376.40033674095503
125,382.40653271041231
126,382.83651330888205
127,384.29310906176875
128,388.79968368453871
129,391.99518706844219
130,394.72518635493617
131,398.41934425214936
132,401.78060360896916
133,402.08756084139526
134,410.85935466719371
135,411.74603035162693
136,413.15575859826265
137,416.32164192278651
138,416.95319926000366
139,421.11473435818868
140,423.527457569425
141,425.08861342518782
142,427.90703616797913
143,432.70547035936619
144,438.77492656305662
145,440.3901751641622
146,441.04027966902947
147,441.64206733877154
148,451.7296121423235
149,452.45012112292852
150,454.73506404697025
151,458.23608323304614
152,461.52935115015816
153,462.74465773288807
154,470.61699916728725
155,471.08786457754394
156,473.47979777060732
157,476.11911550420109
158,480.19642222140442
159,481.00042107109459
160,481.49682191212054
161,482.3408879066003
162,490.47578466371726
163,494.10579328058873
164,498.62872809886392
165,503.62936357982466
166,504.06994975912687
167,505.23746885078202
168,507.71939293680776
169,511.44354266006786
170,513.41265317122838
171,522.07192805343902
172,523.07290348363426
173,525.83902855871304
174,526.41956854047316
175,535.64648849102741
176,536.25053572508648
177,538.17437440775404
178,538.58522245957113
179,542.37588840264732
180,543.10878787605452
181,545.44564459744765
182,547.93289309829993
183,548.99486708315612
184,554.31672357323953
185,559.92275861184794
186,567.67384775034395
187,568.53484419609447
188,570.00519872896291
189,570.76239181396897
190,572.4541168925274
191,575.87858205328769
192,578.06615066409893
193,586.44348728019088
194,592.50279298573628
195,594.27298815854556
196,594.50923238595681
197,598.19614412712554
198,604.86671308305745
199,606.91939974587342
200,607.7416151490246
201,610.41962355448084
202,613.77383158677924
203,615.72340595249716
204,618.77352551185822
205,620.02558343888222
206,621.49148662972914
207,623.76609789739018
208,631.93105562137407
209,633.02537278802515
210,636.88079678695271
211,643.16373756610824
212,643.57484601424096
213,646.23048154188416
214,648.72328390391669
215,651.07819667971444
216,651.38479870723791
217,666.0988424407758
218,668.09460821998368
219,668.36398497755329
220,670.30396255489256
221,671.72269942374658
222,678.86679113478044
223,683.61505709086452
224,685.22653435371933
225,685.43713777481923
226,691.53288382566325
227,694.01965075708972
228,694.17016987158308
229,695.16932477234627
230,700.56625436773891
231,702.02771007646857
232,703.41655946680135
233,704.98116857233288
234,713.46012712243783
235,716.10250778508066
236,719.47112635149779
237,719.92959355506173
238,723.4336186132208
239,726.19133626411633
240,731.40882363908179
241,733.36033995710534
242,737.47166638981855
243,739.69699666120857
244,745.37323674800371
245,746.47713408086304
246,756.11639130440324
247,758.30210842619522
248,758.60799114395309
249,760.47877869007209
250,762.76397646288535
251,770.18425036045392
252,771.19123164868176
253,774.65153560840236
254,776.72162712456577
255,777.62660049136139
256,778.20986823545422
257,779.93301958276345
258,784.23444358454651
259,785.27926455429179
260,794.83716201869038
261,797.55840480374604
262,799.53970211624789
263,801.18298275182747
264,801.46751599193897
265,810.57653628154185
266,811.06605267887528
267,814.60943658378801
268,817.27805816574403
269,819.4522148494259
270,826.10024352984487
271,829.7517719585735
272,831.84528070545321
273,838.52708456985215
274,840.07450534985367
275,841.79321329655522
276,842.84602335192221
277,844.68689464214481
278,849.07131764736528
279,852.92530565347101
280,854.66201283656801
281,857.96110158769091
282,858.42427628221492
283,862.14576746156968
284,866.24549132140532
285,866.97971054630318
286,870.20149629848527
287,875.61655936817158
288,877.19110189682294
289,881.73877855294074
290,883.94031693956413
291,886.06601269133637
292,887.26073272074348
293,888.27788836125876
294,891.63188175842561
295,896.29022853323863
296,900.87836274116944
297,909.8052133961005
298,913.32761249570069
299,914.77549012558859
300,919.28630224524102
301,920.52497263272937
302,923.71667678567508
303,926.76988605919757
304,929.56877131179692
305,931.01700866712304
306,934.40028500060987
307,937.8696703709694
308,940.85078566489585
309,944.1879465718149
310,945.58392184696959
311,949.69128524131838
312,958.3966569218087
313,962.06040494522131
314,962.9511382010237
315,963.26050424935715
316,964.82205524871586
317,972.22413189118458
318,973.03563411921266
319,974.62618300303222
320,980.81754959535908
321,984.46656806545491
