# Domain: gww1 (FD, convergence sweep, dense eig full spectrum)
# Resolution M = 47, dofs = 825
# Computation time: 0.0241 s
# Eigenvalues stored: 825 of 825
n,lambda_n
1,2.5442980256244305
2,3.6562707413947755
3,5.175804422932953
4,6.4990309826538546
5,7.224858469647403
6,9.1394377930638875
7,10.482927331362719
8,11.407416495513642
9,12.202903946942065
10,12.941938415454965
11,14.115080724039986
12,15.70124804088149
13,16.666777132040192
14,17.369609967073572
15,18.72103256403804
16,20.500546350186678
17,20.885610119162838
18,21.812374535882523
19,23.096674644212957
20,23.927233853139008
21,24.031373733661859
22,25.500658419986063
23,26.660065386248313
24,27.345917844494732
25,28.809222600421563
26,30.370036749901882
27,31.145355869490981
28,31.315309463829326
29,32.045372299088143
30,33.10031013383405
31,34.926957419792032
32,35.877699482033876
33,37.466016140165671
34,37.629907380967133
35,39.176487064049333
36,39.441303743425721
37,39.556934224220505
38,39.949816116509197
39,42.449990370773577
40,42.870266075242206
41,43.888325787767229
42,44.593864091636888
43,45.457027094900518
44,47.233751846676157
45,47.396051078644106
46,48.369767806496803
47,48.947965445205611
48,49.690397138311532
49,50.764278709291418
50,51.942967656448239
51,53.291833496907842
52,54.068299406650013
53,54.530781585337635
54,56.120841999186965
55,57.972696532543345
56,58.63475698418366
57,58.751168446121738
58,59.062221633395758
59,59.346494281877028
60,59.987854169287175
61,61.185992370478182
62,61.932699657321862
63,63.224259444820461
64,64.235122375581483
65,65.444819171528181
66,66.507855784011369
67,66.630430012045665
68,67.219504315939872
69,68.510403662766493
70,69.035558459039706
71,69.724799144512119
72,70.688572387536027
73,72.225223948809528
74,72.562468375204034
75,73.749529056387871
76,75.294630679752103
77,75.766296310457733
78,76.409419068039597
79,77.226666840392312
80,78.458899798764506
81,79.216344093341448
82,79.762176505187981
83,80.548397014385216
84,80.957672513273181
85,81.262808573484378
86,81.476004765654835
87,82.695810196774914
88,83.670618152952173
89,84.765441768064818
90,86.4414459013841
91,86.63694685410664
92,87.114924030452627
93,87.682680139162798
94,88.759940495824168
95,89.362858214992798
96,90.37197141229268
97,92.397159240128545
98,92.694087333394108
99,93.561324569814971
100,93.668777753235531
101,94.377342181612619
102,95.016400660190129
103,95.215682882935099
104,96.295259594314857
105,97.610528792924043
106,99.045139304821276
107,99.656774476238141
108,100.5441897767016
109,100.58841028254373
110,101.37893174198965
111,102.52417223776499
112,103.67759343112353
113,103.98793861520154
114,104.91965812262693
115,105.39123249483626
116,105.48792289032176
117,105.94308434966885
118,107.25947829236206
119,107.51429027205806
120,109.30452540980357
121,109.9066006583674
122,110.64652959580599
123,111.22162821593825
124,111.97794519046055
125,112.6738786604792
126,112.77185862049106
127,114.56473447350017
128,115.57836394982853
129,116.07305940735652
130,116.50685266539041
131,117.06734974198589
132,117.54435848808518
133,117.63504598413928
134,118.30194925840217
135,118.92233037957705
136,120.41996524884709
137,120.89353138125392
138,121.95330680490783
139,123.9647670319514
140,124.21008557141941
141,124.60032840720935
142,124.96742226602808
143,125.78673512151782
144,126.32011143896753
145,126.51841896198781
146,127.51061067772824
147,128.84280346495984
148,129.66152261150293
149,130.01118285867082
150,130.45948410838628
151,130.73539438949578
152,131.80861920284491
153,132.32114023370588
154,133.48663172039394
155,133.81519656055758
156,135.23395321741512
157,135.90353083075965
158,136.18178241043995
159,136.49157000348393
160,137.37990700805204
161,137.74341983855498
162,137.76114922470157
163,138.19351317692966
164,140.51877079005766
165,140.75485476210395
166,141.68679125992549
167,141.76210508917811
168,142.48419306243517
169,142.84296162052155
170,143.02497283750131
171,143.32069007349648
172,144.68502114908958
173,146.76909055135044
174,146.81103802045257
175,147.77094848126868
176,148.69879153073384
177,149.02499761916437
178,149.399778254399
179,149.571889625274
180,150.12477599045164
181,150.57139072289797
182,151.94931805812431
183,152.64530112035206
184,153.46634410969403
185,154.06155166126734
186,154.53289239294799
187,155.43104532645123
188,155.45409826325422
189,156.47477984050954
190,156.90022998522667
191,157.53133494808932
192,158.56706796974549
193,159.06776947817536
194,159.44561795981076
195,159.91544895542657
196,160.04400317635083
197,161.04956238045389
198,161.18503310490092
199,162.1007174245895
200,162.65404348539457
201,162.71498105661968
202,164.03565819238983
203,164.82199620911962
204,165.49033200812161
205,165.6737980563083
206,166.68762969305698
207,167.04974758975501
208,167.26688093515975
209,167.73606663975994
210,168.26387909284949
211,168.77942255937376
212,170.17041774743191
213,170.79185691370847
214,171.02983868532021
215,171.69091975091189
216,173.37742541565177
217,173.64855105177276
218,173.91543606343262
219,174.54345084333815
220,174.61348106736943
221,175.48750377500556
222,176.08049670920289
223,176.89816657284294
224,177.1707549604763
225,178.04845860867846
226,178.74552880985348
227,178.8621423296446
228,179.44296345111781
229,180.15702601934882
230,181.04963275609558
231,181.77298240579344
232,182.04495943920438
233,182.51994793291334
234,182.64421157050489
235,183.35735578119096
236,183.42856708824465
237,184.26616820339297
238,184.86812515272331
239,184.88701017349095
240,185.18084655453171
241,186.72689918128697
242,186.75987443519273
243,187.03077120542758
244,187.45919413405835
245,188.84570408582948
246,189.69029894830612
247,190.21157061224295
248,190.43940931051907
249,190.46189322618625
250,191.39197975407058
251,191.51087593748343
252,191.89980749228803
253,192.16906501612098
254,193.6280998142233
255,194.68193579162931
256,194.77304979950216
257,195.01809881780093
258,195.6756168846488
259,196.21662392768565
260,196.81419960901562
261,197.45252159788072
262,198.55536896800558
263,198.73304956296556
264,199.02908458631893
265,199.28830485481819
266,200.06396595606986
267,200.40500591198114
268,200.55677891105285
269,201.06966018591467
270,201.57247393489558
271,201.90655764480516
272,202.54245299385624
273,203.54817631980245
274,203.73696119296815
275,204.59092866450419
276,206.1925067560978
277,206.23331113479941
278,206.56164886294383
279,206.76799028721871
280,206.97508527935469
281,207.01652065726864
282,207.33602226486974
283,208.01407937940056
284,208.59120133859372
285,208.85640966506452
286,209.15158587785396
287,209.6428883830302
288,209.85857139155564
289,210.72479422025768
290,211.14798109655729
291,211.54662976947807
292,212.38032333142007
293,212.56583150633753
294,212.83549958232416
295,213.79401713643406
296,214.47381135085359
297,214.47620370493308
298,214.84137394153478
299,214.96076667388232
300,215.67254023373607
301,216.6696613940012
302,217.41451092195979
303,217.62865598128707
304,218.32253088473041
305,218.9924785806937
306,219.16605618398677
307,219.59009021026273
308,220.27560467669124
309,220.35386041240253
310,220.56345789650914
311,220.68487945178333
312,220.74016635007803
313,220.96915210026461
314,221.69056344633225
315,222.2238192155217
316,222.64606548290982
317,223.38485102322952
318,223.80267420063166
319,224.36378365421754
320,224.8219884638952
321,225.15260452757761
322,225.41512269475558
323,226.67168022098238
324,226.8262945027121
325,227.59737769679529
326,228.05619217443112
327,228.25308783043334
328,228.48250122042907
329,229.19971052350439
330,229.5076977190065
331,229.78633141021706
332,230.85932187150775
333,230.90927609598424
334,231.02843878193573
335,231.33680956926392
336,231.42897261078468
337,231.98808187533291
338,232.33750862091284
339,232.68728372551311
340,232.78811147723786
341,233.66104687164565
342,233.84671010505781
343,233.87048951622228
344,234.24999298121114
345,234.58051727378609
346,234.84090656177798
347,235.39817396118789
348,235.80082356743364
349,236.43211576812007
350,236.60332183463086
351,236.88759448311237
352,237.22806598454918
353,237.48132555960706
354,237.51286317359995
355,238.09266668472361
356,238.5519347453662
357,239.46905341309625
358,239.80692265847077
359,239.90449587792892
360,240.0815576171523
361,240.4193392587093
362,240.62599190617678
363,241.47815108193106
364,242.1783534505137
365,242.39376995946157
366,243.20560020886913
367,243.52908982334208
368,243.6524892533096
369,243.7221919520907
370,244.17153021328113
371,244.2203395653986
372,244.48920524204576
