# Domain: gww2 (DST, convergence sweep, dense eig full spectrum)
# Resolution M = 47, dofs = 825
# Computation time: 0.0318 s
# Eigenvalues stored: 825 of 825
n,lambda_n
1,2.553011888000793
2,3.669697761106959
3,5.2048501876986357
4,6.5410753234627741
5,7.2751631842072113
6,9.2197980676087319
7,10.609560034316599
8,11.542029423472817
9,12.335723379366817
10,13.09244771204602
11,14.325038045032041
12,15.931643063051721
13,16.932042471411041
14,17.677729739616176
15,19.06337159048854
16,20.884680823527709
17,21.328156514414104
18,22.300394530624544
19,23.700938115532658
20,24.475463270489065
21,24.664710056995251
22,26.109878155308515
23,27.325889537012912
24,28.184401980786664
25,29.567065576700728
26,31.478308562269664
27,32.072502270525206
28,32.255322592927143
29,32.920798915911959
30,34.134118742498444
31,36.275602308958575
32,37.121677071784092
33,38.80311552161227
34,39.028264681775198
35,40.888164442109371
36,41.017081237514944
37,41.434962280396057
38,41.912058353743461
39,44.181616861704008
40,44.645447117955001
41,45.816095567343226
42,46.647304258344349
43,47.452568211105309
44,49.325832983724133
45,49.951396809494618
46,50.310916985313582
47,51.965570763325545
48,52.499483239892953
49,53.421171737502647
50,54.243454887195377
51,56.23669396722476
52,57.055935905711813
53,58.097053569074411
54,59.196390252576656
55,61.677165457137733
56,61.741148993390411
57,62.747259647973088
58,63.158391568752542
59,63.282524055713878
60,64.062223943428094
61,64.769853642858152
62,66.479920469818595
63,67.175582396228606
64,69.544963857902758
65,69.961819305957391
66,70.673975683112189
67,71.482942355623194
68,71.599078813771783
69,72.404328653877656
70,75.105945407176591
71,76.396342881341923
72,76.773787732402127
73,77.186558935325252
74,77.522562646284641
75,79.609396161368878
76,80.670187843252947
77,81.665850719890059
78,83.636018534109454
79,83.766992414670952
80,83.849022346815048
81,85.887925316838817
82,86.056232318570096
83,87.32768523381101
84,89.167883523770982
85,90.297884901070049
86,90.890700394254637
87,91.069881283151091
88,91.308455786256246
89,92.144855606758298
90,93.315134812786113
91,94.612847622449152
92,96.16504274728112
93,97.868442024250768
94,98.30818332061466
95,98.524278941121665
96,98.789155607093974
97,101.1493318531077
98,101.8704415238449
99,102.8202703191515
100,103.35112974218816
101,104.51772686205645
102,105.47911373644625
103,106.16160241817168
104,106.44205190402667
105,109.33893637208214
106,109.70572718379525
107,110.90359998520009
108,111.09247557833874
109,112.76724019967644
110,112.84731413886378
111,114.23467050356852
112,114.40744447639258
113,115.95433706096316
114,118.83811080119079
115,119.24320130492812
116,119.67041854452752
117,121.33259973785947
118,122.44809936452741
119,122.71351014683474
120,122.82874710349509
121,123.05865042949021
122,125.14566031331198
123,125.8951006696616
124,126.85341366111734
125,128.2296728572291
126,128.69990558111135
127,128.78109148607072
128,130.40380912434381
129,130.90597687629031
130,131.28279541365166
131,131.62330498795461
132,133.50014921790404
133,134.75380018785964
134,136.4693640099116
135,137.76403093814588
136,139.37870440640489
137,139.57289189285501
138,140.11224578796376
139,140.21617142224511
140,140.91533000114271
141,142.43400735276057
142,142.80903483145988
143,144.88160976973791
144,146.46104662557562
145,147.02491590534248
146,149.06858716499875
147,149.50635487192423
148,149.80435370408932
149,150.48734434631618
150,151.664180005237
151,151.68338099474954
152,153.16136163008173
153,155.10120700740151
154,156.77285084223726
155,157.56085596211892
156,158.86027412249567
157,159.30062087051553
158,159.61605516241286
159,159.90668020055602
160,160.16394647696907
161,161.16148306227004
162,162.23929630718661
163,163.30729018645096
164,164.36190316051307
165,165.57411378109592
166,166.28522807280271
167,167.07978100896634
168,167.73140020255599
169,168.83718522833959
170,170.06038045844326
171,170.29345614548885
172,172.4160355339435
173,173.26634982071741
174,174.98408834100238
175,175.47048530347092
176,176.97676966234593
177,178.15491443571378
178,178.84281063514373
179,179.42375038895688
180,179.47928197251551
181,179.58300919673241
182,181.12093341629642
183,182.46055524011877
184,183.12491420738448
185,184.32600849777413
186,185.21477138405339
187,185.81939431765645
188,186.8319628373398
189,187.83788934491122
190,188.17558744853667
191,189.87879494799793
192,190.72636502696093
193,192.88608870371417
194,194.95949631691238
195,195.46151158798168
196,196.04640179461262
197,196.66336221377622
198,196.89081582598504
199,198.16446028698431
200,199.31205443110454
201,200.36512822498904
202,200.46483778537723
203,201.10106867766874
204,202.11243791226451
205,202.69341558206492
206,204.55916256583012
207,205.94297643726679
208,206.40503091459473
209,207.74301354149682
210,208.32121865454661
211,209.07073478529841
212,209.68731098201297
213,210.12595092826896
214,211.07647762032227
215,211.42070333520803
216,211.75287780501566
217,213.38268647091093
218,215.54475665137932
219,217.86937752276003
220,218.31164228299843
221,218.82781963452328
222,219.19143186317683
223,220.409842003503
224,220.57526228779881
225,220.86956139188123
226,222.20633332592931
227,222.76409872934363
228,223.45789365871386
229,225.45511423505701
230,226.82789404073961
231,227.44084829141227
232,227.92486217281444
233,228.97073756736879
234,229.67902616301606
235,231.2744202171279
236,233.15443196266318
237,233.86282203670007
238,234.20933522463687
239,234.86991343396497
240,235.96123999652428
241,238.20725454246923
242,238.36373465465883
243,239.08578848730332
244,240.73457786813643
245,242.11554725189211
246,243.16749199303212
247,243.86192548525514
248,244.80247376131425
249,245.44912694854813
250,246.12385843377351
251,246.46326709872659
252,247.01337591092386
253,247.80097347483962
254,248.65706364705517
255,249.25892149109933
256,249.83544010405808
257,250.5296839856266
258,252.66195636177918
259,253.30185858429016
260,253.96831720484499
261,254.85875777135712
262,255.23555748463335
263,256.97408566515662
264,258.01793301526288
265,259.98841405311651
266,260.36329719651582
267,261.02985461879206
268,261.77855336879691
269,262.7233071913746
270,263.00542429410115
271,263.91951526052054
272,264.21642617791963
273,265.17465974854775
274,266.76855759423728
275,268.84432028859368
276,269.28215291891672
277,269.84484493668191
278,270.58609872204704
279,271.13538785782799
280,273.19438580552867
281,273.83154515382796
282,275.24009683545421
283,276.11375882959777
284,276.56160272910114
285,277.93494180227538
286,278.52973852448019
287,278.75528602824636
288,279.76968438510193
289,281.19854563855387
290,281.55593770175153
291,283.16468617121791
292,283.59829191226652
293,284.42694640408149
294,286.77548489719766
295,287.7866560165009
296,288.02082399159571
297,288.53528720682488
298,290.06673342080165
299,290.42032479330067
300,291.35521712840102
301,292.48671138138565
302,292.75975932467617
303,294.5274410803604
304,295.58725559080597
305,295.88002686285597
306,297.55100956166825
307,298.2550444053353
308,298.74795872433867
309,299.6541187261995
310,300.65381888282735
311,301.95340957051775
312,302.19764049929569
313,302.95244699636567
314,303.58753437813681
315,305.27860604863162
316,305.80000670215236
317,306.26084361315651
318,306.86470724485093
319,308.09097239830396
320,308.51878929138945
321,309.07396970415823
322,310.07097929610876
323,311.80265979772406
324,312.9694431044768
325,314.5161678161586
326,315.75512287023446
327,315.9757376287443
328,316.59789582654895
329,317.25010323666112
330,318.36061444797906
331,318.59663033495281
332,319.38080978458203
333,320.53860681011713
334,321.04958514813819
335,321.56897777462689
336,321.88601852264105
337,322.82016234969035
338,324.63683158413954
339,325.37961147926325
340,326.959855462988
341,327.27667374677299
342,327.94985860312249
343,329.21657423824382
