# Domain: gww2 (FEM, convergence sweep, dense eig full spectrum)
# Resolution Hmax = 0.102, dofs = 6028
# Computation time: 23.5432 s
# Eigenvalues stored: 6028 of 6028
n,lambda_n
1,2.5393490222902244
2,3.6569006751449433
3,5.1783175935480248
4,6.5381906779164325
5,7.2506866352774439
6,9.2105842213514517
7,10.598740035000279
8,11.542033921871983
9,12.337164855097383
10,13.058016765555863
11,14.315487547370708
12,15.877626865258446
13,16.942344533741899
14,17.667175685068234
15,18.989567523357664
16,20.884623316702417
17,21.256945226491251
18,22.240946011563491
19,23.713114117068454
20,24.480870236422117
21,24.675272278929619
22,26.086152663207553
23,27.30999875947176
24,28.179442343507926
25,29.574111577935984
26,31.488590796358384
27,32.078910502323183
28,32.224767849958155
29,32.911439614015308
30,34.140668336313396
31,36.268443971085617
32,37.107163968442933
33,38.800879205012777
34,38.955343387668009
35,40.840208997946078
36,40.97273416562907
37,41.456217759808901
38,41.951955646713778
39,44.154877294198691
40,44.481777195619863
41,45.858821175759999
42,46.70906614277051
43,47.453918880563279
44,49.357835780404919
45,49.942419249040171
46,50.296482621674059
47,52.041740508740446
48,52.550070621714639
49,53.40677322101434
50,54.210134812678717
51,56.29372217597205
52,57.073840349954594
53,58.161286870282026
54,59.167401482945827
55,61.704092058401777
56,61.747875532852142
57,62.877507542544357
58,63.224401652558498
59,63.311303462701382
60,64.174330380876597
61,64.817477188349997
62,66.491549851555632
63,67.211490259057214
64,69.51429588675353
65,70.093939298158247
66,70.698743238008234
67,71.584500420613736
68,71.610523087081063
69,72.416910594078914
70,75.052201126490971
71,76.546173633303411
72,76.912504677494354
73,77.306371629110487
74,77.422885820443256
75,79.744011995676317
76,80.751368103826721
77,81.739002868037858
78,83.872051449382411
79,83.899258028239757
80,83.938834155172088
81,85.796456577519464
82,86.080028917234813
83,87.525439587032452
84,89.073583816218132
85,90.543443232409231
86,91.003284390581427
87,91.351801924957414
88,91.355828017729493
89,92.311383928269066
90,93.42797318965124
91,94.840627246459576
92,96.366094149146491
93,98.017923410398723
94,98.671419560340922
95,98.772470647234925
96,98.994487820081034
97,101.24611263549166
98,102.04724185444556
99,103.01281779887435
100,103.50328498115061
101,104.76095427131635
102,105.70502564151752
103,106.60517433226583
104,106.72750060196765
105,109.52348441705752
106,110.07274240834508
107,110.98376999398705
108,111.14200379909607
109,113.00701232044919
110,113.14714150719996
111,114.28500503596915
112,114.89865218262591
113,116.29527630205496
114,118.64588122945385
115,119.74991340841515
116,119.87784221706895
117,121.79543453727524
118,122.76909622388085
119,123.11216767128437
120,123.27764406864709
121,123.52099282019549
122,125.1235656650846
123,126.17367446169305
124,127.32492292248023
125,128.47058430671183
126,128.86611230115776
127,129.19257403308558
128,130.94762224535782
129,131.41914070090746
130,131.62350075374403
131,132.12200725706245
132,133.67520356348729
133,135.12699359645308
134,136.86959773805404
135,138.20652650966153
136,139.86254794967687
137,140.00190052715158
138,140.89047065615378
139,141.02872126038261
140,141.49081187513372
141,143.14745285396825
142,143.33743973024394
143,145.21811429580436
144,147.2265765572368
145,147.74999212469095
146,149.60710818990881
147,150.1098625101915
148,150.69652356792329
149,150.77801326414055
150,152.15657741655687
151,152.19946247237752
152,153.69600874589256
153,155.74361141816985
154,157.28908870414622
155,158.46736937960105
156,159.65729397067162
157,160.12799710626322
158,160.17184406975394
159,160.70235933224029
160,160.70680595337859
161,161.66337458041977
162,162.9657652152722
163,164.15566489484098
164,165.18032395074155
165,166.14589083532235
166,166.82523344324125
167,168.14888855764514
168,168.55903337127435
169,170.20623048287783
170,170.38816214299746
171,171.38941131178274
172,172.92152963367383
173,174.21134658851432
174,175.66467333022226
175,176.59816649531257
176,177.74961102447813
177,178.95832822794793
178,179.89235346770809
179,180.56470510763251
180,180.58321441381358
181,180.97829752118892
182,181.99465734109114
183,183.05351525207465
