# Domain: isosceles_triangle (DST, convergence sweep, dense eig full spectrum)
# Resolution M = 91, dofs = 4095
# Computation time: 1.3859 s
# Eigenvalues stored: 4095 of 4095
n,lambda_n
1,4.9999937734390132
2,9.9999556885276562
3,12.999982682880955
4,16.99984405176221
5,19.999900147023787
6,24.999965996144283
7,25.999600226231678
8,28.999693781333676
9,33.999822103349054
10,36.999148363703178
11,39.999287770410689
12,40.999943651756624
13,44.999492561440043
14,49.998395057067725
15,51.999721269018998
16,52.998588747211166
17,57.998884070341667
18,60.999915566844635
19,64.997228911162864
20,64.99923964617949
21,67.997485363525627
22,72.997885360573662
23,73.999597269052231
24,79.998387624687481
25,81.995520028542288
26,84.995847775772475
27,84.999881636622518
28,88.998934091783241
29,89.996366678771466
30,96.997035578286969
31,99.99944963903657
32,100.99311940700184
33,103.99352704223409
34,105.9977965734834
35,108.99417918461745
36,112.99984173349617
37,115.99503480961751
38,116.99857474872317
39,121.98985824416417
40,124.99035442748952
41,124.99603620201873
42,129.99115425498383
43,129.99927782096063
44,135.9971086820288
45,136.99221685375355
46,144.98554714439609
47,144.99979570584216
48,145.99348471763892
49,147.98614060913275
50,148.99816025146339
51,152.98710268999838
52,156.99488343233924
53,159.9883926836817
54,163.99908115824675
55,168.98995331747707
56,169.97997522180046
57,169.99632132067069
58,172.98067478017066
59,177.98181381505188
60,179.99171047352507
61,180.99974337669573
62,184.98335181153388
63,184.99768900582657
64,192.99357283335365
65,193.98523175592246
66,196.9729090926329
67,199.97372364115199
68,201.99885888943902
69,204.97505447197042
70,204.98737985931271
71,207.99543143971061
72,211.97686127881113
73,217.9897052008364
74,220.97908733335476
75,220.99968454194575
76,224.99715917337383
77,225.96409174912338
78,228.96503027343647
79,231.98165920970064
80,232.99209928968983
81,233.96656789204673
82,240.96866452743009
83,243.99861014069972
84,244.98448642659156
85,249.97126376575071
86,249.99443553936234
87,256.95324130599408
88,259.95431288506489
89,259.98746100751941
90,260.97429258020441
91,264.95607243952441
92,264.99961896833628
93,268.99656865297698
94,271.95848014314572
95,273.97766097172888
96,276.99045695454515
97,280.96147992660912
98,288.98126152964062
99,289.94004960925542
100,289.99833391664851
101,291.96499919928783
102,292.94126341884532
103,295.99332963255745
104,297.94326021950354
105,304.94600045937409
106,304.96894849199367
107,305.98496890389345
108,312.99954639092834
109,313.94942844802802
110,316.99591505823145
111,319.97322101083694
112,324.92418069570925
113,324.953472068336
114,324.98863918800834
115,327.9255460106321
116,332.92779553444268
117,336.97769211829166
118,337.95804242977994
119,339.93089001672797
120,339.99802908971657
121,345.99210920314016
122,348.93477417438731
123,352.96303341633751
124,355.98221870506245
125,359.93937641299863
126,361.90526909069615
127,364.90679528595859
128,364.9994665102227
129,368.99519569099101
130,369.90931317819218
131,369.96832116430159
132,372.94460846800791
133,376.91278384535008
134,376.98663848034778
135,385.91715244993742
136,387.95036496231211
137,388.97376343706429
138,393.99769438686997
139,396.9223479619734
140,399.99076915274725
141,400.88291792756934
142,403.88461447889904
143,404.95652287636455
144,408.88741655517032
145,409.92828279836186
146,409.97919891656966
147,415.89128558927024
148,420.99937898855956
149,423.96294092768085
150,424.89616722403406
