# Domain: isosceles_triangle (FD, convergence sweep, dense eig full spectrum)
# Resolution M = 105, dofs = 5460
# Computation time: 2.7663 s
# Eigenvalues stored: 5460 of 5460
n,lambda_n
1,4.99875575174487
2,9.9939992239665383
3,12.992901369852799
4,16.981196565441866
5,19.980098711377288
6,24.975342183736473
7,25.954210732324231
8,28.953112878329172
9,33.948356350546902
10,36.905160484027142
11,39.904062630001313
12,40.935553692095063
13,44.899306102194799
14,49.824427305971042
15,51.886503443793814
16,52.823329451779273
17,57.818572924102973
18,60.859517610680371
19,64.700663857297741
20,64.805770265681303
21,67.699566003185993
22,72.694809475467324
23,73.77878443256941
24,79.682006817079028
25,81.520803938348649
26,84.519706084139798
27,84.729734184121597
28,88.655020983944524
29,89.514949556553148
30,96.502146898060346
31,99.605970735561641
32,100.2700739660341
33,103.26897611202321
34,105.47516106490394
35,108.26421958421905
36,112.52523755745985
37,115.25141692573337
38,116.42611081651243
39,120.9320059506329
40,123.9309080965791
41,124.22443109261827
42,128.92615156883917
43,129.34537763850031
44,135.17538084425695
45,135.91334891040799
46,143.4884519599276
47,144.22161418983123
48,144.88636307726577
49,146.48735410578743
50,148.09464766619607
51,151.4825975780854
52,155.83731282891904
53,158.46979491962009
54,162.97088421760279
55,167.44280908643913
56,167.91960005853181
57,168.75657965082277
58,170.9185022043751
59,175.91374567674649
60,178.39375883816268
61,179.79102429855223
62,182.90094301824766
63,183.63281620221673
64,191.31302565999644
65,191.87395718510027
66,194.20399170992124
67,197.2028938558598
68,200.45295628317828
69,202.19813732819034
70,202.82490693680555
71,206.18926221146847
72,209.18533466968762
73,215.74417375856518
74,218.15834883652573
75,219.20222631091178
76,222.31854062377462
77,223.00940229240899
78,225.31744276971105
79,229.10929858819424
80,230.31268624200703
81,230.62041031002542
82,237.29988358357957
83,241.75867232012308
84,242.02856541013676
85,246.2728977504222
86,247.44055039099882
87,252.23855303314014
88,255.23745517905215
89,256.90480196146046
90,257.22384750205083
91,260.23269865135495
92,262.42060430477363
93,266.18982041869396
94,267.21989599287411
95,270.1431143239617
96,273.72494204248301
97,276.19291015971044
98,283.93774938386457
99,285.01935087530512
100,286.85175240340629
101,286.93665152978178
102,287.14385991148947
103,291.93189500206313
104,292.47421207019227
105,298.91909234362947
106,300.06312673331769
107,301.83949095635046
108,307.89210651050399
109,309.40819841258121
110,313.13614405483571
111,314.93936328475201
112,317.38828741634211
113,318.84305626208442
114,320.38718956227126
115,320.58876098406904
116,325.38243303459512
117,331.7595033656645
118,331.76232308392122
119,332.36963037609524
120,335.69259006405014
121,341.25069296870879
122,341.34264454293736
123,346.63855963538026
124,350.50877339343157
125,352.29359429464881
126,352.56078662053784
127,355.55968876643993
128,360.12373816264699
129,360.55493223876573
130,363.45869971636722
131,363.80713897784443
132,365.212861116493
133,367.54212958030632
134,371.17070537802095
135,376.51514374715549
136,380.08909766789731
137,382.20796974408336
138,387.46609349878679
139,388.23828707654536
140,389.42435404133209
141,392.42325618721634
142,393.72715138727136
143,396.90923774890922
144,397.41849965955203
145,400.38536032070635
146,402.86990172874721
147,404.40569700110478
148,413.37871116791752
149,414.52267872793971
150,415.26159687210281
151,415.65850777661615
152,418.15829948588151
153,424.32966091960674
154,425.42634773792543
155,427.94661141276612
156,430.945513558703
157,432.08173695310023
158,435.94075703096877
159,436.32043976119633
160,437.24892774144746
161,442.9279543725728
162,444.44269113732526
163,449.85749583658458
164,450.83100698081182
165,451.90096853938599
166,452.12516429289997
167,458.8768857704261
168,462.85191829103326
169,468.09372359684642
170,468.94530437386624
171,471.09262574273828
172,471.49293896544657
173,472.55724005117105
174,475.77118511291985
175,476.0878692150493
176,476.1418874880103
177,483.07506655657852
178,483.30803386904279
179,487.69457440156668
180,490.64742166435002
181,492.0480807234631
182,494.04938497462621
183,502.99903047510196
184,504.25643640189139
185,507.46756174530691
186,508.35650638617852
187,509.59242552050966
188,509.8304283015637
189,512.829330447502
190,515.918297296996
191,517.8245739198012
192,518.48053307325665
193,524.81177126132684
194,526.21683177304067
195,530.79453384840201
196,530.91295239542831
197,533.78478542819516
198,534.17644881123385
199,537.70697443435131
200,544.73573517985699
201,544.76492472469056
202,546.87876375770611
203,547.61467392940722
204,553.12006705315423
205,555.34410049404482
206,556.11896919902836
207,557.65500200173597
208,561.11421267134938
209,566.36394395709704
210,567.62698684375948
211,568.10141001289855
212,569.43520976685215
213,572.53123855314448
214,572.87947363854414
215,577.07442417975915
216,581.62849214547339
217,587.02587594170427
218,588.02537393139551
219,589.35137863408272
220,593.86635786551165
221,597.92461739368957
222,599.32618319444896
223,600.92351953967443
224,600.94464075330893
225,602.79948604795186
226,605.91876301195305
227,608.10064866185303
228,609.58232195093694
229,609.74304105934016
230,612.90596035351757
231,615.82087730468697
232,620.15074951696238
233,621.87897452031984
234,628.7625806464506
235,632.64101738568729
236,632.82992427199508
237,634.01347004957552
238,634.49868239858665
239,639.66305346869433
240,644.20472627782749
241,645.7491910938495
242,647.20362842375755
243,648.26529843077083
244,651.31902665570158
245,651.39028741340019
246,652.19887189606322
247,659.18606923760854
248,660.29786170098885
249,660.625427645287
250,667.94922043110603
251,668.15908340445003
252,671.36224981939085
253,672.05221939805824
254,675.7501747543173
255,677.44556772630051
256,678.18531084018502
257,679.11003315609958
258,688.41241061485061
259,691.91974463710005
260,692.02929997793944
261,694.60866540724487
262,694.91864678301488
263,696.1948377539494
264,699.91389025529384
265,702.0345664057611
266,704.81278785190034
267,706.9010875968487
268,706.90553652939104
269,709.88450719087427
270,715.87410176368223
271,716.85676973860507
272,718.33242302427209
273,719.0398135058839
274,723.72567661038295
275,726.82505151534201
276,730.14911531962912
277,739.41321574782228
278,739.74431833720428
279,739.98528705607578
280,741.027763083384
281,742.47494663808413
282,743.33504522334226
283,744.02666522930997
284,745.32420515732429
285,749.0219087015987
286,750.03161937492052
287,754.62055488862848
288,756.0091060431231
289,760.06912772902911
290,763.13687862272934
291,763.84436384645448
292,764.98212020998039
293,771.44069496964175
294,773.43875407117491
295,775.93306996166564
296,778.50754442754942
297,783.48215740744217
298,785.69332463194439
299,788.85233678352938
300,790.12875549788714
301,790.18996499733601
302,791.48564871906251
303,791.76832407963752
304,794.48455086498439
305,799.47979433729734
306,803.35876648052192
307,803.72857333492163
308,806.46699167880763
309,810.12447273054454
310,810.85189698196689
311,815.37111184833498
312,815.44000584566766
313,818.24330441172731
314,818.65465661159772
315,820.54871341589319
316,825.21886211218043
317,826.39095559736757
318,833.40834299117478
319,835.05796283122083
320,836.408864381998
321,839.29798344361359
322,839.31022241920891
323,843.24908302177619
324,846.24798516768601
325,848.16331682111672
326,851.24322863999703
327,854.18645897068757
328,855.51822403237099
329,857.83949108979971
330,858.23042598150221
331,859.95991542824834
332,860.391361316352
