# Domain: isosceles_triangle (FEM, convergence sweep, dense eig full spectrum)
# Resolution Hmax = 0.21, dofs = 456
# Computation time: 0.0304 s
# Eigenvalues stored: 456 of 456
n,lambda_n
1,5.0002091705133411
2,10.001669538980659
3,13.003639552716596
4,17.008049862238096
5,20.013219007013163
6,25.025306803300694
7,26.028225564204256
8,29.037521515409953
9,34.060695859499766
10,37.07870934112001
11,40.096147585762665
12,41.106184073157785
13,45.133877212324535
14,50.189678605998964
15,52.211958330743151
16,53.219148296002693
17,58.282506909420732
18,61.331347979235886
19,65.39897130966564
20,65.415553114834324
21,68.463977047501047
22,73.546816678340122
23,74.593162578360307
24,80.733085551305393
25,82.800895415628801
26,85.856324162180599
27,85.887940195416718
28,90.004467119364094
29,91.012337156183094
30,98.277150158656795
31,101.40228689284272
32,102.46942019200227
33,105.5293768865285
34,107.62357622177325
35,110.71559497037202
36,114.98262650001206
37,118.15432677290609
38,119.16626233194795
39,124.50717469615381
40,127.5021769013008
41,127.66588667832043
42,132.84159557573429
43,132.9496050647125
44,139.24051485476087
45,140.37952848199745
46,148.79060248557442
47,148.93896184444813
48,149.98686142503507
49,152.09539939575146
50,153.14286861697292
51,157.17315191439627
52,161.60455951969357
53,165.10545934931679
54,169.54730636509785
55,174.7820638423118
56,175.73664476872767
57,176.18665277421323
58,179.1840641129163
59,184.22262135081144
60,186.70392966932599
61,188.14824956495002
62,191.78106924688586
63,192.75584183752366
64,201.10533808506585
65,202.23038907564026
66,206.10404988681722
67,208.78858717053311
68,211.28985981584259
69,214.43520234656251
70,214.83239017382482
71,218.68729209964738
72,222.58163690561446
73,229.44195789930578
74,232.0961469422833
75,232.51520744992183
76,236.9885806618401
77,237.42256792485117
78,239.96828884470511
79,245.39920313724971
80,245.78271823759118
81,246.44636921078072
82,254.16040215801368
83,256.90334848605062
84,259.21344850563838
85,263.35175154861315
86,264.61875508513646
87,268.90067769734026
88,273.75524617023092
89,274.183954614372
90,276.53828618574755
91,278.78975619080956
92,281.07645000135557
93,285.24533083734622
94,286.23561285761582
95,291.94403012277184
96,295.43306481706037
97,304.47733269777046
98,306.24487921009529
99,307.73552423231206
100,311.96498488838773
101,314.37552956534932
102,317.12407807356635
103,318.22880130401444
104,324.15314227640278
105,326.52460247249138
106,337.77690417463981
107,341.99241896146987
108,344.98866651384509
109,347.92242387484629
110,353.08482515825261
111,355.41667257195405
112,357.16234678137801
113,361.22196498840009
114,363.86823104379005
115,372.68468602440299
116,376.13337680330176
117,377.19659093270815
118,380.49710873851637
119,382.15703436306848
120,391.56502553389282
121,392.55962838791049
122,394.85417061032581
123,401.21934034600378
124,406.08652907458833
125,411.23451504363931
126,416.55373358121557
127,419.08533065487228
128,422.07385933839066
129,423.57596321135838
130,427.05801084069009
131,428.25937961808074
132,429.23401158473632
133,438.56028867477204
134,441.14400901652488
135,444.4406207696386
136,449.71274933373087
137,450.25152530331781
138,461.83555948648853
139,465.13354193692379
140,471.65591532242996
141,472.42234548378497
142,475.46105187237237
143,478.41143606918882
144,480.51684828284198
145,485.60210877894787
146,490.45535551064074
147,498.81725835371236
148,503.4380402695183
149,503.55607220997808
150,506.49154062687563
151,509.55609522790024
152,514.19977260307087
153,521.58562972036964
154,524.35636958372197
155,527.09951053115742
156,535.39881904069102
157,539.91807017202939
158,543.44333413865479
159,546.27492451082583
160,550.27742514486124
161,550.66451641286608
162,560.97107268577372
163,561.74899575922041
164,562.73308521953322
165,564.03718381528597
166,571.95822348713716
167,580.8880547443282
168,584.00796046898427
169,590.51363202916423
170,593.16808769034446
171,602.21388335779034
172,606.31865038867397
173,608.61481254348291
174,614.97423500803336
175,616.25650346194607
176,618.03051483574677
177,619.50390976264532
178,619.96827857229096
179,630.09453525333959
180,636.36759229712084
181,638.10878519148412
182,646.42635136330409
183,657.88935335148687
184,658.40648963374645
185,660.84766725961151
186,664.44706873762789
187,668.87274337729048
188,675.22380070523343
189,679.32065307524215
190,686.14222886660593
191,690.33653632475455
192,694.80911348047812
193,697.91597709130701
194,703.11083739408343
195,706.3379668797287
196,712.69406841605939
197,713.82426201192811
198,718.57531111890614
199,721.31319668652498
200,724.46713964281719
201,734.23073434036155
202,735.30559781729266
203,741.04525576209232
204,751.71178319596447
205,753.88336613502759
206,762.00981671273746
207,764.66950076780881
208,774.13331915199353
209,780.091941377701
210,782.53214771845967
211,790.60338015711102
212,793.19675082245499
213,796.97081368689294
214,803.00275551249376
215,804.062832233265
216,812.47981692993085
217,813.98390459190477
218,820.23906518458557
219,824.58444729494965
220,832.06729968424656
221,842.05870625711907
222,846.45932435505972
223,853.26833009591485
224,857.2531107464024
225,860.10558551597376
226,864.3573634013834
227,872.97423409425198
228,876.56014653647264
229,879.17347527488471
230,882.13430803008077
231,890.28431015854721
232,896.05174281595782
233,900.88366707576654
234,907.0922667146499
235,909.42212202049234
236,913.00161686392096
237,921.70123040168346
238,928.6513484291047
239,936.21308061021239
240,938.80195980905091
241,942.6858179938132
242,945.28798600365246
243,949.49793814874965
244,955.52854464901054
245,957.99049120912946
246,962.17674218499849
247,967.4383667392525
248,972.45822345274451
249,978.28759686379328
250,986.54905172546626
251,988.16878142489441
252,997.00361009527307
253,1002.0890895339884
254,1006.2475401254644
255,1013.5172924588916
256,1016.7160163462795
257,1027.2578645182932
258,1028.307042188356
259,1037.085747872394
260,1040.4941414135421
261,1043.8190007352407
262,1046.0928305674854
263,1053.94938696245
264,1055.1079648002635
265,1059.637881961823
266,1063.7298633155224
267,1066.592405121062
268,1077.8047455325145
269,1089.4172152878753
270,1091.4085113861345
271,1101.8565220396049
272,1106.9457524451034
273,1108.0453430638859
274,1108.9105976640399
275,1117.1129347975259
276,1122.3952748376057
277,1128.9060179812386
278,1142.1935101246584
279,1143.2236773676825
280,1152.3389696696595
281,1154.3796221533601
282,1157.6587998124476
283,1163.1393071678792
