# Domain: rectangle (DST, convergence sweep, dense eig full spectrum)
# Resolution M = 133, dofs = 8778
# Computation time: 10.4471 s
# Eigenvalues stored: 8778 of 8778
n,lambda_n
1,1.2499999999982876
2,2.0000000000021334
3,3.2500000000030469
4,4.2500000000015925
5,4.9999999999959703
6,5.0000000000028848
7,6.2500000000030553
8,7.2500000000025375
9,8.0000000000008722
10,9.2500000000017071
11,9.9999999999937987
12,10.000000000002373
13,10.250000000001648
14,11.250000000000744
15,13.000000000002817
16,13.000000000013577
17,13.250000000001407
18,15.250000000000936
19,16.249999999980819
20,16.250000000002753
21,17.00000000000194
22,17.00000000000443
23,18.000000000000824
24,18.249999999999964
25,20.000000000003283
26,20.000000000011774
27,21.250000000003705
28,21.250000000017341
29,22.250000000002245
30,24.249999999998039
31,25.000000000001474
32,25.000000000002675
33,25.250000000002149
34,25.999999999988656
35,26.00000000000065
36,27.249999999997989
37,28.25000000000172
38,29.000000000000053
39,29.000000000001041
40,29.250000000000036
41,31.25000000000189
42,31.250000000005542
43,32.000000000001727
44,34.000000000001585
45,34.000000000003752
46,34.250000000001691
47,36.24999999999897
48,36.250000000010012
49,37.000000000000632
50,37.000000000001783
51,37.250000000002103
52,38.250000000002515
53,39.249999999999851
54,40.000000000000888
55,40.000000000010282
56,41.000000000002018
57,41.00000000001269
58,42.249999999995318
59,43.250000000000348
60,44.999999999999098
61,45.000000000000554
62,45.249999999998465
63,46.249999999997364
64,46.250000000002075
65,48.250000000001002
66,49.249999999996994
67,49.999999999991807
68,49.999999999997428
69,50.000000000002018
70,51.24999999999865
71,51.250000000011099
72,51.999999999999524
73,52.00000000000621
74,53.000000000000583
75,53.000000000005969
76,55.250000000001869
77,55.250000000006558
78,56.24999999999973
79,57.249999999998288
80,57.999999999999332
81,58.000000000001791
82,58.250000000007205
83,60.250000000001727
84,61.000000000003048
85,61.000000000004505
86,61.250000000002615
87,64.250000000000171
88,65.000000000001819
89,65.000000000007233
90,65.000000000014893
91,65.000000000022766
92,65.250000000003496
93,66.249999999988518
94,66.250000000002757
95,67.249999999999829
96,68.000000000000412
97,68.000000000005357
98,69.249999999998693
99,70.250000000000554
100,72.000000000002771
101,72.25000000000432
102,72.999999999995893
103,73.000000000000256
104,73.250000000001918
105,73.99999999999865
106,74.000000000000213
107,76.250000000002373
108,76.250000000004874
109,78.25000000000216
110,79.250000000002942
111,79.999999999998053
112,80.000000000002856
113,81.249999999996859
114,81.250000000003467
115,81.250000000023022
116,82.000000000002018
117,82.000000000004022
118,83.250000000005002
119,84.250000000001137
120,84.999999999990962
121,85.000000000000355
122,85.0000000000298
123,85.00000000004151
124,87.250000000002856
125,88.250000000001677
126,88.999999999991488
127,89.000000000004817
128,89.999999999999247
129,90.000000000012292
130,91.250000000001592
131,91.250000000010672
132,92.249999999999886
133,93.25000000000361
134,94.249999999986869
135,94.250000000001833
136,96.999999999999361
137,97.00000000000486
138,97.249999999999744
139,97.99999999999855
140,99.249999999997854
141,100.00000000000288
142,100.00000000001857
143,100.25000000000126
144,100.99999999999686
145,101.00000000001562
146,101.24999999999964
147,102.25000000000045
148,104.00000000000152
149,104.00000000000981
150,105.2500000000002
151,106.00000000000247
152,106.00000000000358
153,106.25000000000321
154,106.25000000000715
155,106.25000000002231
156,108.24999999999507
157,109.00000000000115
158,109.00000000000274
159,111.24999999999928
160,111.25000000001241
161,112.24999999999623
162,113.0000000000003
163,113.00000000001437
164,114.24999999999862
165,115.24999999999862
166,115.99999999999831
167,116.00000000000462
168,117.00000000000013
169,117.00000000000584
170,119.25000000000632
171,120.24999999999972
172,120.25000000000486
173,121.25000000000084
174,121.2500000000048
175,122.00000000000165
176,122.00000000000229
177,123.24999999999687
178,123.25000000000469
179,125.0000000000006
180,125.0000000000026
181,125.00000000000556
182,125.00000000002059
183,126.24999999999811
184,126.25000000000577
185,127.24999999999879
186,128.00000000000495
187,129.99999999999878
188,129.99999999999903
189,130.00000000000813
190,130.00000000002299
191,130.25000000000139
192,133.24999999999991
193,133.25000000001396
194,135.24999999999608
195,135.99999999999955
196,136.00000000000529
197,136.2500000000004
198,136.25000000000301
199,137.00000000000122
200,137.00000000000574
201,137.24999999999838
202,139.2499999999975
203,141.24999999999815
204,141.25
205,142.24999999999872
206,144.25000000000284
207,144.99999999999454
208,144.99999999999892
209,145.00000000000603
210,145.00000000001705
211,145.99999999999517
212,145.9999999999973
213,146.24999999999298
214,146.24999999999372
215,147.9999999999946
216,147.9999999999996
217,148.25000000000085
218,148.99999999999926
219,149.00000000000384
220,150.24999999999648
221,151.25000000000003
222,153.00000000000148
223,153.00000000000927
224,153.2499999999992
225,154.25000000000009
226,156.25000000000114
227,156.25000000000171
228,157.00000000000045
229,157.00000000000188
230,157.25000000000199
231,157.25000000000307
232,159.25000000000026
233,160.00000000000003
234,160.00000000001697
235,160.24999999999838
236,161.99999999999986
237,163.25000000000043
238,163.99999999999906
239,164.00000000000173
240,164.25000000000023
