# Domain: rectangle (FD, convergence sweep, dense eig full spectrum)
# Resolution M = 81, dofs = 3240
# Computation time: 0.6497 s
# Eigenvalues stored: 3240 of 3240
n,lambda_n
1,1.2494802452329037
2,1.9990216465353021
3,3.2470349718072429
4,4.242147188090712
5,4.9916885893899758
6,4.9916885893915968
7,6.2397019146609463
8,7.2304219795255795
9,7.9843555322486139
10,9.2104080909314998
11,9.9599494922281995
12,9.9599494922329921
13,10.223088922377775
14,11.207962817503141
15,12.952616435087306
16,12.952616435089231
17,13.176265169497881
18,15.191349825221097
19,16.125107223235982
20,16.168932112354081
21,16.874648624536043
22,16.874648624539567
23,17.920877337927255
24,18.122661949808712
25,19.867315567392787
26,19.86731556739479
27,21.049671969630513
28,21.137193015195479
29,22.106048957527218
30,24.042338912489317
31,24.835576470235992
32,24.835576470236372
33,24.94566638098933
34,25.695207782291835
35,25.695207782294588
36,26.943221107562731
37,28.051892147499625
38,28.687874725146074
39,28.687874725147079
40,29.010599815328987
41,30.804438098098345
42,30.926608115280686
43,31.750275602538974
44,33.656135627990437
45,33.656135627991468
46,33.797105040956033
47,35.620323015713545
48,35.925298947635454
49,36.369864417013538
50,36.369864417014092
51,36.872451305257037
52,37.617877742287675
53,38.76536594379764
54,39.362531359864988
55,39.362531359873209
56,40.57083476029711
57,40.570834760298148
58,41.601264750003971
59,42.383318708447248
60,44.330792262707334
61,44.330792262712201
62,44.745858105388969
63,45.375985651303701
64,45.680065076104377
65,47.547107939977487
66,48.0864339976807
67,48.835975398978412
68,48.835975398985006
69,49.39139391804823
70,50.083988724254304
71,50.344246554143872
72,51.245491395017083
73,51.245491395017254
74,51.828642341836755
75,51.828642341838808
76,54.067375731971076
77,54.500624233857579
78,55.420514740111976
79,55.718364325113853
80,56.796903244680955
81,56.796903244681985
82,57.258945686451831
83,58.711031267971926
84,60.013218921943377
85,60.066050552766505
86,60.066050552769028
87,62.270843230722122
88,63.020384632022726
89,63.02038463202507
90,63.679292170810392
91,63.71160237698539
92,63.711602376986441
93,64.268397957294169
94,65.175280868578426
95,66.013051574877551
96,66.013051574879086
97,66.079504844204735
98,67.88662572208041
99,68.251784965009676
100,70.593991303116439
101,70.73131959797557
102,70.74070718749293
103,70.981312477715932
104,70.981312477719086
105,72.532161534740638
106,72.532161534741363
107,73.723986540824399
108,74.197628154989701
109,76.754161478926093
110,77.641391850547038
111,77.896011610023407
112,77.896011610024416
113,78.09031096127076
114,78.692247443668663
115,78.839852362568067
116,78.839852362575101
117,79.414550460871467
118,80.087865687846204
119,81.83251930542437
120,81.832519305430267
121,82.071034955121519
122,83.206818169461727
123,83.206818169462707
124,84.07125269556532
125,85.606946575975456
126,86.716570767780937
127,86.716570767781619
128,86.8007802082696
129,86.800780208272542
130,87.33408253584274
131,89.220272460894819
132,90.017095885533848
133,90.089207095593949
134,90.326749478697877
135,91.825801083585958
136,93.71547934057439
137,93.715479340575655
138,94.427505733731181
139,95.295010381539896
140,95.452002262354583
141,95.67292915142977
142,96.201543663655087
143,96.201543663658001
144,97.391227402503645
145,97.391227402504498
146,97.449556988926787
147,97.89050268567037
148,99.194210606510893
149,99.194210606510964
150,101.43294399664408
151,102.2097095138454
152,102.53603849832641
153,102.53603849833011
154,102.55531807755953
155,103.4046816939363
156,104.16247150935311
157,104.16247150935457
158,105.1021623684525
159,105.42922152400617
160,107.3787871866174
161,107.64526881413791
162,108.42188846686069
163,109.85733838446789
164,109.85733838446808
165,111.03026867159799
166,111.07717064165828
167,111.07717064165868
168,113.21069513305184
169,113.21069513305419
170,113.39014936970203
171,114.25403182584139
172,115.00357322714186
173,115.00357322714426
174,115.25219398675161
175,116.25158655241476
176,116.73972731059921
177,117.56827335041801
178,117.99624017000055
179,117.99624017000279
180,119.22414942448512
181,119.89772979941104
182,119.8977297994161
183,120.23497356013301
184,120.30484850200713
185,121.70492530631979
186,122.96450107284126
187,122.96450107284311
188,124.04174761751113
189,124.91054709166471
190,125.00696011522199
191,125.67680611501699
192,125.67680611502018
193,126.1808167501065
194,127.90321403452221
195,129.12540765976129
196,129.87920020514687
197,129.87920020514855
198,130.57238643413419
199,130.57238643413439
200,131.75268258345847
201,132.55919504115028
202,132.87147493736148
203,134.054223550242
204,134.17103628828809
205,134.38606186596033
206,135.13560326726162
207,135.13560326726576
208,136.38361659253101
209,136.58584072556857
210,138.12827021011586
211,138.12827021011671
212,138.69975936289788
213,138.69975936290044
214,139.78617406966663
215,139.80006429448378
216,139.86121534805866
217,139.86121534806028
218,140.36700360024705
219,143.03849741609909
220,143.03849741610208
221,143.09653111295472
222,143.09653111295981
223,143.8089896787092
224,145.66373507397773
225,146.31284679022289
226,147.57215031400631
227,148.35544552132831
228,148.60673322741994
229,148.65640201683394
230,149.37441599762224
231,149.37441599762315
232,149.92088634223362
233,150.01123024526422
234,150.01123024526478
235,152.26617527645158
236,153.62466291967519
237,154.18625359035639
238,155.38787028905679
239,155.68068307861071
240,155.72994962527741
241,156.47949102658052
242,156.47949102658058
243,157.22290664914044
244,157.22290664914249
245,157.72750435185122
246,158.83178940301863
247,158.83178940301949
248,159.28138986214387
249,159.47215796943703
250,159.47215796943752
251,160.53936205197996
252,161.71089135956842
253,161.84052697959183
254,161.84052697959197
255,163.94101971882608
256,164.17491325187785
257,164.44041887227536
258,164.44041887227576
259,164.93384161509218
260,166.45058450949185
261,167.56699751172653
262,167.65673454954236
263,168.72291590572493
264,169.35992120973481
265,169.50644603774009
266,169.50644603774231
267,170.55966445458523
268,171.35511800458343
269,171.35511800458352
270,171.7475008441138
271,173.0423743796913
272,173.04237437969385
273,175.51990032917266
274,175.52792535741975
275,175.53014134967836
276,176.02493621263247
277,176.02493621263406
278,178.16044068340426
279,178.90998208470583
280,178.90998208470694
281,180.03457784445897
282,180.15799540997628
283,180.17567716233623
284,180.17567716233839
285,181.53660455296219
286,181.9026490275586
287,181.90264902756115
288,181.97255701970397
289,181.97255701970806
290,182.27005224004171
291,182.44262448972916
292,183.73587117857974
293,184.14138241769285
294,185.28490747814462
295,185.93191007715069
296,186.87090993040249
297,186.87090993040252
