# Domain: rectangle (FEM, convergence sweep, dense eig full spectrum)
# Resolution Hmax = 0.0914, dofs = 10699
# Computation time: 118.2351 s
# Eigenvalues stored: 10699 of 10699
n,lambda_n
1,1.2500001036552602
2,2.000000421023036
3,3.2500018561213775
4,4.2500040298338799
5,5.0000065407767158
6,5.000006800043816
7,6.2500125393150867
8,7.250020499681149
9,8.0000263818578894
10,9.2500424103368566
11,10.000052220015188
12,10.000053478094426
13,10.250056712145055
14,11.250073139475028
15,13.000112676815892
16,13.000117388958776
17,13.250122905186215
18,15.250182631202634
19,16.250226391227063
20,16.250229428994935
21,17.00025854159399
22,17.000262656329305
23,18.000302156850498
24,18.250316688042567
25,20.000405240950336
26,20.000424094235047
27,21.250500924879848
28,21.250504468851375
29,22.250556632863223
30,24.250751067263092
31,25.000795685689457
32,25.000828628943047
33,25.250859837876657
34,26.00091158453608
35,26.000941543005137
36,27.251063883555574
37,28.251154645960099
38,29.001255336041414
39,29.001278178770871
40,29.251329937561707
41,31.251550344329193
42,31.251575868891859
43,32.001691539601076
44,34.001984468106009
45,34.002085181474257
46,34.252093534500212
47,36.252481782570477
48,36.252510741469834
49,37.002607604888482
50,37.002712120791003
51,37.2526115486001
52,38.252948910269197
53,39.25320240615455
54,40.003281222751745
55,40.003310917178439
56,41.003505967901155
57,41.00361350767632
58,42.25382351450628
59,43.25415106700337
60,45.004611681906859
61,45.004816588315926
62,45.254747201497885
63,46.255081345358747
64,46.255198665993717
65,48.255658926234538
66,49.256314096972268
67,50.006373556972818
68,50.006447814459285
69,50.006690528593396
70,51.257081097468557
71,51.257127576674264
72,52.007061136847241
73,52.007387762852453
74,53.007610892875995
75,53.007688959870151
76,55.258556508105748
77,55.258764364781776
78,56.258959324620598
79,57.259547743980541
80,58.009885299761208
81,58.010224643301534
82,58.260363000136742
83,60.261137109120575
84,61.011464661219485
85,61.011772137066423
86,61.261574864067939
87,64.263885455386642
88,65.013751871279055
89,65.01395307961532
90,65.014364461548325
91,65.014634581957608
92,65.26446342679661
93,66.264744545590062
94,66.265351248382075
95,67.265796866753476
96,68.015929753606599
97,68.016219765996865
98,69.266587734383393
99,70.267661025367403
100,72.019036158251666
101,72.269695625331266
102,73.019724222943026
103,73.020126497423291
104,73.269888690515813
105,74.020233024906389
106,74.021094475480709
107,76.272272603477674
108,76.272317875186829
109,78.274533191693848
110,79.274895695392388
111,80.025500189207364
112,80.026672594797972
113,81.277541527038252
114,81.277990094640273
115,81.278001980374725
116,82.027746387992508
117,82.029299783289119
118,83.280440931897971
119,84.279689459887109
120,85.030660784554001
121,85.030800424815425
122,85.031482327910823
123,85.031703591628741
124,87.283881810994927
125,88.28557928299972
126,89.034956347448883
127,89.036652530098095
128,90.03705542553601
129,90.037318459245881
130,91.288045110865269
131,91.288259409597458
132,92.290207141666315
133,93.290837450284698
134,94.291432513275723
135,94.291624836181953
136,97.045371708666835
137,97.046862625401573
138,97.297672756634398
139,98.047545419201469
140,99.299755614398293
141,100.04953631763772
142,100.05135173714615
143,100.30215061163283
144,101.05140848478628
145,101.05432402013017
146,101.30123084292048
147,102.30607982387414
148,104.05566067744731
149,104.05783107327585
150,105.30911559007593
151,106.05868927577288
152,106.06157878466009
153,106.30964034897929
154,106.31083042318922
155,106.31123987397552
156,108.31523261823445
157,109.06538994659462
158,109.06545774420066
159,111.31779819685502
160,111.3183591833215
161,112.32087995735368
162,113.07190377375835
163,113.07325566123438
164,114.32340888759848
165,115.32884272107559
166,116.07729004924963
167,116.07914287200381
168,117.07875805501114
169,117.08220654263164
170,119.33490827143271
171,120.33500835056398
172,120.33714716020548
173,121.34046785699032
174,121.34170885428028
175,122.0898750498239
176,122.09529286473722
177,123.34195860887304
178,123.34760542869346
179,125.09556559177175
180,125.09576774001803
181,125.0995893880669
182,125.10004717148627
183,126.35132954338125
184,126.3529857602947
185,127.35405416273505
186,128.10468793108757
187,130.10794003116803
188,130.10933605627923
189,130.11091472079158
190,130.11156564754717
191,130.35793392627275
192,133.36699263695797
193,133.36841457287463
194,135.37610914002096
195,136.12241363350356
196,136.12839914734445
197,136.37309409380319
198,136.37661866775025
199,137.12673334232903
200,137.12877318189385
201,137.37721991049065
202,139.38708993921406
203,141.38779410801641
204,141.38972798999683
205,142.38993622785046
206,144.40282549445138
207,145.14993362437957
208,145.1502375318519
209,145.15269805276594
210,145.15812305771448
211,146.15199810132862
212,146.15805117262943
213,146.40893195851268
214,146.4118317118851
215,148.15686897001535
216,148.16475793412877
217,148.4126669264669
218,149.16071681866106
219,149.16765767356904
220,150.42042083193198
221,151.4184301773256
222,153.17675780136597
223,153.1794586481744
224,153.42712650223427
225,154.4335102860768
226,156.43509945833196
227,156.43989300307271
228,157.18715707670134
229,157.1956109073908
230,157.43965854012168
231,157.44648662683224
232,159.45410889834562
233,160.20140821764099
234,160.20357607474054
235,160.44818760765841
236,162.20931789690331
237,163.45940098865864
238,164.21410030742061
239,164.22039321194711
240,164.46594498559028
241,165.47142760799252
242,168.48981080184521
243,169.23439541813246
244,169.24229246640331
245,169.49570515978974
246,170.23588225205677
247,170.23817699589128
248,170.24786851875942
249,170.25457565587288
250,171.4979225160977
251,171.50911649274181
252,172.49884893287037
253,172.50191433421509
254,173.24884071627679
255,173.26170168756369
256,174.50570453950192
257,174.51465847887556
258,175.51978027636574
259,177.51762182957029
260,178.27554437600159
261,178.28309133893882
262,180.2801600338407
263,180.29237790552642
264,181.28936112593132
265,181.29366583430308
266,181.54644316278728
267,181.54716007270093
268,181.5495562298442
269,183.54889107470399
270,185.30466859608956
271,185.30955392824811
272,185.31026747282669
273,185.31681724193388
274,186.55905013915512
275,186.56040420615454
276,189.57889144227755
277,190.58562210573629
278,191.59087904677426
279,191.59616056846056
280,192.60373852026777
281,193.34361890336302
282,193.3602277647615
283,193.59753649915885
284,194.35332779723205
285,194.36292523574247
286,196.62713265407803
287,196.62750216682304
288,197.37143401903174
289,197.38885500364512
290,198.63006380743531
291,198.64531128189398
292,199.6311103255151
293,200.38310721356615
294,200.38946414322461
295,200.39918238314576
296,200.63324419270913
297,202.39640378176085
298,202.40666779582222
299,202.65952531703755
300,205.41214059688662
301,205.41820093304887
302,205.42595646724928
303,205.42721467041369
304,205.68118058614291
305,207.69029892738047
306,208.42785175076125
307,208.44756009815629
308,208.69527828561417
309,210.70333189604116
310,211.69696102189226
311,211.70428714009668
312,211.70496980917338
313,212.4625467988464
314,212.46356698406015
315,213.72792513400668
316,214.71707517185186
317,216.7296427021744
318,216.73632496878383
319,218.49189495028966
320,218.51431866840628
321,218.76245297726737
322,219.75754790834912
323,220.77923760653937
324,221.51816991353283
325,221.51902747200376
326,221.52757796792915
327,221.53041197435559
328,225.54114703279978
329,225.5611519054988
330,225.79046154000096
331,225.81865948408509
332,226.54974136828949
333,226.58560555641159
334,226.80460472558346
335,226.80830997503648
336,227.84354880121853
337,229.56430197176735
338,229.59607664662764
339,231.84471570927033
340,231.85818833917651
341,231.86126152973807
342,232.59273070594813
343,232.61348290556131
344,232.86131741593741
345,233.59707461265739
346,233.62431624939896
347,234.61115696847006
348,234.63097990378984
349,234.861196717323
350,235.88500084248051
351,237.9028910577056
352,237.90801798614697
353,238.88708803539973
354,241.66734260392562
355,241.67800551483859
356,241.91143685058955
357,241.91457354502509
358,242.68135850478947
