# Domain: L_shaped (relative error of each of the first 1000 eigenvalues against its index, dense eig)
# Reference: DST at M = 163, dofs = 19845
# DST: M = 55, dofs = 2241, time = 0.3166 s
# FD: M = 55, dofs = 2241, time = 0.3160 s
# FEM: Hmax = 0.0755, dofs = 2257, time = 0.8483 s
k,lambda_ref,lambda_DST,rel_error_DST,lambda_FD,rel_error_FD,lambda_FEM,rel_error_FEM
1,9.6470127120522022,9.6702668090611628,0.0024104971873737378,9.6588348023389052,0.001225466436043298,9.6496873516583506,0.00027725055268216375
2,15.197223004526665,15.196744370764659,3.1494817300711843e-05,15.180919386874695,0.0010728024223315726,15.197516462613185,1.930998093753082e-05
3,19.739208802096417,19.739208802180464,4.2578478368625003e-12,19.718509774793933,0.0010486249732707595,19.739414537270932,1.0422665699373793e-05
4,29.521469479376705,29.521270865945006,6.7277623777537801e-06,29.462780214237398,0.0019880197759229662,29.5222429909402,2.6201661947577893e-05
5,31.930402726721951,31.986668831599463,0.001762148299821596,31.904385490265156,0.00081481078329844099,31.937714643184247,0.00022899543500516808
6,41.487894294543402,41.530595046053904,0.0010292340027514462,41.375774524410076,0.0027024695285167112,41.494579355839328,0.00016113281740608748
7,44.948339162207077,44.945889729901864,5.4494389578512886e-05,44.770353797875501,0.0039597762152962391,44.951796408910923,7.691600553625618e-05
8,49.348022005454474,49.348022005433108,4.3296608852822123e-13,49.172288586295693,0.0035611036069360118,49.35119397878713,6.4277618509305141e-05
9,49.348022005540422,49.34802200545203,1.7911866116666749e-12,49.172288586307687,0.0035611036084284165,49.351304992164039,6.6527218117241779e-05
10,56.724526893260197,56.77181829859127,0.00083370294863917348,56.572765806442497,0.0026754050695437688,56.734610530773075,0.00017776503507649328
11,65.376343212627276,65.373098635656305,4.962922077820258e-05,65.087080151642382,0.0044245830643067112,65.385026296398905,0.00013281690814961441
12,71.075305117511775,71.130714471098869,0.00077958657364163482,70.697878893783724,0.0053102300877081914,71.091487254083134,0.00022767593532809529
13,71.572674409070586,71.572595680995349,1.09997392004259e-06,71.186061362968331,0.0054016850605942785,71.582409852878143,0.00013602179725623301
14,78.956835208734546,78.956835208717777,2.1237944149619774e-13,78.626067397797286,0.0041892232643674816,78.969859235100444,0.00016495122089767901
15,89.354620445283473,89.521605708456264,0.0018687927086551105,88.747198290663746,0.0067978818732902903,89.392151053957363,0.0004200186681658192
16,92.306789129104502,92.30491104293057,2.0346132626331688e-05,91.607438347033366,0.0075763742696432846,92.328121748228568,0.00023110563508205265
17,97.38047801466297,97.37636926058714,4.2192790173109519e-05,96.693269517613203,0.0070569431477455983,97.406209062938288,0.00026423210072396572
18,98.69604401057417,98.696044010876506,3.0633034697270209e-12,97.850192963880019,0.0085702629236439013,98.721181633195883,0.00025469736779946365
19,98.696044010990704,98.696044010894639,9.7334577933101133e-13,97.850192963885959,0.0085702629277679201,98.72143405730985,0.00025725495457870878
20,101.63022291197234,101.71022874695572,0.00078722483028182896,100.99726655047679,0.00622803279732825,101.66689551391183,0.00036084346652717937
21,112.37517304953964,112.39608551492172,0.00018609506721616493,111.56983417131636,0.0071665195822947008,112.41401531749089,0.00034564812580203746
22,115.51947180659825,115.50775184020462,0.00010145446659632475,114.54798805574063,0.0084096969598689425,115.56418225861671,0.00038703823103794716
23,128.30485721424006,128.30485721415866,6.3442474101161954e-13,127.30397177538454,0.0078008382580892262,128.35871736878704,0.00041978266229662228
24,128.30485721436273,128.30485721417617,1.4540377094959111e-12,127.30397177539007,0.0078008382589947502,128.3609660390012,0.00043730865578010548
25,130.1190259315301,130.11895993322617,5.0721486320620754e-07,128.58489991162432,0.011790174487726769,130.17679551031733,0.00044397487895143803
26,130.27073276848236,130.31532223992255,0.00034228310912655098,128.74715062135979,0.011695506079867407,130.33464153929739,0.00049058425831235378
27,142.48771572178504,142.59982616480457,0.00078680777814161434,141.4333858754211,0.0073994438118621933,142.57449482585196,0.00060902867048806683
28,151.12024466589386,151.11806080350794,1.4451157028946259e-05,149.55895299771839,0.010331452755567416,151.21111545549917,0.0006013144685293975
29,154.56023523190461,154.86700117272557,0.0019847662651436559,152.76169806081526,0.011636480550063843,154.6915890860792,0.00084985542353442937
30,162.19649856387639,162.18974381807811,4.1645447701297616e-05,160.49114995059654,0.010514090183076611,162.30805217805451,0.00068776832524648139
31,164.7152391428879,164.70658665934059,5.2529951644623643e-05,162.23718853387325,0.01504445260747838,164.83313047149423,0.00071572812096678293
32,164.85312966492179,164.85346459953877,2.0317152464957328e-06,162.56482454234865,0.013880871580808486,164.96964218541743,0.00070676559633689874
33,167.78327481847029,167.78327481852153,3.0541984687366011e-13,165.14007001639592,0.015753684656197864,167.90370428609413,0.00071776801206277822
34,167.78327481847938,167.78327481853594,3.3709678052054944e-13,165.1400700164051,0.015753684656196504,167.90508819572679,0.00072601620977533698
35,177.65287921954078,177.65287921960268,3.4844627011601518e-13,175.98187615295944,0.0094060004764478615,177.79593533451416,0.00080525638313235339
36,179.737462990513,179.86121733564633,0.00068852838509168921,177.29039963017965,0.013614653949257689,179.89913142622973,0.00089946988806261093
37,184.0595202518501,184.04032281437767,0.00010430016032944227,181.33475184191821,0.01480373526022221,184.22578659663532,0.0009033292304451864
38,197.39208802128041,197.39208802176674,2.4637455074248642e-12,194.59384882791142,0.01417604535936277,197.58506394151689,0.00097762743264397448
39,197.39208802176532,197.39208802178584,1.0395793678665082e-13,194.59384882791429,0.014176045361769949,197.58925906563391,0.00099888017723816897
40,201.48459326243398,201.48047084382367,2.0460217545956358e-05,199.16534180470222,0.011510812912185916,201.69301843244418,0.0010344471834564913
41,207.40971495082513,207.53075646137637,0.00058358650451804819,204.34493469737211,0.014776454681400306,207.64996165779664,0.0011583194501205722
42,208.77392634913113,208.77298775551674,4.4957415459210851e-06,204.61168007001481,0.019936619250795824,209.00658342419416,0.0011143971813508946
