# Domain: L_shaped (DST, dense eig full spectrum)
# Reference for the error distribution of the first 1000 eigenvalues
# Resolution M = 163, dofs = 19845
n,lambda_n
1,9.6470127120522022
2,15.197223004526665
3,19.739208802096417
4,29.521469479376705
5,31.930402726721951
6,41.487894294543402
7,44.948339162207077
8,49.348022005454474
9,49.348022005540422
10,56.724526893260197
11,65.376343212627276
12,71.075305117511775
13,71.572674409070586
14,78.956835208734546
15,89.354620445283473
16,92.306789129104502
17,97.38047801466297
18,98.69604401057417
19,98.696044010990704
20,101.63022291197234
21,112.37517304953964
22,115.51947180659825
23,128.30485721424006
24,128.30485721436273
25,130.1190259315301
26,130.27073276848236
27,142.48771572178504
28,151.12024466589386
29,154.56023523190461
30,162.19649856387639
31,164.7152391428879
32,164.85312966492179
33,167.78327481847029
34,167.78327481847938
35,177.65287921954078
36,179.737462990513
37,184.0595202518501
38,197.39208802128041
39,197.39208802176532
40,201.48459326243398
41,207.40971495082513
42,208.77392634913113
43,209.48069152350411
44,223.21969227679318
45,223.63263318269199
46,236.20230841359805
47,238.41687166179238
48,246.74011002715065
49,246.74011002718294
50,250.8210109513131
51,252.87422481007675
52,256.60971442830657
53,256.60971442841782
54,265.78657275846973
55,269.43978797652272
56,270.2255489821809
57,281.35073059206644
58,286.21852763152754
59,286.21852763170153
60,289.09561399985051
61,293.60716594871974
62,306.7803738735451
63,306.93827732718324
64,310.3724639000194
65,313.79123654041371
66,315.82734083476942
67,335.55459370983107
68,335.56654963701698
69,335.56654963734769
70,335.82173001837839
71,346.13117291100258
72,351.45338147775021
73,359.7613486445216
74,360.50568232908284
75,365.17536284015
76,365.17536284028523
77,369.5473258588392
78,372.26692426981384
79,376.16481012383503
80,382.89828355152298
81,389.8648619478904
82,390.50119867549705
83,394.78417604354337
84,394.78417604382435
85,404.65378044466695
86,404.65378044505565
87,415.71405744413386
88,419.63695035749839
89,426.72147930997556
90,427.08139872461823
91,432.92504034653012
92,443.81345008729971
93,444.13219804900092
94,444.13219804928042
95,454.12244224490183
96,454.12708418922944
97,454.17671925069197
98,464.4557794435965
