# Domain: H_shaped (DST, paper eigenvalues-head run, dense eig full spectrum)
# Resolution M = 50, dofs = 1888
# Computation time: 1.3072 s
n,lambda_n
1,7.8105621817
2,8.62412707212
3,13.9657595968
4,13.9693481356
5,14.3047479975
6,17.716244592
7,19.7392088022
8,24.8403396862
9,26.4504668787
10,26.4989589933
11,33.0841514426
12,37.1994283853
13,37.2790367308
14,39.3519935488
15,40.8769822119
16,42.2753275892
17,45.2675524008
18,46.2974484902
19,47.4828919302
20,49.3480220054
21,49.3480220055
22,52.0763051222
23,54.9921654983
24,58.7483615459
25,62.7691415948
26,62.7735031639
27,63.1998744235
28,65.518445048
29,67.6439743204
30,72.0978476977
31,77.1520139477
32,78.9568352087
33,79.8423976832
34,79.9375154007
35,85.3540002895
36,86.3399816841
37,88.147249655
38,91.3558226561
39,92.1151393351
40,95.4064835442
41,95.6158539961
42,95.741815654
43,97.8832486943
44,98.6960440109
45,98.6960440109
46,101.057398239
47,106.119444398
48,107.632670161
49,108.291617129
50,111.671756716
51,112.754678384
52,113.075060912
53,118.827526141
54,119.158063173
55,121.091315084
56,121.417739989
57,122.600572529
58,128.304857214
59,128.304857214
60,133.774142533
61,139.506716879
62,139.525820177
63,139.722952651
64,142.426760546
65,142.533049961
66,145.790149188
67,146.565257687
68,150.487784246
69,154.875338544
70,157.055313261
71,157.075951981
72,158.702140684
73,164.167943635
74,164.401457831
75,164.609550942
76,165.580962925
77,166.764615866
78,167.783274819
79,167.783274819
80,169.01462324
81,172.006374534
82,173.146941933
83,174.743344709
84,177.65287922
85,180.666355184
86,180.975888562
87,182.062455249
88,185.262704152
89,190.522433992
90,192.468821533
91,194.756972603
92,195.20118152
93,195.220943743
94,197.392088022
95,197.392088022
96,197.738661571
97,198.147621819
98,205.653979663
99,211.710988148
100,213.309834898
101,213.765602867
102,217.199950338
103,221.956673907
104,222.801212924
105,223.596834964
106,223.627844596
107,224.442368531
108,224.753365692
109,225.075996145
110,232.72429586
111,234.598518942
112,234.75394491
113,244.364762549
114,246.740110027
115,246.740110027
116,247.498439757
117,251.246841913
118,251.791955986
119,252.243601398
120,252.475315189
121,253.88988569
122,254.964446172
123,255.732359944
124,256.609714428
125,256.609714428
126,257.793229551
127,260.68107475
128,261.062824935
129,263.363026519
130,267.720951251
131,267.997954192
132,269.248075196
133,276.339698036
134,277.155746634
135,277.250830137
136,277.336301086
137,282.793968331
138,285.547596237
139,286.218527632
140,286.218527632
141,289.424288292
142,289.930329634
143,290.199911924
144,290.376443143
145,294.730604877
146,295.269550862
147,302.244599853
148,302.273302584
149,305.43758688
150,306.263435549
151,306.474302776
152,314.546768141
153,315.827340835
154,318.762374766
155,318.806560231
156,319.706494826
157,322.878483618
158,323.652135715
159,325.388653225
160,326.842420939
161,327.523100423
162,332.143870865
163,335.566549637
164,335.566549637
165,338.768301381
166,341.836489447
167,346.397707865
168,348.959030682
169,349.722305833
170,353.789497821
171,354.047190646
172,355.468170944
173,357.150108034
174,359.222058763
175,360.896772707
176,361.427252607
177,363.058856908
178,363.348248711
179,364.722705939
180,365.17536284
181,365.17536284
182,365.475971333
183,368.678919787
184,370.302064188
185,372.946543391
186,374.248230276
187,374.388473641
188,374.869013919
189,381.678788442
190,382.127291288
191,385.031357783
192,387.546043378
193,389.138262075
194,390.690578861
195,391.220723059
196,394.784176044
197,394.784176044
198,398.987873
199,404.400961469
200,404.653780445
201,404.653780445
202,404.801670333
203,405.482153533
204,405.741618843
205,405.785038885
206,406.92788729
207,412.630204102
208,415.056911894
209,417.178700293
210,417.21255764
211,423.362907171
212,428.543450004
213,429.680089559
214,432.988182278
215,433.909038364
216,433.989934358
217,435.663768738
218,439.467836033
219,441.961311496
220,442.415449767
221,444.132198049
222,444.132198049
223,446.847633843
224,448.251471267
225,448.409050905
226,451.927250719
227,456.403310621
228,461.631414328
229,462.471579167
230,464.049297599
231,464.684945522
232,470.65162858
233,473.358773461
234,476.657739078
235,476.66354141
236,476.824817714
237,480.124883964
238,480.376873673
239,480.8743913
240,485.647095903
241,486.551267934
242,487.778041269
243,489.876835422
244,490.60120548
245,491.797992514
246,492.895770967
247,493.480220054
248,493.480220054
249,493.480220054
250,494.11791805
251,495.031109484
252,496.006428646
253,500.967594638
254,505.655533157
255,507.564116789
256,512.467339853
257,512.758396117
258,513.219428857
259,513.219428857
260,514.823389299
261,518.369887408
262,519.006217031
263,523.089033258
264,523.089033258
265,523.810109081
266,524.97659011
267,525.580742008
268,526.512344814
269,531.010515113
270,534.236385436
271,534.894064517
272,537.968175464
273,540.238741264
274,540.353974778
275,542.067938349
276,542.357596577
277,543.050557326
278,544.438288728
279,552.328486828
280,555.831722002
281,556.988562508
282,557.38328877
283,559.625220972
284,561.503331618
285,563.748494994
286,567.599098746
287,569.23681446
288,569.397413042
289,570.046146773
290,572.437055263
291,572.437055263
292,575.872165666
293,576.718444364
294,583.324874686
295,586.942657463
296,588.035077492
297,588.511263393
298,589.808451723
299,592.637223267
300,594.784831587
301,596.018101265
302,597.369922678
