# Domain: H_shaped (FD, paper eigenvalues-head run, dense eig full spectrum)
# Resolution M = 62, dofs = 2920
# Computation time: 0.5394 s
n,lambda_n
1,7.77248011342
2,8.58798801689
3,13.9303581466
4,13.9342207757
5,14.277287824
6,17.6785588332
7,19.7024225389
8,24.7484400567
9,26.3432850585
10,26.3948005179
11,32.8971167122
12,37.0162762821
13,37.0828128102
14,39.0125243858
15,40.530266079
16,41.9713200562
17,44.9590837118
18,45.9968093708
19,47.1655883633
20,49.0359965661
21,49.0359965661
22,51.7244935514
23,54.6263850233
24,58.269144892
25,62.1728176875
26,62.3394116561
27,62.5996785371
28,65.0514692005
29,67.0634841995
30,71.5151703339
31,76.0932425062
32,78.3695705933
33,78.9292439874
34,78.9879331446
35,84.4070544515
36,85.036924507
37,87.0547043068
38,89.9333370141
39,90.7621358017
40,93.9995612276
41,94.2030979687
42,94.4825391487
43,96.4372480759
44,97.1966697795
45,97.1966697795
46,99.7015976385
47,104.607436808
48,106.139708643
49,106.943517141
50,110.272709532
51,111.119597503
52,111.197155428
53,116.610758593
54,116.864889135
55,119.351442152
56,119.375283688
57,120.82410861
58,126.530243807
59,126.530243807
60,131.776159324
61,136.287186053
62,137.208390126
63,137.594817443
64,139.186609957
65,139.229106418
66,142.897252595
67,143.585173616
68,148.071025877
69,151.870661843
70,153.225275733
71,153.88580719
72,154.458207451
73,159.763605805
74,159.79844416
75,160.37614344
76,162.236595612
77,162.25719812
78,163.108612323
79,163.108612323
80,164.691679044
81,168.366753029
82,169.636837989
83,170.3338652
84,174.69091702
85,175.808712621
86,176.223336511
87,177.799694526
88,180.939214403
89,185.717026762
90,187.582694194
91,188.353790086
92,188.959408649
93,189.468164389
94,192.44218635
95,192.44218635
96,193.231581932
97,194.14104074
98,200.79899278
99,206.611891125
100,207.624737754
101,207.693221716
102,211.642285277
103,214.071489879
104,215.499287622
105,216.554475039
106,217.196201277
107,217.275216708
108,218.030856096
109,218.337259235
110,226.439284899
111,227.465761324
112,228.539901565
113,235.729111481
114,236.934106649
115,240.415075648
116,240.602859563
117,240.602859563
118,240.731871267
119,241.339291506
120,243.812002238
121,244.094828128
122,245.051629844
123,245.234302891
124,245.299460316
125,245.299460316
126,250.126874741
127,250.475145116
128,252.564551329
129,254.316942039
130,257.924271397
131,258.522237361
132,258.785370479
133,265.870357981
134,267.020386119
135,267.966618608
136,268.783021177
137,271.974893487
138,274.633034343
139,274.633034343
140,275.137156291
141,275.491027529
142,275.847151226
143,277.143250981
144,280.441086319
145,284.27358151
146,285.311241528
147,290.348670091
148,291.772081465
149,294.149587816
150,294.254748244
151,295.88458772
152,302.460273627
153,303.736527592
154,304.534473165
155,306.514802107
156,306.703883852
157,306.960918892
158,308.399685489
159,308.820848503
160,309.610692102
161,311.786862627
162,319.919914669
163,322.793707556
164,322.793707556
165,326.526581975
166,327.826862629
167,330.38910412
168,331.928220259
169,333.769981547
170,334.02112514
171,336.06444794
172,336.822745033
173,337.981961229
174,338.82569463
175,339.386226857
176,340.914946917
177,341.718432013
178,341.93320603
179,341.93320603
180,343.923462663
181,346.153505557
182,346.188379794
183,351.986908774
184,352.548778176
185,352.674505811
186,356.072554706
187,358.658836568
188,359.441753898
189,360.905407971
190,361.071883742
191,363.049257541
192,368.44816106
193,369.529045726
194,371.085249528
195,371.266780057
196,371.266780057
197,375.051020655
198,375.252748824
199,376.701802469
200,376.851275228
201,379.7082608
202,384.097570939
203,384.950872558
204,385.97486809
205,388.705650099
206,388.705650099
207,389.208714002
208,390.131487727
209,395.766963341
210,399.384903583
211,402.386682679
212,403.988571238
213,404.763651895
214,407.308283308
215,408.743565891
216,409.694660262
217,410.622638836
218,411.665549666
219,413.306627033
220,413.709715459
221,418.824827649
222,419.427453271
223,419.427453271
224,419.740272588
225,422.603701171
226,429.736289878
227,431.736570787
228,433.192892894
229,435.738125485
230,438.669500524
231,438.908866284
232,440.367742352
233,441.567996014
234,441.794527437
235,444.777824233
236,446.680266129
237,447.023139191
238,448.878396589
239,449.237369754
240,449.527060025
241,450.200433167
242,450.851211269
243,450.851211269
244,451.644846389
245,452.497503078
246,453.345970534
247,454.168795181
248,458.541851617
249,459.348225042
250,463.568108184
251,464.717419737
252,467.903882681
253,468.378217483
254,470.507036942
255,470.896498092
256,471.063242971
257,472.093052212
258,476.461363585
259,480.184785297
260,480.184785297
261,483.200270006
262,485.339395814
263,485.339395814
264,488.043058374
265,488.278735134
266,488.900356231
267,489.290903676
268,489.508134181
269,490.099307243
