# Domain: H_shaped (FEM, paper eigenvalues-head run, dense eig full spectrum)
# Resolution Hmax = 0.12, dofs = 2087
# Computation time: 0.9138 s
n,lambda_n
1,7.75740185642
2,8.57437213902
3,13.9403659563
4,13.9442188871
5,14.3075300555
6,17.7119992068
7,19.7405056427
8,24.8085513821
9,26.3987129251
10,26.4497641525
11,33.0352482676
12,37.1723023122
13,37.2375738059
14,39.1816549256
15,40.6880880253
16,42.2658667061
17,45.2966337683
18,46.314718844
19,47.4977586506
20,49.3666082792
21,49.3697845248
22,52.0242965478
23,54.9382643062
24,58.7871144571
25,62.7304986775
26,62.8418797749
27,63.184153644
28,65.5254716913
29,67.5419535268
30,72.1310705863
31,77.042435166
32,79.035492189
33,79.918442111
34,80.009358158
35,85.2660811793
36,86.0638535935
37,87.950010968
38,91.2741259919
39,92.2512261771
40,95.5314621852
41,95.764783102
42,95.9113022498
43,98.0534658044
44,98.840518193
45,98.8634857758
46,101.157190469
47,106.148046541
48,107.65546483
49,108.358097825
50,111.896902159
51,112.729172401
52,113.376859247
53,119.092237159
54,119.413583516
55,121.36480985
56,121.620799394
57,122.89519958
58,128.6122254
59,128.647529908
60,133.971691732
61,139.865227458
62,139.926582302
63,139.93885384
64,142.881051147
65,142.951952758
66,145.882701244
67,146.546838166
68,151.080005814
69,155.413950074
70,156.97845208
71,157.130231948
72,159.084750144
73,164.956290274
74,164.994274318
75,165.25196711
76,166.383192856
77,167.569285122
78,168.482942488
79,168.589606725
80,169.619585469
81,172.700503199
82,173.791039855
83,175.291903933
84,178.46957622
85,181.395005442
86,182.031105839
87,182.649479519
88,185.968025269
89,191.547983639
90,193.639488916
91,195.964749112
92,196.158514733
93,196.370620939
94,198.450966041
95,198.604164709
96,198.845226775
97,199.227105166
98,206.601948799
99,213.07876548
100,214.485554734
101,215.222632335
102,218.280597024
103,223.04903384
104,224.210542022
105,225.225527053
106,225.261996351
107,226.129790398
108,226.513359385
109,226.881726606
110,234.258355601
111,236.21830277
112,236.416147754
113,246.057923029
114,248.824550651
115,248.99760205
116,249.024464391
117,253.433414357
118,253.671506522
119,254.529099223
120,254.613928098
121,256.321255061
122,257.522476112
123,258.015163951
124,258.934967655
125,259.318515864
126,259.956728903
127,263.103568649
128,263.151145847
129,265.427979176
130,269.7322412
131,270.700724276
132,272.000027642
133,279.300530218
134,280.237455757
135,280.53340106
136,280.626729681
137,286.09424743
138,288.960728878
139,289.379234633
140,289.761163403
141,292.892637489
142,293.229127423
143,293.747473831
144,294.181558401
145,297.984065032
146,298.662099571
147,305.954031335
148,306.316716281
149,309.472704888
150,309.743175341
151,310.920228405
152,318.475715235
153,320.27804768
154,323.279313204
155,323.428402912
156,324.293581606
157,327.462960109
158,327.733839255
159,330.074669762
160,332.156019541
161,332.722257664
162,336.878201475
163,340.539868644
164,341.146452373
165,343.923325967
166,347.214657218
167,351.263697538
168,353.59946238
169,355.074173602
170,358.950487621
171,360.422874489
172,362.076986836
173,362.697142086
174,365.350874255
175,366.652106434
176,367.605916907
177,369.865417765
178,370.252150726
179,371.543637991
180,371.681621976
181,372.646393136
182,372.880865802
183,375.802755684
184,377.33829409
185,379.6122269
186,381.185116621
187,381.207905784
188,381.349036829
189,388.834830623
190,391.279665711
191,393.055451656
192,395.464186761
193,397.995195223
194,398.708876396
195,399.969424323
196,403.132620812
197,403.955212065
198,407.342364168
199,413.239625661
200,413.306701991
201,413.586751227
202,414.009047575
203,414.074260173
204,415.691423568
205,415.736834646
206,415.759787972
207,421.885311565
208,425.03055083
209,425.600692194
210,426.49526898
211,433.586529319
212,438.151870789
213,440.189858123
214,443.840467383
215,445.207184193
216,445.430236258
217,445.484255592
218,450.694824199
219,453.442779978
220,454.134814728
221,454.924384262
222,456.2291934
223,457.53357406
224,462.168544761
225,462.19692983
226,463.96270452
227,468.072308157
228,472.539561979
229,475.997861991
230,476.546983371
231,477.002658544
232,484.856381526
233,485.351410181
234,488.21104693
235,489.864394668
236,492.011294805
237,494.335446742
238,495.445329529
239,495.73998132
240,499.225232954
241,500.832961878
242,500.874868636
243,503.878157699
244,505.668471552
245,506.379175083
246,508.496899225
247,508.736459125
248,509.495300996
249,509.737843547
250,510.700573319
251,511.287416761
252,511.457650236
253,515.312113319
254,521.922275467
255,526.30538222
256,528.86609155
257,529.23460024
258,529.763193971
259,530.807714009
260,532.306294214
261,536.041865398
262,536.805506605
263,541.018060895
264,541.550394076
265,542.971498246
266,543.584626088
267,545.213491241
268,546.340182236
269,548.619407424
270,553.397202761
271,553.52779442
272,555.550952029
273,561.932025167
274,562.125804772
275,563.383125072
276,563.432531893
277,564.117000779
278,565.280755877
279,573.316861772
280,577.975808298
281,578.259025803
282,578.714708553
283,582.533405811
284,583.0664173
285,585.495731188
286,588.840009896
287,592.379919637
288,593.361654191
289,594.606242575
290,595.777203182
291,597.772629442
292,598.057144721
293,600.262848166
294,606.908826807
295,609.729960827
296,612.880377059
297,617.157043475
298,617.41424869
299,618.40838128
300,618.467929006
301,620.629993801
302,621.705738438
303,623.059667825
304,628.029677742
305,628.950053957
306,633.952116172
307,639.546434074
308,642.433579523
309,646.307519849
310,647.654841631
311,647.840552914
312,647.937890877
313,648.742666242
314,649.739907623
315,651.350038968
316,655.574510889
317,658.742631825
318,662.580974275
319,664.263372533
320,665.993993934
321,667.154041894
322,668.328655935
323,668.574891117
324,669.519011271
325,671.326643112
326,671.996728114
327,672.407745569
328,673.041525292
329,674.376841675
330,675.842410594
331,678.759516328
332,679.423744342
333,684.706753107
334,686.957345491
335,690.218375939
336,693.076076008
337,693.917466008
338,695.412713453
339,700.288885125
340,700.377823166
341,700.591072716
342,702.083180845
343,704.215391433
344,704.532232714
345,706.400650548
346,706.541142465
347,713.74080533
348,714.332965241
349,718.843014346
350,720.412396328
351,720.990750053
352,722.079260677
353,722.573670253
354,723.32814406
355,730.361296189
356,730.622088653
357,733.818550268
358,733.951005853
359,738.966965539
360,743.468253799
361,744.20934574
362,746.268680891
363,747.772129619
364,748.999059978
365,751.744453605
366,758.361461608
367,760.158976489
368,764.055548064
369,764.462639258
370,764.58666096
371,765.678486039
372,765.957849099
373,766.561297904
374,770.595776955
375,774.66851006
376,776.475766994
377,780.352746288
378,781.098710661
379,787.808755154
380,789.907297217
381,790.47818094
382,791.181090249
383,794.924864864
384,795.021485546
385,795.081790958
386,796.616442428
387,799.725283463
388,803.224873108
389,812.337561871
390,814.636358346
391,816.662252574
392,816.837562168
393,818.163439866
394,821.858738721
395,822.902918622
396,824.815552031
397,826.854807021
398,829.563723083
399,829.617425574
400,833.105694078
401,833.532453466
402,837.791484434
403,838.153097889
404,838.784919151
405,839.081085277
406,840.793865452
407,843.569365577
408,844.204233335
409,845.413085419
410,848.486201658
411,848.683931837
412,848.924209116
413,851.042738398
414,851.905728398
415,858.915970433
416,859.851953657
417,861.137894321
418,862.051885053
419,862.83028772
420,863.31071012
421,863.792746064
422,868.62180594
423,876.704405033
424,877.978571591
425,879.000661408
426,881.238410918
427,881.318721489
428,881.731748143
429,882.088258248
430,886.011958488
431,887.787627613
432,895.739092534
433,898.045586448
434,899.641653561
435,900.892024755
436,902.636001821
437,908.661990942
438,909.137520314
439,915.488994946
440,921.250260377
441,925.03160021
442,925.306027458
443,927.870543829
444,931.938039911
445,932.400314646
446,935.933972642
447,936.789217541
448,939.796090195
449,940.516130587
450,943.74061824
451,948.723726925
452,949.643682871
453,953.202117275
454,953.383221129
455,954.643022039
456,955.584555331
457,957.821889492
458,958.365663519
459,960.721344598
460,960.994552167
461,964.985578535
462,966.79523693
463,969.563612048
464,978.419582359
465,980.296378918
466,981.540128861
467,981.974770119
468,986.745443141
469,987.64970319
470,989.267368012
471,992.328341706
472,1004.00389852
473,1005.56789311
474,1011.62964266
475,1012.68158725
476,1018.39048876
477,1020.0408652
478,1020.87970363
479,1021.35347227
480,1022.79109273
481,1022.87659153
482,1024.45617851
483,1024.7188972
484,1025.80638313
485,1027.42675512
486,1027.85987312
487,1032.74272012
488,1037.73177696
489,1038.92046481
490,1039.40010039
491,1047.62869462
492,1050.01021667
493,1055.45180257
494,1057.17985396
495,1057.70099986
496,1060.35643248
497,1060.62508058
498,1062.61975824
499,1063.87900545
500,1067.15204828
501,1068.45536326
502,1071.77303027
503,1072.75790169
504,1076.23348132
505,1078.69929576
506,1080.32150661
507,1082.24503448
508,1084.64955706
509,1086.07702677
510,1086.46009748
511,1091.34716638
512,1094.56340091
513,1099.81262746
514,1100.25078856
515,1102.09281776
516,1104.04850222
517,1105.55559298
518,1105.85710037
519,1106.2807927
520,1117.45103986
521,1119.80608414
522,1120.30607924
523,1121.11305381
524,1127.43565025
525,1132.17818351
526,1132.42202984
527,1136.14162245
528,1138.05488941
529,1138.55615297
530,1138.79444468
531,1139.91983318
532,1146.33855689
533,1146.83119624
534,1151.07065904
535,1155.09555816
536,1155.58509087
537,1157.55843588
538,1160.48484233
539,1161.42202892
540,1162.33867032
541,1162.93727996
542,1170.58496516
543,1174.02821461
544,1176.31354447
545,1176.69345749
546,1180.92847523
547,1189.53031793
548,1190.37370922
549,1195.7758144
550,1200.33186998
551,1203.04899763
552,1203.91154973
553,1204.45922713
554,1205.51601846
555,1208.3627814
556,1211.00147916
557,1212.31113772
558,1213.19345237
559,1213.58639428
560,1216.82347806
561,1220.08286143
562,1222.10235348
563,1230.42879419
564,1235.74423693
565,1238.69779704
566,1239.2881277
567,1243.96260226
568,1244.61225636
569,1245.14818219
570,1245.92030254
571,1247.98016555
572,1249.82474317
573,1251.42013342
574,1258.70836717
575,1261.06885483
576,1268.58068079
577,1269.31660763
578,1269.96192013
579,1277.28191014
580,1280.49565384
581,1281.75586318
582,1282.12459646
583,1285.5391748
584,1286.08715223
585,1292.23275816
586,1300.35209228
587,1302.96293956
588,1303.5281518
589,1310.75869968
590,1312.20280257
591,1316.77286253
592,1317.55942721
593,1317.91765218
594,1318.36334368
595,1322.3243704
596,1326.7385687
597,1327.20712889
598,1327.84726711
599,1329.96524903
600,1331.38640004
601,1342.25583631
602,1343.16439253
603,1345.81548246
604,1345.98365882
605,1353.2129841
606,1357.41165369
607,1357.69305816
608,1363.10121675
609,1365.53261165
610,1366.1110927
611,1371.1249377
612,1371.61012499
613,1374.77863579
614,1376.66700014
615,1381.36533074
616,1387.98187629
617,1394.95242395
618,1396.68809094
619,1399.76861703
620,1401.81662509
621,1404.95409959
622,1411.38204529
623,1412.00194809
624,1412.61554312
625,1413.52681956
626,1415.71015728
627,1419.23428412
628,1420.14229125
629,1420.68967265
630,1420.8168661
631,1424.62429685
632,1425.65514794
633,1427.86815601
634,1427.98449876
635,1430.05236367
636,1431.60384771
637,1435.15303418
638,1437.92388976
639,1438.72780551
640,1442.83693686
641,1445.23253452
642,1446.5257604
643,1446.99886174
644,1449.00531643
645,1449.17486468
646,1452.61666926
647,1454.16560679
648,1455.92652348
649,1458.51270825
650,1461.35529557
651,1463.06410561
652,1468.38059015
653,1469.74658714
654,1470.24549536
655,1470.97396323
656,1478.76696255
657,1481.30100851
658,1481.41301956
659,1489.00605344
660,1492.72629536
661,1494.95682068
662,1501.81984448
663,1502.64395027
664,1506.05102055
665,1508.59173482
666,1511.55035145
667,1514.27402481
668,1515.22854104
669,1517.39585047
670,1518.36228833
671,1524.8739822
672,1525.22010674
673,1525.8912474
674,1530.60536718
675,1534.1210652
676,1534.97849867
677,1535.95509347
678,1536.52031922
679,1539.6322188
680,1541.67262526
681,1549.99921441
682,1551.90687469
683,1552.01692518
684,1555.71746026
685,1557.88078869
686,1558.74117087
687,1561.94201693
688,1565.28288752
689,1569.33024071
690,1573.18355821
691,1579.26915419
692,1581.31336467
693,1582.34840771
694,1585.16517652
695,1589.48158338
696,1592.40113201
697,1596.86581549
698,1604.78700599
699,1606.15468804
700,1609.98226241
701,1617.62153179
702,1621.06986837
703,1622.55198749
704,1624.58143229
705,1629.3004858
706,1630.56498932
707,1636.32004061
708,1637.42428696
709,1638.73781059
710,1639.77969269
711,1640.73171982
712,1643.09028556
713,1645.24108858
714,1651.49725995
715,1652.3007225
716,1656.08751862
717,1656.87563466
718,1662.32071389
719,1664.69346237
720,1665.59908408
721,1667.67590402
722,1670.54303939
723,1679.39065506
724,1683.65870927
725,1686.13646808
726,1686.95683168
727,1690.80720542
728,1693.07851201
729,1701.70612098
730,1702.16703089
731,1707.1306346
732,1716.29247668
733,1717.22475559
734,1718.58079184
735,1719.38768598
736,1720.01569675
737,1720.49204869
738,1723.86762567
739,1728.79532434
740,1729.31062136
741,1731.04332736
742,1732.88565548
743,1735.35058383
744,1737.92948618
745,1741.14054681
746,1746.58399214
747,1747.30394024
748,1752.75432817
749,1754.83946822
750,1755.66284341
751,1757.0856363
752,1757.78283563
753,1758.75755735
754,1759.71285282
755,1761.92518792
756,1764.37286019
757,1765.90449649
758,1766.14531412
759,1770.18868641
760,1772.33799122
761,1774.35602781
762,1775.00952045
763,1780.75917264
764,1785.99187653
765,1787.30751232
766,1788.5629257
767,1793.35953747
768,1798.08964589
769,1799.3583849
770,1803.17085416
771,1805.33393262
772,1806.07048993
773,1807.66198912
774,1811.11930184
775,1816.54889908
776,1818.88066673
777,1825.37624055
778,1827.63646996
779,1828.97064174
780,1829.17048102
781,1834.41067915
782,1836.35556533
783,1846.14441225
784,1849.36683361
785,1851.26758006
786,1851.80308545
787,1855.1643938
788,1855.54094407
789,1860.77261401
790,1862.86369579
791,1864.41466948
792,1864.91251506
793,1869.25760983
794,1880.36910184
795,1885.48981769
796,1892.15022601
