# Domain: L_shaped (DST, paper eigenvalues-head run, dense eig full spectrum)
# Resolution M = 35, dofs = 901
# Computation time: 0.1744 s
n,lambda_n
1,9.6947887577
2,15.1956029811
3,19.7392088022
4,29.5207766369
5,32.0453861464
6,41.5756485552
7,44.9400744621
8,49.3480220054
9,49.3480220054
10,56.8213079438
11,65.3651479687
12,71.188415035
13,71.5724355446
14,78.9568352087
15,89.6948341744
16,92.3006398584
17,97.3663335186
18,98.6960440109
19,98.6960440109
20,101.795825297
21,112.418102302
22,115.479317539
23,128.304857214
24,128.304857214
25,130.118737107
26,130.360876378
27,142.712427546
28,151.112081753
29,155.191153
30,162.173664928
31,164.685912204
32,164.853886034
33,167.783274819
34,167.783274819
35,177.65287922
36,179.990508113
37,183.994301206
38,197.392088022
39,197.392088022
40,201.469612373
41,207.637733813
42,208.770267514
43,209.815277545
44,223.220567691
45,223.56405029
46,236.829048178
47,238.408084583
48,246.740110027
49,246.740110027
50,251.046361431
51,252.819504313
52,256.609714428
53,256.609714428
54,266.464062158
55,269.465616779
56,270.196527327
57,281.213289954
58,286.218527632
59,286.218527632
60,289.492389264
61,293.590719857
62,306.75052245
63,306.942360627
64,310.610088471
65,313.682297577
66,315.827340835
67,335.566549637
68,335.566549637
69,335.822136818
70,336.086443522
71,346.121370791
72,352.682614651
73,359.839518147
74,360.464022272
75,365.17536284
76,365.17536284
77,369.476530829
78,372.534450122
79,376.592179786
80,382.602604566
81,389.851265934
82,390.622265434
83,394.784176044
84,394.784176044
85,404.653780445
86,404.653780445
87,416.140640576
88,419.473013931
89,426.899371409
90,427.07705466
91,433.077993185
92,443.685251866
93,444.132198049
94,444.132198049
95,454.127130423
96,454.138246358
97,455.737003353
98,464.419362774
99,478.877516579
100,479.584918821
101,486.682166199
102,489.942181085
103,493.480220054
104,493.480220054
105,493.480220054
106,500.224427296
107,502.237260945
108,512.657546715
109,513.219428857
110,513.219428857
111,513.369336095
112,523.089033258
113,523.089033258
114,530.391818995
115,538.006216165
116,545.269960087
117,546.16867598
118,558.778272711
119,563.961057647
120,565.082206016
121,565.430457933
122,572.437055263
123,572.437055263
124,576.484622581
125,578.169548564
126,591.630750432
127,592.301333051
128,602.045868466
129,602.045868466
130,606.075549835
131,609.347752388
132,632.428118145
133,634.111916557
134,637.032789363
135,641.524286071
136,641.524286071
137,641.524286071
138,641.524286071
139,641.829418437
140,642.879985249
141,648.897236033
142,655.320402708
143,660.341219138
144,664.001675318
145,671.133099274
146,671.133099274
147,674.315473698
148,685.605132285
149,686.91661018
150,692.733602123
151,698.17231128
152,710.611516878
153,714.8613013
154,715.952518559
155,720.48112128
156,720.48112128
157,722.65613028
158,722.702667772
159,730.350725681
160,730.350725681
161,747.226131839
162,747.698410735
163,753.38390864
164,755.316348241
165,759.009097166
166,764.582425857
167,780.606849481
168,789.568352087
169,789.568352087
170,791.948245547
171,795.969952485
172,797.258518111
173,801.969407549
174,806.52907782
175,807.818158063
176,807.934118488
177,809.307560889
178,809.307560889
179,825.31646769
180,826.473912829
181,833.688141153
182,836.594582518
183,838.916374093
184,838.916374093
185,838.916374093
186,838.916374093
187,857.451191411
188,860.300761126
189,874.749045084
190,875.222988721
191,878.394791697
192,878.394791697
193,881.155620093
194,888.264396098
195,888.264396098
196,891.865267971
197,900.093659699
198,900.128011765
199,905.531277123
200,919.115355811
201,919.500337638
202,922.884393612
203,929.077968416
204,930.122029948
205,937.291044959
206,937.547090671
207,957.351626906
208,957.351626906
209,961.491167392
210,961.961526753
211,967.221231307
212,974.014665562
213,974.254408524
214,986.960440109
215,986.960440109
216,992.930713727
217,993.659355435
218,996.83004451
219,996.83004451
220,1000.46636428
221,1003.4682214
222,1011.35534817
223,1013.23865809
224,1018.26367282
225,1026.43885771
226,1026.43885771
227,1027.86713586
228,1038.1297886
229,1040.97880662
230,1046.17806652
231,1046.17806652
232,1049.72953284
233,1055.4686037
234,1058.08053429
235,1062.71334396
236,1071.35171312
237,1075.78687972
238,1075.78687972
239,1076.06801868
240,1097.15705584
241,1097.30979283
242,1100.03739122
243,1100.50102193
244,1106.8734751
245,1110.46594861
246,1115.26529732
247,1115.26529732
248,1127.39000535
249,1127.73374811
250,1138.59270732
251,1140.13263162
252,1144.87411053
253,1144.87411053
254,1154.74371493
255,1154.74371493
256,1163.7318965
257,1170.01286219
258,1171.08384348
259,1174.2363539
260,1185.1834636
261,1192.20836821
262,1194.04238246
263,1199.91972614
264,1200.25941609
265,1204.09173693
266,1204.09173693
267,1210.21423936
268,1217.25041805
269,1217.41995054
270,1224.04192885
271,1225.48614576
272,1233.70055014
273,1233.70055014
274,1233.70055014
275,1233.70055014
276,1242.02095105
277,1242.03139009
278,1247.14654828
279,1249.54643947
280,1263.30936334
281,1263.32949965
282,1263.52987063
283,1283.04857214
284,1283.04857214
285,1283.04857214
286,1283.04857214
287,1287.05497844
288,1289.36771339
289,1310.56598893
290,1311.94923307
291,1316.00709668
292,1316.15648004
293,1320.83887969
294,1330.05789865
295,1335.25035939
296,1339.33276973
297,1342.26619855
298,1342.26619855
299,1344.23740799
300,1344.43142005
301,1350.15451195
302,1352.13580295
303,1352.13580295
304,1366.9430583
305,1377.63311892
306,1382.86429027
307,1386.31208346
308,1386.8388854
309,1398.14154985
310,1398.39226744
311,1409.48184508
312,1410.39196862
313,1426.1336134
314,1427.32696304
315,1431.09263816
316,1431.09263816
317,1431.09263816
318,1431.09263816
319,1440.96224256
320,1440.96224256
321,1442.01865742
322,1443.14965487
323,1447.08978718
324,1447.48847191
325,1460.53987811
326,1460.70145136
327,1460.70145136
328,1461.59159777
329,1470.57105576
330,1470.57105576
331,1485.37855039
332,1487.90517193
333,1488.6843852
334,1493.72977014
335,1493.84074664
336,1500.7698416
337,1510.04947337
338,1510.04947337
339,1515.51824374
340,1531.33199036
341,1535.93195722
342,1541.52685366
343,1547.57424222
344,1549.52789097
345,1549.52789097
346,1551.77748099
347,1552.07481558
348,1552.59333332
349,1557.07656712
350,1557.87713575
351,1575.10144183
352,1577.14622951
353,1579.13670417
354,1579.13670417
355,1580.73342758
356,1580.90027968
357,1598.87591298
358,1612.96667434
359,1612.97248586
360,1616.70487689
361,1617.41808982
362,1618.61512178
363,1618.61512178
364,1632.52015588
365,1634.26545126
366,1659.10705721
367,1662.08721359
368,1663.18548842
369,1667.96314378
370,1667.96314378
371,1672.34244726
372,1673.53969812
373,1674.56139771
374,1677.83274819
375,1677.83274819
376,1677.83274819
377,1677.83274819
378,1686.34483514
379,1687.75760653
380,1692.76029984
381,1700.20009748
382,1701.15947007
383,1707.44156139
384,1707.44156139
385,1711.36422302
386,1723.55560994
387,1724.5421425
388,1726.22382875
389,1730.90392426
390,1733.75118225
391,1734.7298809
392,1752.45139208
393,1755.73477054
394,1756.78958339
395,1756.78958339
396,1776.5287922
397,1776.5287922
398,1779.50676617
399,1780.491709
400,1786.3983966
401,1786.3983966
402,1789.20859645
403,1790.18968885
404,1799.24840962
405,1801.5233649
406,1808.7963872
407,1808.8326957
408,1825.8768142
409,1825.8768142
410,1825.8768142
411,1825.8768142
412,1836.02016315
413,1836.1842562
414,1839.79490479
415,1841.67132318
416,1848.5276163
417,1858.31309293
418,1863.58101892
419,1865.96139878
420,1877.6940945
421,1884.43082831
422,1887.27180097
423,1895.96854093
424,1901.58699472
425,1904.83364941
426,1904.83364941
427,1904.88209525
428,1914.3418874
429,1914.70325381
430,1914.70325381
431,1918.8871986
432,1937.92541836
433,1938.18036449
434,1938.93657773
435,1943.22428645
436,1944.31206701
437,1944.31206701
438,1948.03199841
439,1948.65355838
440,1963.4969354
441,1964.01591371
442,1970.35194517
443,1970.59983709
444,1973.92088022
445,1973.92088022
446,1973.92088022
447,1980.71253454
448,1981.74471918
449,1993.66008902
450,1993.66008902
451,1999.10172824
452,2000.40046424
453,2023.26890222
454,2023.26890222
455,2023.26890222
456,2023.26890222
457,2026.00894866
458,2028.42744082
459,2038.05299357
460,2039.22193114
461,2044.25074634
462,2052.87771543
463,2052.87771543
464,2054.81337141
465,2062.42551524
466,2062.98106173
467,2072.29325697
468,2083.65367842
469,2084.57303859
470,2085.39971775
471,2089.19008509
472,2092.35613303
473,2092.35613303
474,2099.73150043
475,2112.28948433
476,2112.73725316
477,2113.4284193
478,2116.0104127
479,2129.4972282
480,2129.61876876
481,2137.88824463
482,2142.75309579
483,2151.57375944
484,2151.57375944
485,2156.04501681
486,2157.14099375
487,2164.36148278
488,2164.6531539
489,2177.66876374
490,2178.01268527
491,2181.18257264
492,2181.18257264
493,2181.18257264
494,2181.18257264
495,2217.01689163
496,2218.23836781
497,2220.66099025
498,2220.66099025
499,2224.3543056
500,2224.76604177
501,2227.88171651
502,2228.36858466
503,2230.53059465
504,2230.53059465
505,2239.34264025
506,2241.30499578
507,2249.59683701
508,2249.92577774
509,2250.1564848
510,2260.13940785
511,2260.13940785
512,2260.38610395
513,2277.88271553
514,2279.26264571
515,2282.80345989
516,2287.42090681
517,2289.74822105
518,2289.74822105
519,2289.91392736
520,2299.61782545
521,2299.61782545
522,2302.72120119
523,2309.48742985
524,2309.48742985
525,2316.23966884
526,2316.71859895
527,2321.6006459
528,2324.76707409
529,2342.18350758
530,2346.10384169
