# Domain: L_shaped (FD, paper eigenvalues-head run, dense eig full spectrum)
# Resolution M = 15, dofs = 161
# Computation time: 0.0009 s
n,lambda_n
1,9.69316221355
2,14.9931528494
3,19.4868396771
4,28.8069264284
5,31.3732990493
6,39.936514468
7,42.7800634245
8,47.2337518467
9,47.2337518467
10,54.6806254731
11,61.7951745852
12,66.3632491461
13,67.0404486393
14,74.9806640162
15,81.1957291942
16,83.4307789621
17,88.7599404958
18,88.7599404958
19,89.7927358877
20,93.9146375019
21,102.773411079
22,103.83116925
23,112.50521056
24,112.511024863
25,116.506852665
26,116.506852665
27,129.21158438
28,130.488755847
29,130.889568718
30,136.428268913
31,137.743419839
32,137.743419839
33,140.593114254
34,144.194491527
35,151.127766902
36,152.38607857
37,158.033041315
38,162.349166272
39,162.451595517
40,165.490332008
41,165.490332008
42,174.811576789
43,177.91916469
44,179.817383367
45,179.958075017
46,185.445160217
47,186.726899181
48,186.726899181
49,188.951646097
50,191.754057637
51,193.348778582
52,200.265987675
53,200.742497248
54,207.016520657
55,207.016520657
56,208.728657749
57,208.740359254
58,214.473811351
59,214.473811351
60,221.819470195
61,222.060174768
62,223.141789442
63,224.957650376
64,227.369404145
65,228.25308783
66,228.25308783
67,231.045603496
68,234.468258437
69,238.896638913
70,239.791183023
71,240.260010313
72,242.099824472
73,242.117098033
74,245.209000576
75,245.506417993
76,250.042773687
77,250.100481783
78,256
79,256
80,256
81,256
82,256
83,256
84,256
85,261.899518217
86,261.957226313
87,266.493582007
88,266.790999424
89,269.882901967
90,269.900175528
91,271.739989687
92,272.208816977
93,273.103361087
94,277.531741563
95,280.954396504
96,283.74691217
97,283.74691217
98,284.630595855
99,287.042349624
100,288.858210558
101,289.939825232
102,290.180529805
103,297.526188649
104,297.526188649
105,303.259640746
106,303.271342251
107,304.983479343
108,304.983479343
109,311.257502752
110,311.734012325
111,318.651221418
112,320.245942363
113,323.048353903
114,325.273100819
115,325.273100819
116,326.554839783
117,332.041924983
118,332.182616633
119,334.08083531
120,337.188423211
121,346.509667992
122,346.509667992
123,349.548404483
124,349.650833728
125,353.966958685
126,359.61392143
127,360.872233098
128,367.805508473
129,371.406885746
130,374.256580161
131,374.256580161
132,375.571731087
133,381.110431282
134,381.511244153
135,382.78841562
136,395.493147335
137,395.493147335
138,399.488975137
139,399.49478944
140,408.16883075
141,409.226588921
142,418.085362498
143,422.207264112
144,423.240059504
145,423.240059504
146,428.569221038
147,430.804270806
148,437.019335984
149,444.959551361
150,445.636750854
151,450.204825415
152,457.319374527
153,464.766248153
154,464.766248153
155,469.219936576
156,472.063485532
157,480.626700951
158,483.193073572
159,492.513160323
160,497.006847151
161,502.306837786
