# Domain: L_shaped (FEM, paper eigenvalues-head run, dense eig full spectrum)
# Resolution Hmax = 0.09, dofs = 1565
# Computation time: 0.2465 s
n,lambda_n
1,9.65215813908
2,15.1977128931
3,19.7396381166
4,29.5230426746
5,31.9445823631
6,41.501200672
7,44.9550399639
8,49.3546013287
9,49.3547936457
10,56.7445987788
11,65.3937529017
12,71.1075372766
13,71.5926796834
14,78.9835502602
15,89.431023325
16,92.3512404721
17,97.432898846
18,98.7476511604
19,98.7480828823
20,101.703647764
21,112.454342844
22,115.609415274
23,128.414092616
24,128.418370132
25,130.235376304
26,130.399164794
27,142.661320304
28,151.306967691
29,154.82639073
30,162.421586999
31,164.962070522
32,165.093261508
33,168.028358989
34,168.031028065
35,177.943168159
36,180.068710001
37,184.395034542
38,197.785046416
39,197.792299194
40,201.909254512
41,207.900774916
42,209.244961898
43,209.983539752
44,223.783550992
45,224.233395407
46,236.944376939
47,239.102009686
48,247.491551716
49,247.521225099
50,251.6844769
51,253.73863601
52,257.467724341
53,257.476033915
54,266.811237074
55,270.405682881
56,271.220525381
57,282.526684
58,287.388147698
59,287.408035803
60,290.347234397
61,294.843967374
62,308.241679466
63,308.432345945
64,311.887657077
65,315.345317499
66,317.362269946
67,337.377245767
68,337.436763897
69,337.513911243
70,337.693393507
71,348.1182122
72,353.723320582
73,362.123660534
74,362.881118691
75,367.587108062
76,367.597458053
77,372.033563544
78,374.794401297
79,378.796461335
80,385.757317671
81,392.706530821
82,393.419201312
83,397.719024322
84,397.797181367
85,407.767813088
86,407.887442663
87,419.313773293
88,423.19767951
89,430.458289064
90,430.832973457
91,436.73424098
92,448.128795219
93,448.225483292
94,448.364614002
95,458.526794009
96,458.543768754
97,458.769049891
98,469.13754557
99,484.118675686
100,484.940347541
101,491.688801103
102,496.003151564
103,499.113574137
104,499.15568213
105,499.235720337
106,505.277882535
107,508.167229072
108,519.020970638
109,519.535069886
110,519.646828114
111,520.045870807
112,529.712006203
113,529.807761871
114,537.363135244
115,544.264463368
116,552.552906117
117,553.917595653
118,567.76431256
119,572.155758336
120,573.251989848
121,573.784414306
122,580.914574569
123,581.060035572
124,584.721786626
125,587.082428266
126,601.19939607
127,601.559833426
128,611.737389398
129,612.140532584
130,616.093529432
131,619.882233883
132,642.288328644
133,645.935408211
134,648.502858685
135,653.096640987
136,653.179295415
137,653.243024437
138,653.356659497
139,653.826453196
140,654.703451268
141,661.357444492
142,666.820240705
143,673.883446383
144,676.709607386
145,684.645560954
146,684.675403904
147,687.811560991
148,700.029029128
149,701.67537516
150,707.482536041
151,714.969237317
152,726.720224184
153,730.85131145
154,731.704419828
155,736.963786394
156,737.080854294
157,739.39430514
158,739.670844983
159,747.070634426
160,747.809430228
161,766.126050958
162,766.586391572
163,771.482871134
164,772.723109458
165,778.306080568
166,783.706700082
167,802.27841178
168,810.419574198
169,810.741354907
170,812.91084706
171,816.94494926
172,819.624345931
173,824.046696253
174,829.868127521
175,830.94659765
176,831.508543957
177,833.156239567
178,833.732751108
179,849.063722244
180,851.036983348
181,859.441422873
182,863.056814728
183,863.371992002
184,864.652509913
185,865.463186864
186,866.424698572
187,883.713362991
188,887.701891982
189,903.167864415
190,904.367741494
191,905.969680933
192,906.217146576
193,909.434990586
194,918.69664327
195,918.838957131
196,921.185726385
197,929.77606907
198,930.574556869
199,933.885936772
200,951.581978105
201,952.015920049
202,956.165450389
203,962.32389489
204,963.177204281
205,973.193061734
206,974.174908584
207,993.630412228
208,993.960583315
209,997.291022142
210,997.402220174
211,1005.45552932
212,1012.0326254
213,1012.37314979
214,1026.59938394
215,1028.12523975
216,1030.58443648
217,1031.34413063
218,1036.85317339
219,1037.06180698
220,1041.87839068
221,1044.85456315
222,1053.49743031
223,1056.42563768
224,1061.09115129
225,1069.58547656
