# Domain: L_shaped (DST, paper eigenvalues-head run, dense eig full spectrum)
# Resolution M = 25, dofs = 456
# Computation time: 0.0095 s
n,lambda_n
1,9.72474414612
2,15.1933228342
3,19.7392088022
4,29.5197381849
5,32.1163567087
6,41.6307299806
7,44.9285044666
8,49.3480220054
9,49.3480220054
10,56.8813882745
11,65.3487070252
12,71.2582347032
13,71.5721814939
14,78.9568352087
15,89.9027589435
16,92.2925693061
17,97.3456187534
18,98.6960440109
19,98.6960440109
20,101.9028081
21,112.44489343
22,115.421122732
23,128.304857214
24,128.304857214
25,130.118108758
26,130.415182344
27,142.843465748
28,151.097983964
29,155.589762656
30,162.141125432
31,164.644538321
32,164.854560104
33,167.783274819
34,167.783274819
35,177.65287922
36,180.146863024
37,183.901283735
38,197.392088022
39,197.392088022
40,201.445049
41,207.744561831
42,208.763466032
43,210.055422647
44,223.22087457
45,223.45633771
46,237.210745671
47,238.398988847
48,246.740110027
49,246.740110027
50,251.179844804
51,252.74263039
52,256.609714428
53,256.609714428
54,266.884348297
55,269.487033117
56,270.159479926
57,280.99630874
58,286.218527632
59,286.218527632
60,289.754594461
61,293.567561685
62,306.697853126
63,306.945380042
64,310.75262347
65,313.521065217
66,315.827340835
67,335.566549637
68,335.566549637
69,335.82395722
70,336.389473892
71,346.102566637
72,353.438699343
73,359.892801062
74,360.409611293
75,365.17536284
76,365.17536284
77,369.347077302
78,372.691671624
79,376.892679782
80,382.172834427
81,389.828417924
82,390.714780117
83,394.784176044
84,394.784176044
85,404.653780445
86,404.653780445
87,416.37770253
88,419.219119921
89,427.009888612
90,427.07547748
91,433.174230224
92,443.447558525
93,444.132198049
94,444.132198049
95,454.126555938
96,454.138463085
97,456.742891606
98,464.365078668
99,478.886212299
100,479.413351982
101,487.144061031
102,489.636377595
103,493.480220054
104,493.480220054
105,493.480220054
106,500.815378798
107,502.175437773
108,512.671367972
109,513.064989712
110,513.219428857
111,513.219428857
112,523.089033258
113,523.089033258
114,530.34086984
115,538.780531333
116,545.367257867
117,546.073875327
118,557.875250638
119,564.046874426
120,565.121288917
121,565.375048292
122,572.437055263
123,572.437055263
124,576.956060885
125,578.145591838
126,591.593547885
127,592.51032011
128,602.045868466
129,602.045868466
130,606.359494418
131,608.969866839
132,633.445010861
133,634.069440737
134,637.111266744
135,641.524286071
136,641.524286071
137,641.524286071
138,641.524286071
139,641.705224264
140,643.108200287
141,648.710711982
142,656.05402476
143,659.790441425
144,664.350405419
145,671.133099274
146,671.133099274
147,674.117556853
148,685.349416071
149,686.982995093
150,693.181123654
151,696.986812526
152,710.611516878
153,714.814794208
154,716.271000039
155,720.48112128
156,720.48112128
157,722.658991967
158,722.767289532
159,730.350725681
160,730.350725681
161,747.232541112
162,747.437332296
163,753.374257886
164,756.217526551
165,758.721478059
166,764.930854716
167,779.785506955
168,789.568352087
169,789.568352087
170,792.841010428
171,796.576910961
172,797.186637318
173,802.637553538
174,806.105584835
175,807.9373225
176,807.954945246
177,809.307560889
178,809.307560889
179,825.509846709
180,826.132522103
181,833.780940601
182,835.453631939
183,838.916374093
184,838.916374093
185,838.916374093
186,838.916374093
187,858.406785301
188,859.964724603
189,874.124461504
190,875.215941414
