# Domain: L_shaped (FD, paper eigenvalues-head run, dense eig full spectrum)
# Resolution M = 49, dofs = 1776
# Computation time: 0.2038 s
n,lambda_n
1,9.6613312868
2,15.1767358476
3,19.7132467138
4,29.4478492897
5,31.8964979153
6,41.3462682725
7,44.7249701796
8,49.1276719461
9,49.1276719461
10,56.5331116875
11,65.0132397869
12,70.6009555769
13,71.0881687497
14,78.5420971784
15,88.5882606304
16,91.4283611335
17,96.5205162655
18,97.6360159966
19,97.6360159966
20,100.83574835
21,111.365158012
22,114.300810906
23,127.050441229
24,127.050441229
25,128.197317054
26,128.36113289
27,141.163100194
28,149.161442266
29,152.294268039
30,160.037542159
31,161.635189072
32,161.991914755
33,164.473273302
34,164.473273302
35,175.558785279
36,176.668646849
37,180.644663038
38,193.887698534
39,193.887698534
40,198.578050342
41,203.434723357
42,203.564802264
43,205.15348202
44,219.32751833
45,219.520734326
46,230.769228328
47,233.13717483
48,242.396042585
49,242.396042585
50,243.396168259
51,244.93200934
52,248.585380388
53,248.585380388
54,259.123075866
55,262.819361196
56,263.810341362
57,274.626875175
58,277.999805621
59,277.999805621
60,282.354012753
61,287.498850978
62,295.46888792
63,295.85203898
64,301.667531224
65,304.56026324
66,309.23329989
67,323.737178548
68,324.168266964
69,326.508149671
70,326.508149671
71,337.763973196
72,340.562172462
73,344.581291055
74,346.175889079
75,348.64583908
76,348.64583908
77,357.098306424
78,358.566195368
79,364.875442431
80,367.973594598
81,376.636305295
82,376.83673601
83,378.060264312
84,378.060264312
85,393.345406976
86,393.345406976
87,399.131032131
88,401.091847827
89,404.498988495
90,405.953492594
91,420.28556032
92,426.568608363
93,426.568608363
94,428.100891391
95,431.385036318
96,432.603268549
97,438.534617345
98,449.528609805
99,456.772779715
100,457.206639472
101,461.078061564
102,462.681253596
103,463.076636171
104,463.076636171
105,472.327600358
106,477.149942052
107,477.457514063
108,485.335984909
109,485.863742093
110,492.491061403
111,492.491061403
112,493.405865668
113,493.405865668
114,511.059355519
115,511.922143877
116,516.719441486
117,519.933098982
118,524.885663316
119,525.030257125
120,534.681333509
121,540.999405454
122,540.999405454
123,541.716170239
124,549.38782732
125,551.418433485
126,552.348292884
127,553.944391079
128,573.856168233
129,575.571620395
130,577.517972755
131,577.517972755
132,583.088821413
133,586.156510071
134,590.073129633
135,590.073129633
136,596.78576299
137,598.372949388
138,607.836662759
139,607.836662759
140,608.247278565
141,609.909691064
142,610.820438111
143,619.049972703
144,619.487554865
145,619.487554865
146,628.159497408
147,640.898647198
148,641.000774988
149,644.66998914
150,652.612382772
151,653.299403875
152,657.599620595
153,658.282513384
154,667.995898916
155,667.995898916
156,670.867872115
157,671.795125571
158,677.578431446
159,684.317303411
160,684.607309252
161,691.948769845
162,691.948769845
163,700.009012164
164,703.006345574
165,716.246799304
166,719.18167742
167,722.095469064
168,723.821025857
169,727.632508901
170,727.632508901
171,730.611967926
172,731.685928555
173,734.833156221
174,734.833156221
175,739.13888208
176,743.150563775
177,747.165459598
178,750.167854244
179,756.149184597
180,757.046934133
181,757.046934133
182,760.740026853
183,775.403498327
184,775.935296168
185,779.906566278
186,784.606377004
187,792.009228537
188,792.009228537
189,799.455732468
190,799.584318023
191,803.554386802
192,803.976306856
193,805.555278183
194,805.555278183
195,818.945263308
196,818.945263308
197,825.811328376
198,826.033041347
199,829.444610392
200,835.686866707
201,836.706172342
202,842.26023065
203,848.387066358
204,861.160065924
205,864.291337931
206,868.925576985
207,871.861691629
208,872.392535489
209,872.392535489
210,873.585380388
211,873.585380388
212,873.89466109
213,875.81349887
214,876.255817984
215,885.307110098
216,890.29894951
217,892.431312575
218,892.574598624
219,902.999805621
220,902.999805621
221,906.440025628
222,914.040195316
223,915.060947647
224,919.005721999
225,919.005721999
226,923.4018315
227,927.546820618
228,945.243730962
229,946.192255489
230,948.819979668
231,948.826240489
232,949.750460087
233,951.508149671
234,951.508149671
235,956.051285572
236,956.504642575
237,956.504642575
238,968.008389589
239,974.051159972
240,974.57437495
241,978.387273531
242,986.831094443
243,987.172244512
244,991.757718479
245,995.390942082
246,1006.55330776
247,1008.67523924
248,1016.79889716
249,1018.34540698
250,1018.34540698
251,1020.09858558
252,1025.62998012
253,1025.62998012
254,1025.71383444
255,1025.78139794
256,1028.85116234
257,1030.74571123
258,1033.43651909
259,1033.43651909
260,1042.82089213
261,1043.79952385
262,1055.04440536
263,1055.04440536
264,1056.56510127
265,1056.56510127
266,1059.29458688
267,1061.46321223
268,1074.31767736
269,1075.66962383
270,1076.54624453
271,1083.59720272
272,1091.27501351
273,1094.86234182
274,1096.75625331
275,1102.45751406
276,1102.45751406
277,1102.84782329
278,1102.93933764
279,1103.55274941
280,1103.55274941
281,1108.22055925
282,1117.85267996
283,1119.09543855
284,1127.95137476
285,1128.20957016
286,1130.98936994
287,1134.78717715
288,1137.86353611
289,1139.33586716
290,1153.78428039
291,1153.97876303
292,1160.43301255
293,1170.39000671
294,1170.39000671
295,1170.99589836
296,1170.99589836
297,1171.1347925
298,1173.9713416
299,1178.16709998
300,1178.60637176
301,1181.0654669
302,1181.35987644
303,1181.36847395
304,1181.36847395
305,1197.84493791
306,1199.11736367
307,1202.51797275
308,1202.51797275
309,1206.8857446
310,1209.68764226
311,1210.78289918
312,1210.78289918
313,1213.15943986
314,1213.88160984
315,1223.00219143
316,1229.38516972
317,1233.57868275
318,1235.92338844
319,1248.38509852
320,1250.60054572
321,1252.25401867
322,1253.54942886
