# Domain: ellipse_minus_quadrant (DST, paper eigenvalues-head run, dense eig full spectrum)
# Resolution M = 35, dofs = 361
# Computation time: 0.0123 s
n,lambda_n
1,5.56177202075
2,11.0995994863
3,14.4315969824
4,14.7190982904
5,20.0783395291
6,25.6572954628
7,26.5982477656
8,27.8366675186
9,33.1531165109
10,39.6091399581
11,40.4490206571
12,43.1862401739
13,44.147394029
14,46.5056017715
15,50.4320864203
16,54.0545315381
17,58.6582065167
18,60.3636351763
19,63.5735093315
20,63.8415806367
21,68.8175668527
22,71.6119774592
23,72.8929777936
24,81.2111425685
25,81.4767122931
26,83.0381670197
27,86.840247723
28,88.4296050224
29,93.5894999104
30,95.5280916721
31,97.1717047755
32,97.4511363998
33,104.674735375
34,107.771466392
35,108.640718875
36,108.845826932
37,112.221308927
38,116.892969589
39,119.439655864
40,121.447786981
41,127.450664773
42,128.577146733
43,131.693451025
44,135.28602852
45,136.013607053
46,139.730999541
47,140.75553017
48,144.650598936
49,148.568372235
50,150.5701226
51,153.130791129
52,156.909595112
53,160.794676274
54,162.615288813
55,164.671896041
56,167.114134262
57,168.751394827
58,171.521179527
59,172.674297756
60,175.086719793
61,177.776263774
62,181.666892928
63,183.813804485
64,186.133970453
65,192.125889218
66,192.786664888
67,197.247456112
68,200.380533172
69,203.876673158
70,204.524304412
71,206.138130959
72,209.752026043
73,211.277653299
74,211.492734677
75,215.712841851
76,219.038728527
77,225.497650255
78,226.152348951
79,226.997380168
80,233.037598418
81,234.923266966
82,240.424561585
83,240.675722422
84,240.996672601
85,246.245325108
86,250.518066447
87,250.576929497
88,253.389185277
89,254.261138066
90,255.717620525
91,259.243167986
92,261.126739934
93,266.2298352
94,268.045797902
95,271.137189622
96,274.341894281
97,274.949724829
98,281.120636889
99,281.74632648
100,285.495411593
101,286.095629642
102,290.277031761
103,290.528429602
104,295.433084037
105,297.158180513
106,299.389137633
107,301.220294119
108,305.128713469
109,306.489815967
110,309.425624679
111,310.870687256
112,318.600082781
113,318.807250596
114,324.44226607
115,325.1769471
116,327.130420748
117,332.748532287
118,333.491892394
119,335.536222309
120,338.751289751
121,340.362389506
122,340.98243941
123,347.785989064
124,348.48301442
125,352.967836842
126,353.386585189
127,357.526867074
128,359.438617562
129,359.9442073
130,362.915883698
131,366.381993619
132,368.125238588
133,368.578609386
134,369.732885742
135,372.107945339
136,376.63318995
137,381.761101067
138,382.626824616
139,385.951401551
140,386.459665535
141,391.337048159
142,392.148356246
143,396.654789977
144,399.198804638
145,401.723497491
146,404.860902937
147,407.684932432
148,409.96742863
149,413.367039184
150,417.277694927
151,419.398211159
152,422.864869444
153,425.676644327
154,426.681628691
155,428.57329919
156,429.705399167
157,433.995938631
158,435.400749532
159,436.239529971
160,442.48590898
161,446.243853109
162,447.673123697
163,449.231614924
164,453.084084274
165,454.220307818
166,455.726800361
167,460.085761365
168,461.662670967
169,462.481151652
170,469.23627415
171,471.404413175
172,473.923141293
173,476.151640571
174,478.024995438
175,480.115554065
176,484.483478963
177,487.661949991
178,490.882834755
179,493.762097037
180,494.585792735
181,494.83492369
182,497.517668914
183,497.660375739
184,503.12226831
185,504.736555646
186,505.547281624
187,508.287781505
188,508.786145164
189,514.229925214
190,519.135537593
191,523.092810728
192,524.490879358
193,526.794066821
194,528.941110311
195,531.177096085
196,532.754289977
197,534.942912877
198,536.439121962
199,541.117643874
200,541.905695067
201,544.015404434
202,547.235980904
203,552.117832773
204,555.433086196
205,556.303714914
206,557.381396009
207,562.928722441
208,566.423728805
209,567.15047264
210,568.465527139
211,571.86247951
212,574.086957873
213,575.224170165
214,579.048660405
215,584.161143358
216,586.45022424
217,588.503204615
218,592.803987833
219,594.673603264
220,596.952133639
221,597.464039769
222,603.163530644
223,604.704678084
224,605.369911767
225,609.793769235
226,613.397936711
227,619.33353875
228,620.143747437
229,620.830697051
230,623.077489977
231,625.443732516
232,627.626547682
233,627.921372538
234,634.235423484
235,634.974931424
236,636.204446134
237,636.790372779
238,643.262832258
239,644.027456447
240,646.289900472
241,648.341737701
242,652.317121113
243,653.733189151
244,654.050710347
245,656.55758756
246,657.925597876
247,658.475439732
248,667.592634562
249,668.697967
250,669.478939518
251,670.282688106
252,676.581654186
253,677.3164282
254,679.829340131
255,683.785348944
256,684.373706062
257,691.606779985
258,692.725674721
259,694.912279592
260,698.06874851
261,703.903709676
262,704.274216726
263,705.37813363
264,707.981113281
265,708.85628483
266,713.222143657
267,713.9317045
268,718.841425346
269,720.59121269
270,720.828032393
271,726.345445731
272,728.704636583
273,731.735362825
274,733.099771921
275,734.717043052
276,735.253232757
277,742.198562731
278,742.285900183
279,748.763036659
280,749.433748361
281,751.230973679
282,752.249185729
283,756.790448238
284,758.333451439
285,764.712399691
286,768.476183093
287,769.789610733
288,774.232531691
289,777.871731721
290,778.738146537
291,785.152397859
292,787.296267445
293,788.439785224
294,791.06637557
295,800.857923793
296,803.277172604
297,805.478841363
298,807.288360848
299,810.052076874
300,814.804170664
301,821.533784254
302,824.432453416
303,832.444014016
304,836.283403905
305,837.797478413
306,840.978454814
307,842.634128489
308,845.17109922
309,851.284803346
310,864.100632432
311,866.180876892
312,867.259922708
313,880.673050686
314,882.544051789
315,886.977816461
316,889.435773505
317,891.162177286
318,899.98156042
319,901.092689264
320,907.84176075
321,917.494930646
322,925.110495349
323,934.90372283
324,938.792637426
325,941.203430216
326,945.100743846
327,953.403576154
328,958.974916742
329,972.443851649
330,973.533022035
331,975.962016297
332,989.47791578
333,996.617278921
334,1010.09758141
335,1010.54562543
336,1014.8154154
337,1020.33938637
338,1038.36756111
339,1051.87360935
340,1055.7377059
341,1056.10704022
342,1071.08476741
343,1085.16483832
344,1093.29416472
345,1098.43711155
346,1114.09224878
347,1126.76452607
348,1141.71260599
349,1142.05011448
350,1163.79707314
351,1173.52146002
352,1187.45127185
353,1211.78164955
354,1229.55815745
355,1234.31702013
356,1259.92839498
357,1274.98115134
358,1321.22361489
359,1325.5037199
360,1369.15325693
361,1425.26124697
