# Domain: ellipse_minus_quadrant (FD, paper eigenvalues-head run, dense eig full spectrum)
# Resolution M = 35, dofs = 361
# Computation time: 0.0076 s
n,lambda_n
1,5.5320501273
2,10.9852175954
3,14.272002941
4,14.5593112147
5,19.7994603378
6,25.2399332873
7,26.0106374995
8,27.2327625295
9,32.4019391669
10,38.2916750916
11,39.3361128496
12,41.7766836969
13,42.5639550902
14,44.7693331679
15,48.6094571162
16,51.9645999155
17,56.168415093
18,58.0135516016
19,60.4439295547
20,60.9674299631
21,64.8600321019
22,67.6199157157
23,69.5397551569
24,76.2079139068
25,76.9322301384
26,78.9972942211
27,81.1595066213
28,81.9815968418
29,86.23397716
30,89.182609294
31,89.5446642136
32,90.2016908063
33,96.7332181442
34,98.5526294814
35,100.390747298
36,101.75264846
37,103.759763974
38,106.168365833
39,109.609119882
40,111.694290803
41,114.498722539
42,114.747942944
43,119.911423666
44,122.419498511
45,122.928702145
46,124.755067593
47,128.434164223
48,131.20750304
49,131.680076623
50,133.653521985
51,136.435471026
52,139.415956481
53,140.017134558
54,142.849129994
55,143.427407854
56,144.55217726
57,148.984653543
58,150.410608726
59,152.268741327
60,154.4162143
61,156.399242886
62,157.484765372
63,160.6689761
64,161.768127527
65,166.071178837
66,167.16079435
67,170.141627014
68,170.510944903
69,171.015776654
70,175.253405691
71,176.466664632
72,177.462669862
73,180.384329705
74,182.953913568
75,183.061829357
76,186.197530843
77,190.455472824
78,191.114407516
79,191.900181536
80,192.082335642
81,194.749391421
82,197.324107784
83,197.718651223
84,199.920102237
85,200.037333515
86,204.53397901
87,205.833677682
88,206.704671428
89,209.840279179
90,210.781146363
91,212.389693543
92,213.901207172
93,215.96528849
94,217.505242427
95,220.144897491
96,221.615863494
97,223.344488323
98,224.061952311
99,224.968273153
100,226.592196367
101,227.981428953
102,228.611440284
103,231.287287836
104,236.090364066
105,236.971013103
106,237.549255363
107,237.858425463
108,241.149604825
109,242.326388623
110,244.017494249
111,244.492644009
112,245.596835144
113,247.713394803
114,249.38996201
115,250.447286131
116,252.805199328
117,253.182962479
118,254.721046633
119,255.252416719
120,256.769208992
121,258.517403596
122,258.908790025
123,261.525814328
124,263.32264176
125,265.06338764
126,266.063537817
127,267.419631071
128,269.757091657
129,270.341122683
130,270.827075856
131,271.135069826
132,272.585947681
133,272.988433771
134,276.689828152
135,278.471150128
136,279.434901942
137,280.165979884
138,282.491465389
139,284.23018608
140,286.075032145
141,286.453735955
142,286.880433839
143,287.777732097
144,288.031602694
145,289.404851424
146,291.169459646
147,291.72337641
148,292.063484469
149,295.381192648
150,295.887329955
151,296.019984156
152,297.318728096
153,297.440241961
154,299.829790953
155,300.778599419
156,302.059160797
157,302.332451014
158,304.235198002
159,306.341074414
160,306.698615752
161,306.749961543
162,307.466226238
163,308.253719678
164,310.643251012
165,312.057079277
166,313.020038218
167,313.510713222
168,313.914168856
169,315.498544936
170,315.672533641
171,315.971641326
172,317.151048917
173,317.961334674
174,318.474117366
175,319.157019494
176,319.542613979
177,320.704561673
178,322.009484181
179,323.244250003
180,324
181,324
182,324
183,324.755749997
184,325.990515819
185,327.295438327
186,328.457386021
187,328.842980506
188,329.525882634
189,330.038665326
190,330.848951083
191,332.028358674
192,332.327466359
193,332.501455064
194,334.085831144
195,334.489286778
196,334.979961782
197,335.942920723
198,337.356748988
199,339.746280322
200,340.533773762
201,341.250038457
202,341.301384248
203,341.658925586
204,343.764801998
205,345.667548986
206,345.940839203
207,347.221400581
208,348.170209047
209,350.559758039
210,350.681271904
211,351.980015844
212,352.112670045
213,352.618807352
214,355.936515531
215,356.27662359
216,356.830540354
217,358.595148576
218,359.968397306
219,360.222267903
220,361.119566161
221,361.546264045
222,361.924967855
223,363.76981392
224,365.508534611
225,367.834020116
226,368.565098058
227,369.528849872
228,371.310171848
229,375.011566229
230,375.414052319
231,376.864930174
232,377.172924144
233,377.658877317
234,378.242908343
235,380.580368929
236,381.936462183
237,382.93661236
238,384.67735824
239,386.474185672
240,389.091209975
241,389.482596404
242,391.230791008
243,392.747583281
244,393.278953367
245,394.817037521
246,395.194800672
247,397.552713869
248,398.61003799
249,400.286605197
250,402.403164856
251,403.507355991
252,403.982505751
253,405.673611377
254,406.850395175
255,410.141574537
256,410.450744637
257,411.028986897
258,411.909635934
259,416.712712164
260,419.388559716
261,420.018571047
262,421.407803633
263,423.031726847
264,423.938047689
265,424.655511677
266,426.384136506
267,427.855102509
268,430.494757573
269,432.03471151
270,434.098792828
271,435.610306457
272,437.218853637
273,438.159720821
274,441.295328572
275,442.166322318
276,443.46602099
277,447.962666485
278,448.079897763
279,450.281348777
280,450.675892216
281,453.250608579
282,455.917664358
283,456.099818464
284,456.885592484
285,457.544527176
286,461.802469157
287,464.938170643
288,465.046086432
289,467.615670295
290,470.537330138
291,471.533335368
292,472.746594309
293,476.984223346
294,477.489055097
295,477.858372986
296,480.83920565
297,481.928821163
298,486.231872473
299,487.3310239
300,490.515234628
