# Domain: gww2 (DST, paper eigenvalues-head run, dense eig full spectrum)
# Resolution M = 23, dofs = 189
# Computation time: 0.0030 s
n,lambda_n
1,2.57456246256
2,3.68735007441
3,5.24560241924
4,6.53574008927
5,7.30996402619
6,9.22351698742
7,10.605624615
8,11.5261286895
9,12.3259651464
10,13.1239095186
11,14.3199085259
12,15.9945650592
13,16.8688648586
14,17.6662315236
15,19.1568510079
16,20.8266035505
17,21.3973741498
18,22.3424682798
19,23.6046580054
20,24.4276297956
21,24.592103729
22,26.0589183084
23,27.2505936889
24,28.0841269963
25,29.4582257395
26,31.2631614522
27,32.0390747794
28,32.1493368763
29,32.8549748011
30,34.0323307558
31,36.0686148304
32,37.0128767899
33,38.68686583
34,38.9420824011
35,40.6047670794
36,41.0334588762
37,41.2232203337
38,41.6339577782
39,43.9635479826
40,44.759068809
41,45.5006585397
42,46.1590488959
43,47.2697141765
44,49.0888709888
45,49.4354670511
46,50.1880971074
47,51.2852040763
48,51.9219042343
49,53.0061043153
50,54.0923972255
51,55.6311664253
52,56.5354377854
53,57.2979457415
54,58.836922102
55,61.1888745125
56,61.5747910329
57,61.6787117788
58,62.4236447047
59,62.5875898771
60,63.3566371399
61,64.2347819924
62,65.2151686541
63,66.8057719249
64,68.3050102532
65,68.8928023603
66,70.2223017416
67,70.4371406119
68,70.849804739
69,71.9647049404
70,73.5431289513
71,74.2581017725
72,74.745389251
73,76.1725907812
74,77.1485279263
75,77.55367555
76,79.3084927764
77,79.8352113729
78,80.6976999537
79,81.3850949905
80,82.1142032022
81,84.4134955319
82,84.7187862335
83,85.3871728911
84,85.9371231734
85,86.6973175777
86,87.5524374676
87,88.4789800232
88,89.9449292681
89,90.3454143479
90,91.3284074032
91,91.7390667283
92,93.2735360786
93,94.0073551136
94,94.6040532555
95,95.3709276929
96,96.9246272321
97,98.6355235249
98,99.1067601499
99,100.049270609
100,100.856388271
101,101.136269308
102,101.643866679
103,102.158373094
104,103.554370534
105,105.294241235
106,106.456052578
107,107.255164419
108,108.517899371
109,109.308201317
110,110.378058663
111,110.796262403
112,111.347461614
113,111.842177448
114,112.815750197
115,114.007839991
116,114.726164998
117,117.277747047
118,118.332543856
119,119.085954915
120,119.873423629
121,120.842919567
122,121.328441204
123,122.588114129
124,122.748458215
125,123.749412989
126,125.353211094
127,126.092857294
128,126.829708677
129,127.249287069
130,127.682137617
131,128.220403244
132,129.296609416
133,130.207229698
134,131.40087495
135,132.115220803
136,134.257981979
137,134.958696094
138,135.623328018
139,136.145905182
140,137.023565094
141,137.395915054
142,139.052040753
143,139.563732986
144,140.525987005
145,142.596075915
146,143.027463069
147,143.787060916
148,145.632591567
149,147.518831505
150,148.538039654
151,149.667258971
152,150.320699054
153,150.78973797
154,152.412450402
155,153.955310298
156,154.258820112
157,154.636480067
158,158.052571118
159,158.948750043
160,161.503201517
161,162.847943143
162,164.578442602
163,166.633408654
164,168.497632961
165,169.580524053
166,172.367626567
167,174.624257913
168,175.714946909
169,177.745636258
170,179.417426551
171,180.630395442
172,185.100364919
173,186.483579751
174,190.65319792
175,192.675200502
176,193.912610703
177,198.906547349
178,201.038708029
179,205.971038033
180,208.524379746
181,208.930480531
182,216.896173038
183,221.183099413
184,223.945693331
185,231.745228442
186,236.160049035
187,244.414384225
188,253.964437432
189,264.795116564
