# Domain: gww2 (FEM, paper eigenvalues-head run, dense eig full spectrum)
# Resolution Hmax = 0.13, dofs = 3561
# Computation time: 4.5686 s
n,lambda_n
1,2.539893665
2,3.65746737708
3,5.17939362944
4,6.53846792286
5,7.25175970547
6,9.21119776746
7,10.5995392292
8,11.5425238159
9,12.3374571963
10,13.0599704702
11,14.3164488111
12,15.8805165246
13,16.9431818171
14,17.6685975649
15,18.9935486803
16,20.8866580751
17,21.2614624907
18,22.2451699792
19,23.7156175263
20,24.4833209976
21,24.6775443146
22,26.0907960671
23,27.3145724294
24,28.1836103268
25,29.5791446388
26,31.4940396017
27,32.0840322714
28,32.2318436357
29,32.9178700172
30,34.1470072366
31,36.2771277283
32,37.1162838607
33,38.8111437585
34,38.9677967
35,40.8553443825
36,40.9844004076
37,41.4682708987
38,41.9628692006
39,44.1709113918
40,44.501398506
41,45.8734094909
42,46.7244078439
43,47.4717514324
44,49.3756798134
45,49.9632464094
46,50.3181067013
47,52.0620674725
48,52.5723710217
49,53.4320610747
50,54.2363132331
51,56.3211123316
52,57.1039066242
53,58.190084994
54,59.201669663
55,61.7391090541
56,61.7843674528
57,62.9127547211
58,63.2615651249
59,63.3523810813
60,64.211703663
61,64.8589679297
62,66.5395965247
63,67.2568784989
64,69.5690257197
65,70.1437005022
66,70.7524693044
67,71.6369663275
68,71.6667125488
69,72.4742255806
70,75.1191531441
71,76.610363073
72,76.9769304107
73,77.3734046173
74,77.4964951248
75,79.8179554843
76,80.8297934821
77,81.8181990726
78,83.9538948727
79,83.9867604342
80,84.0234593487
81,85.8942707845
82,86.1730564382
83,87.6220382454
84,89.1867677836
85,90.6478419114
86,91.1143108138
87,91.4589505781
88,91.4735533253
89,92.422911567
90,93.5420393311
91,94.9653680945
92,96.4990873948
93,98.1534720242
94,98.8019081281
95,98.9080677102
96,99.1329401415
97,101.393846375
98,102.192481029
99,103.168312792
100,103.661350014
101,104.923404425
102,105.874650262
103,106.769491727
104,106.891272164
105,109.709515976
106,110.258021595
107,111.180800716
108,111.329071905
109,113.209053628
110,113.352972363
111,114.497154651
112,115.102444647
113,116.507965231
114,118.894327229
115,119.985098666
116,120.119654024
117,122.04255998
118,123.024432934
119,123.388343093
120,123.533011374
121,123.775421535
122,125.405221738
123,126.447285702
124,127.613659572
125,128.761797369
126,129.161078885
127,129.498186727
128,131.255545188
129,131.733132757
130,131.935757988
131,132.429419399
132,134.011847452
133,135.458067501
134,137.225748309
135,138.571317714
136,140.23020803
137,140.382573538
138,141.254603381
139,141.393804622
140,141.875687199
141,143.543358186
142,143.729357549
143,145.64059689
144,147.653941573
145,148.188025466
146,150.05558227
147,150.555709124
148,151.144021399
149,151.23586842
150,152.630192968
151,152.671497628
152,154.191627587
153,156.250030936
154,157.808934043
155,158.993110483
156,160.203619608
157,160.676581038
158,160.755800756
159,161.244086749
160,161.252722967
