# Domain: isosceles_triangle (FD, paper eigenvalues-head run, dense eig full spectrum)
# Resolution M = 50, dofs = 1225
# Computation time: 0.0680 s
n,lambda_n
1,4.99462699751
2,9.97409980723
3,12.9693591485
4,16.9188972394
5,19.9141565807
6,24.8936293904
7,25.8026752987
8,28.7979346399
9,33.7774074496
10,36.5917347719
11,39.5869941132
12,40.7222048818
13,44.5664669229
14,49.245149061
15,51.5112643551
16,52.2404084022
17,57.2198812119
18,60.3950424143
19,63.7149194314
20,64.1646786441
21,66.7101787726
22,71.6896515824
23,73.0484567034
24,78.6344490146
25,79.9461570878
26,82.9414164291
27,83.8375161766
28,87.5182270738
29,87.9208892388
30,94.865686671
31,97.8772913863
32,98.307286547
33,100.872550728
34,103.74946473
35,105.852023537
36,110.960700836
37,112.796820969
38,114.538524203
39,117.440303392
40,120.435562734
41,121.680599029
42,125.415035543
43,127.191938493
44,132.359832976
45,132.469658502
46,138.560983901
47,141.243611035
48,141.556243242
49,141.661708863
50,145.123072791
51,146.535716052
52,152.032670508
53,153.480513484
54,159.592843161
55,161.159214936
56,162.364291543
57,164.154474277
58,164.686084797
59,169.133947087
60,173.153351017
61,175.824080818
62,176.078744519
63,179.155855168
64,184.962522579
65,185.149273668
66,185.806765306
67,188.144533009
68,193.124005818
69,195.387092824
70,195.751582052
71,200.068803251
72,200.276535676
73,208.404996341
74,208.95258131
75,210.440157585
76,213.318227122
77,213.435416926
78,216.507773333
79,218.414889736
80,219.741640783
81,222.874766711
82,225.359687168
83,232.395055072
84,234.243465227
85,234.438907631
86,236.935929703
87,239.106004368
88,239.931189044
89,244.910661854
90,245.0325247
91,246.864825443
92,251.855459286
93,254.001919637
94,257.037138666
95,257.68593899
96,260.739237345
97,263.096063099
98,264.536082482
99,267.531341823
100,271.528296818
101,272.15570936
102,272.510814633
103,276.600150672
104,279.455612065
105,281.027197398
106,284.181711107
107,288.339390124
108,288.386947016
109,293.135919089
110,296.13117843
111,297.720831181
112,298.651481478
113,299.128449598
114,300.590209404
115,301.11065124
116,306.318081315
117,308.055448672
118,311.781863887
119,314.882719134
120,316.939226732
121,321.710889912
122,322.626950548
123,325.62220989
124,325.881093321
125,326.251634257
126,327.728286205
127,330.601682699
128,332.813853433
129,337.546480131
130,340.381700494
131,342.482871913
132,344.309120947
133,346.430258191
134,347.001773829
135,352.376865439
136,352.897307275
137,354.851470864
138,355.892566617
139,357.219317664
140,360.414006212
141,360.872039426
142,367.816836858
143,369.600004865
144,369.872731953
145,371.082708521
146,373.497545947
147,376.700614918
148,379.977018218
149,383.832163439
150,384.342502323
151,386.82742278
152,387.489674391
153,389.013842819
154,391.80689559
155,393.590063596
156,396.095776983
157,398.751693022
158,400.14308868
159,400.57373998
160,401.097698727
161,407.635471081
162,408.576854825
163,414.61285905
164,415.314172533
165,418.309431875
166,418.424530554
167,418.504874278
168,420.085835714
169,423.288904684
170,423.695929762
171,429.697535334
172,430.233702116
173,430.844096707
174,431.077944843
175,438.067886284
176,439.117480176
177,445.376719631
178,445.547715214
179,447.223912515
180,447.685988493
181,448.775231005
182,449.906539649
183,450.219171856
184,452.295766369
185,455.198644666
186,459.188566793
187,461.77895287
188,462.143442098
189,462.559953938
190,468.338243011
191,471.027220157
192,472.97687241
193,476.2858251
194,477.029724308
195,479.44033881
196,479.710087169
197,481.786797828
198,481.816279631
199,482.435598152
200,487.415070961
201,489.45892352
202,493.260961965
203,494.359868393
204,494.46969392
205,499.273099175
206,499.472644528
207,501.576709018
208,503.243646453
209,505.77685656
210,508.93946429
211,511.192096263
212,511.841243479
213,512.057154555
214,514.032705926
215,514.83650282
216,519.81597563
217,520.393779683
218,525.170701947
219,526.686120215
220,526.760773062
221,528.072481136
222,530.755108269
223,531.067740477
224,535.644551122
225,536.047213287
226,541.155890585
227,542.992010719
228,543.101836245
229,544.303718792
230,546.433610595
231,547.298978133
232,551.875788778
233,552.278450943
234,555.672633915
235,557.387128242
236,557.563512595
237,559.087024884
238,559.223248375
239,561.338097204
240,562.664848251
241,566.98206945
242,568.107026434
243,573.556795254
244,574.474019813
245,575.31826254
246,576.704623461
247,578.896085908
248,579.699882802
249,583.78552876
