# Domain: isosceles_triangle (FEM, paper eigenvalues-head run, dense eig full spectrum)
# Resolution Hmax = 0.2, dofs = 511
# Computation time: 0.0347 s
n,lambda_n
1,5.00016601099
2,10.0013398828
3,13.0028544762
4,17.0065560557
5,20.010367506
6,25.0195408202
7,26.0227666306
8,29.0307937389
9,34.0479201443
10,37.0638702885
11,40.0761404322
12,41.0847354341
13,45.1107304987
14,50.1546155322
15,52.1682396063
16,53.174403921
17,58.2246690697
18,61.2696024657
19,65.3281600436
20,65.3446389148
21,68.3727549107
22,73.4509896343
23,74.4708033001
24,80.5913762148
25,82.6515042849
26,85.6945363022
27,85.6976125883
28,89.8331171909
29,90.8023928326
30,98.0392883779
31,101.109239799
32,102.189139364
33,105.233243712
34,107.321285293
35,110.411388421
36,114.618222509
37,117.699526026
38,118.848030703
39,124.06970809
40,127.004874671
41,127.189392757
42,132.262660972
43,132.383634819
44,138.659417124
45,139.774676219
46,148.276647538
47,148.384194646
48,149.276823594
49,151.408325501
50,152.70707028
51,156.634205311
52,161.02667786
53,164.258945279
54,168.404887803
55,173.903783973
56,174.716873559
57,175.114775585
58,178.225670732
59,183.287021198
60,185.71715237
61,187.074739282
62,191.201527752
63,191.872679772
64,199.918793133
65,201.036823996
66,204.474470597
67,207.321430729
68,209.656639178
69,212.213045327
70,213.886176087
71,216.246329874
72,220.848285419
73,227.643726651
74,230.948947736
75,231.271488049
76,236.145431451
77,237.009922308
78,239.442207238
79,242.980604966
80,244.51523395
81,246.241165958
82,253.431818082
83,256.107817328
84,258.265548897
85,262.917456797
86,263.835739484
87,270.022020999
88,272.304102872
89,274.926961092
90,277.827427413
91,278.903871214
92,279.086657413
93,283.784553476
94,287.506530593
95,291.043904976
96,292.426048161
97,297.086260968
98,303.664702399
99,306.118692615
100,306.386150642
101,308.83256546
102,311.476027564
103,313.42371367
104,315.420548827
105,319.92284545
106,323.128278785
107,325.988581815
108,330.836224082
109,337.378878012
110,338.072520576
111,340.306956211
112,346.314460017
113,349.268005197
114,351.227153469
115,352.336379834
116,358.629294528
117,361.340144467
118,363.711133934
119,374.425725315
120,376.191157314
121,379.926270283
122,383.464713664
123,387.600863983
124,394.479149025
125,400.642474735
126,401.71278766
127,403.749867236
128,408.070222722
129,411.08825204
130,415.601955877
131,419.705893694
132,420.502227789
133,429.344942635
134,433.763525483
135,433.834308618
136,435.441650685
137,443.102761344
138,450.598784655
139,452.397688822
140,453.558338087
141,459.502255537
142,461.374530418
143,463.869074778
144,467.988582183
145,471.164795989
146,473.30822536
147,483.319266016
148,486.163991329
149,486.895469879
150,490.55139528
151,494.953149273
152,500.055616086
153,504.627128789
154,508.84140739
155,511.909857351
156,516.605443044
157,520.882029925
158,524.746083
159,529.031535714
160,531.00762773
161,534.833003777
162,542.07340395
163,543.390363091
164,544.237427544
165,548.314198554
166,555.584112162
167,559.323277004
168,568.831597299
169,571.939486624
170,575.4721171
171,582.198782313
172,584.044342768
173,585.514143905
174,591.398019934
175,592.540516529
176,597.395955788
177,601.273373085
178,605.093551662
179,610.665261943
180,612.508121191
181,617.210982801
182,620.464717542
183,624.984828186
184,632.556971466
185,637.558933938
186,638.882660671
187,648.403458232
188,651.823263501
189,656.002769195
190,659.6171229
191,663.098952014
192,665.674065502
193,668.997794433
194,673.695514084
195,680.139016034
196,683.004723171
197,686.866463666
198,692.462654965
199,701.097742353
200,705.153431958
201,705.378543204
202,708.27251498
203,716.762841478
204,720.329741719
205,723.898988591
206,727.251242562
207,740.687204707
208,745.532095404
209,746.125395359
210,749.171337913
211,750.19813202
212,758.019319308
213,758.789356593
214,769.303521779
215,769.828119025
216,773.240584252
217,779.653636085
218,780.631542405
219,792.659412964
220,793.154946962
221,799.704659876
222,803.78997993
223,809.388299334
224,814.75808978
225,815.882393036
226,824.947772213
227,827.169000548
228,829.018895219
229,833.651514855
230,844.055330358
231,850.888909648
232,852.492610359
233,858.848273114
234,859.502276199
235,865.263302742
236,878.742063025
237,881.003954913
238,882.667147993
239,884.863415806
240,886.257278161
241,899.660658829
242,904.926655828
243,910.059946953
244,913.25464185
245,918.803284153
246,922.737009327
247,936.38908069
248,938.650393397
249,944.924220258
250,946.902328052
251,951.887868229
252,957.056798856
253,964.575984652
254,967.724654574
255,968.722977061
256,972.340834651
257,977.855116051
258,980.29374564
259,990.655289449
260,996.387012469
261,1010.84999144
262,1017.35102204
263,1020.17848667
264,1023.21284927
265,1026.99044142
266,1028.21746229
267,1038.44417367
268,1040.64169495
269,1044.06482854
270,1046.95789484
271,1049.40320267
272,1055.23440262
273,1063.45493419
274,1068.83314799
275,1070.34955452
276,1073.02471086
277,1084.11901116
278,1091.94850849
279,1098.99863982
280,1102.22822774
281,1106.93622353
282,1112.91855849
283,1115.18601731
284,1118.00182711
285,1119.87723795
286,1126.37839077
287,1137.70800262
288,1141.44913468
289,1149.1886025
290,1150.52346397
291,1160.74038282
292,1167.29221525
293,1172.07239814
294,1176.43311119
295,1179.0821366
296,1182.28405864
297,1185.70098942
298,1189.33762222
299,1194.17039803
300,1199.71356023
301,1202.72346901
302,1204.03506032
303,1218.19790891
304,1222.67533432
305,1226.3221346
306,1242.48261403
307,1245.97425301
308,1254.06625282
309,1261.74427445
310,1265.8062418
311,1271.11757693
312,1272.99450333
313,1275.85500182
314,1281.74379328
315,1284.7142344
316,1287.03858347
317,1289.95408045
318,1296.22311081
319,1299.53656297
320,1302.77281695
321,1309.36509053
322,1311.7917952
323,1314.29673397
324,1325.72218701
325,1331.47370239
326,1342.08833501
327,1347.74075268
328,1352.27624381
329,1362.03052189
330,1363.10857265
331,1370.63932471
332,1381.20955657
333,1392.14730725
334,1395.07952323
335,1396.0912112
336,1403.93568435
337,1406.60478314
338,1409.71017431
339,1419.93867508
340,1429.15851976
341,1434.3632232
342,1454.06987911
343,1463.54349372
344,1470.07587146
345,1479.29740518
346,1489.57707159
347,1491.83294321
348,1501.81899973
349,1507.13859884
350,1512.93488632
351,1525.25243581
352,1527.89750121
353,1535.41358459
354,1543.65278539
355,1551.95221645
356,1554.49963222
357,1563.40574845
358,1574.78898312
359,1602.14399079
360,1608.73878821
361,1609.85504567
362,1626.00182063
363,1631.03929712
364,1644.46509965
365,1653.17763495
366,1661.67476267
367,1674.35520686
368,1682.7094382
369,1698.41001199
370,1703.99341686
371,1713.97045485
372,1722.93313188
373,1728.58055227
374,1744.54323104
375,1752.54331218
376,1769.63062491
377,1773.72902504
378,1794.46607034
379,1798.75405326
380,1800.07382763
381,1802.63943551
382,1818.47912775
383,1840.28949764
384,1856.46707185
385,1860.4227104
386,1866.95781832
387,1880.2713614
388,1887.57836262
389,1893.11019911
390,1897.0426263
391,1911.97367633
392,1913.71799903
393,1922.49356906
394,1926.08046846
395,1927.89059546
396,1930.29545867
397,1936.29076194
398,1944.05541574
399,1945.13082311
400,1949.55458919
401,1957.17776423
402,1964.34391815
403,1971.85309836
404,1979.29894436
405,1980.94347859
406,1990.43492626
407,2000.15531479
408,2001.14399999
409,2004.63646407
410,2008.41091709
411,2011.63509428
412,2014.9191739
413,2018.32001739
414,2024.37364159
415,2030.70402262
416,2032.05760983
417,2038.39924285
418,2047.43780234
419,2051.82659638
420,2058.64817341
421,2065.56700375
422,2067.64751223
423,2070.45011324
424,2075.93256934
425,2082.7695483
426,2083.85200171
427,2090.83036262
428,2092.05678315
429,2094.01093755
430,2100.50192683
431,2116.7814178
432,2119.54053987
433,2123.28182691
434,2130.02699334
435,2136.10352232
436,2142.29553556
437,2143.84852841
438,2153.63520344
439,2160.43608861
440,2167.17824747
441,2173.4524409
442,2178.25858282
443,2188.60176006
444,2190.76066372
445,2197.74780061
446,2209.55702324
447,2211.39403694
448,2213.50450345
449,2217.962908
450,2223.79305178
451,2234.75092563
452,2238.16795571
453,2247.16760108
454,2253.39158921
455,2259.90709555
456,2273.74132616
457,2278.10824156
458,2283.55348458
459,2294.68980213
460,2303.30266167
461,2315.24834495
462,2316.31626296
463,2334.5985945
464,2347.22257117
465,2355.52770736
466,2363.7479918
467,2370.00104899
468,2374.46032128
469,2384.38004183
470,2391.89727164
471,2394.93365235
472,2400.42928305
473,2417.66067107
474,2422.91769921
475,2437.2959695
476,2446.52921747
477,2456.3916179
478,2470.9275317
479,2472.95316598
480,2485.02392684
481,2499.17735861
482,2501.22465309
483,2509.96579566
484,2510.71869593
485,2527.15775785
486,2547.20461034
487,2555.3331695
488,2579.27060689
489,2591.70135304
490,2593.1460005
491,2601.15336593
492,2627.79766536
493,2638.30924566
494,2643.26819254
495,2665.57992716
496,2668.34350198
497,2670.16344991
498,2731.93276691
499,2739.84112279
500,2748.24176826
501,2759.27820021
502,2766.0797603
503,2786.06496237
504,2834.1020048
505,2854.94465961
506,2874.42717242
507,2875.76421704
508,2978.36177926
509,3089.11847548
510,3106.20269564
511,3119.99686928
