# Domain: rectangle (Cheb, paper eigenvalues-head run, dense eig full spectrum)
# Resolution N = 10, dofs = 64
# Computation time: 0.0076 s
n,lambda_n
1,1.249999982
2,1.99999741665
3,3.25059572879
4,4.24998972061
5,4.97982258979
6,4.99998715527
7,6.25058546741
8,7.61028459241
9,7.97981232841
10,9.04122931318
11,9.25238296918
12,10.0023804038
13,10.610274331
14,11.252978716
15,12.0412190518
16,12.982205577
17,15.6126675796
18,16.1692904132
19,16.9192878478
20,17.0436123004
21,18.16988616
22,19.899113021
23,22.5295750236
24,23.9605197444
25,26.6911384237
26,27.4411358583
27,28.6917341705
28,30.4209610315
29,32.4149173067
30,33.0514230341
31,33.1649147414
32,33.4983523883
33,34.4155130535
34,34.4823677548
35,34.9919798328
36,36.1447399145
37,36.4983421269
38,37.9919695714
39,38.7752019172
40,40.2061466379
41,41.5007353755
42,42.99436282
43,48.4176428195
44,49.911270264
45,58.93949083
46,60.4331182745
47,64.6632697131
48,66.1568971576
49,130.243409607
50,130.993407042
51,132.244005354
52,133.973232215
53,136.217919385
54,136.603694218
55,136.96791682
56,138.034638938
57,138.218515132
58,139.947741993
59,142.578203996
60,144.009148716
61,162.491762014
62,163.985389458
63,168.466271792
64,169.959899236
