# Domain: rectangle (FD, paper eigenvalues-head run, dense eig full spectrum)
# Resolution M = 49, dofs = 1176
# Computation time: 0.0786 s
n,lambda_n
1,1.24860250936
2,1.99736949048
3,3.2420306474
4,4.22890689005
5,4.97767387117
6,4.97767387117
7,6.2223350281
8,7.19744937093
9,7.95797825187
10,9.14382972578
11,9.8925967069
12,9.8925967069
13,10.1777537516
14,11.1372578638
15,12.8729010876
16,12.8729010876
17,13.0524793638
18,15.0926765874
19,15.9158597474
20,16.0327837445
21,16.6646267285
22,16.6646267285
23,17.7878239233
24,17.9092878854
25,19.6449311092
26,19.6449311092
27,20.7147833055
28,20.9477065802
29,21.864706609
30,23.6950876862
31,24.438197996
32,24.5598539449
33,24.5598539449
34,25.1869649771
35,25.1869649771
36,26.431626134
37,27.7197366018
38,28.1672693578
39,28.1672693578
40,28.6100105219
41,30.0635220855
42,30.3870448576
43,31.3318839665
44,33.0438264662
45,33.0821921935
46,33.0821921935
47,34.5764421065
48,35.3252090876
49,35.3252090876
50,35.3820405435
51,36.2420748505
52,36.5698702445
53,37.9587493019
54,38.3055134683
55,38.3055134683
56,39.8542222151
57,39.8542222151
58,40.525288968
59,40.9512605086
60,43.220436304
61,43.220436304
62,43.9043787921
63,43.9315648893
64,44.7307793235
65,46.1707059128
66,46.3803189609
67,46.919472894
68,46.919472894
69,48.1641340509
70,48.3765604638
71,48.846487725
72,49.8997772747
73,49.8997772747
74,49.9924663256
75,49.9924663256
76,52.1195527744
77,53.2062924359
78,53.2531175721
79,54.0426229026
80,54.8147001104
81,54.8147001104
82,55.6185177466
83,56.1865968166
84,57.9745827673
85,58.5148045742
86,58.5148045742
87,59.0381409489
88,59.78690793
89,59.78690793
90,61.0315690869
91,61.1015196524
92,61.586730132
93,61.586730132
94,62.7672123107
95,62.7672123107
96,63.3913616826
97,64.1408559953
98,64.9869878104
99,65.636886709
100,66.6353486931
101,67.6821351464
102,67.6821351464
103,67.873549674
104,68.6530486847
105,69.6156530738
106,70.1090683806
107,70.1090683806
108,70.8420178033
109,72.9758200773
110,73.7245870584
111,73.7245870584
112,74.2791001057
113,74.454165168
114,74.454165168
115,74.5305759095
116,74.9692482154
117,74.985625489
118,76.3958879226
119,76.7048914391
120,76.7048914391
121,78.504321745
122,78.9246669389
123,80.2473124911
124,80.2473124911
125,81.0266450409
126,81.3026059311
127,81.6198142749
128,81.6198142749
129,82.9765034166
130,82.9765034166
131,84.0069494216
132,84.7796969318
133,85.8733639121
134,86.534132033
135,87.7639377725
136,87.853060525
137,88.3918442965
138,88.3918442965
139,88.5127047536
140,88.5127047536
141,88.9218722573
142,89.7573659105
143,89.8249441798
144,91.4930091343
145,91.4930091343
146,91.8415762974
147,92.4420008735
148,93.1147475271
149,93.1147475271
150,93.712784634
151,95.6939022789
152,96.1532221389
153,96.40793197
154,96.40793197
155,96.9141825451
156,96.9141825451
157,98.1283958394
158,98.7407989481
159,99.1335265196
160,99.5678146269
161,99.9631882902
162,101.790739653
163,103.169276584
164,103.179961992
165,103.179961992
166,103.918043565
167,103.918043565
168,104.048449355
169,104.216240528
170,104.709011333
171,104.709011333
172,105.162704722
173,106.898347946
174,106.898347946
175,107.052426656
176,107.052426656
177,107.230118569
178,109.118123446
179,110.820479377
180,110.995830875
181,111.557452097
182,111.70230024
183,111.70230024
184,111.77652483
185,111.813270782
186,111.813270782
187,112.678478077
188,114.354484638
189,114.756829211
190,114.973153439
191,116.578857349
192,117.576446369
193,118.585300803
194,118.585300803
195,118.646690462
196,118.646690462
197,118.948885117
198,119.342817626
199,119.671752047
200,119.697652098
201,119.697652098
202,120.942313255
203,121.840544351
204,121.840544351
205,122.63545738
206,122.677956479
207,122.677956479
208,124.424887133
209,124.897731978
210,124.933510004
211,125.948748444
212,126.443782068
213,127.107639052
214,127.107639052
215,127.466595772
216,127.592879314
217,127.592879314
218,127.650164298
219,129.481061736
220,130.630468679
221,130.752761971
222,131.514125498
223,131.514125498
224,131.98419616
225,133.434808157
226,133.434808157
227,134.364909336
228,134.364909336
229,134.853909517
230,134.966120317
231,135.545391515
232,135.602676498
233,135.602676498
234,136.847337655
235,137.245883162
236,137.245883162
237,138.362566261
238,138.415065913
239,138.582980879
240,138.582980879
241,138.81618348
242,139.721627699
243,140.802756379
244,141.075325542
245,142.317421536
246,142.871934583
247,142.887247585
248,142.887247585
249,143.497903715
250,143.497903715
251,143.523803766
252,145.104364427
253,145.451804626
254,146.302243193
255,146.302243193
256,146.504108147
257,146.657786372
258,147.763804693
259,148.840146969
260,148.840146969
261,150.269933736
262,150.269933736
263,150.63351805
264,150.839759785
265,151.382285031
266,151.382285031
267,151.419030983
268,152.626946188
269,152.753862609
270,153.025491695
271,153.025491695
272,153.150683956
273,153.942760578
274,154.320090313
275,154.362589412
276,154.362589412
277,155.126966511
278,156.582364911
279,156.698628234
280,158.191061004
281,158.651543116
282,158.792271985
283,158.792271985
284,159.147106457
285,159.277512247
286,159.277512247
287,160.239922322
288,160.239922322
289,160.978003895
290,161.707582005
291,161.707582005
292,162.127410838
293,162.437394904
294,163.668829093
295,164.619755501
296,164.619755501
297,166.038856862
298,166.049542269
299,166.049542269
300,166.713399253
301,166.787623843
302,166.787623843
303,167.042333674
304,167.541980304
305,167.880439707
306,168.032285
307,168.556022768
308,168.930516096
309,168.930516096
310,169.56606327
311,169.767928223
312,169.767928223
313,170.099698846
314,170.906575043
315,171.987703723
316,172.572267702
317,173.814363695
318,174.273683555
319,174.556567517
320,174.571880518
321,174.571880518
322,174.682851059
323,174.682851059
324,175.028040017
325,175.645261133
326,175.645261133
327,176.851643363
328,177.253987936
329,177.487190537
330,177.487190537
331,177.842733716
332,179.448437626
333,180.524779902
334,180.524779902
335,180.826974557
336,181.454881081
337,181.454881081
338,181.575741538
339,181.575741538
340,182.168910772
341,182.336701944
342,182.668557402
343,182.820402695
344,182.947319116
345,183.503742398
346,184.335631301
347,184.556045919
348,184.556045919
349,184.710124628
350,184.710124628
351,185.439702738
352,185.505037658
353,186.775821418
354,186.811599444
355,188.44590717
356,188.664979903
357,188.940940793
358,189.470968754
359,189.470968754
360,189.977219329
361,189.977219329
362,190.336176049
363,190.433378828
364,190.433378828
365,191.424869666
366,191.424869666
367,191.645284284
368,192.474946055
369,192.630851411
370,193.392214938
371,193.392214938
372,194.764653685
373,194.853776438
374,195.513420666
375,195.513420666
376,196.242998776
377,196.242998776
378,196.304388434
379,196.304388434
380,196.56020712
381,196.758081823
382,197.463279042
383,198.073896214
384,198.291860093
385,198.493725047
386,198.493725047
387,198.726927648
388,199.377381866
389,200.11546344
390,200.11546344
391,200.240655701
392,200.293155353
393,200.713500547
394,201.313342206
395,202.09403616
396,202.591207976
397,203.332237141
398,203.408647883
399,203.408647883
400,204.069209861
401,204.765337025
402,204.765337025
403,205.074340541
404,205.741514861
405,205.83871764
406,206.212987361
407,206.212987361
408,206.56853054
409,207.329894066
410,207.329894066
411,207.601523153
412,207.632088721
413,208.380855702
414,208.380855702
415,209.171823471
416,209.171823471
417,209.625516859
418,209.641894133
419,209.989263377
420,210.180677904
421,210.180677904
422,211.361160083
423,211.361160083
424,211.709727246
425,211.709727246
426,211.85457539
427,213.580935583
428,213.697198905
429,213.853504746
430,214.165499561
431,214.230834481
432,214.349068088
433,214.631952049
434,214.903581135
435,214.903581135
436,215.251021334
437,216.020264234
438,216.276082919
439,216.276082919
440,216.761293398
441,216.936644897
442,217.329372468
443,217.996546788
444,218.703016153
445,218.703016153
446,219.195786959
447,219.226352528
448,219.435965576
449,219.975119509
450,219.975119509
451,220.529632556
452,221.219780666
453,221.618326173
454,221.618326173
455,221.9928195
456,222.118011762
457,222.118011762
458,222.244295304
459,222.955423889
460,222.955423889
461,223.04811294
462,223.04811294
463,223.109502599
464,223.109502599
465,223.579573261
466,224.577162282
467,224.577162282
468,225.175199389
469,225.236806511
470,225.283631647
471,226.497844941
472,226.497844941
473,227.098269517
474,227.870346725
475,227.870346725
476,228.217110892
477,228.841260263
478,228.841260263
479,229.016325326
480,229.364596638
481,229.476807437
482,229.570838373
483,229.758529147
484,230.039139029
485,230.113363619
486,230.113363619
487,230.411560581
488,230.874324025
489,231.030229382
490,231.358024776
491,231.425603045
492,231.570451189
493,231.570451189
494,232.063221995
495,232.784664483
496,233.093668
497,233.093668
498,233.132033727
499,233.587083307
500,234.467311684
501,234.585545291
502,234.642376747
503,234.642376747
504,235.3134435
505,235.421875757
506,236.447008297
507,237.397934705
508,237.523350573
509,237.523350573
510,237.538663574
511,237.565849672
512,237.886934887
513,237.897620294
514,237.897620294
515,238.008590836
516,238.008590836
517,238.514841411
518,238.514841411
519,238.635701868
520,238.635701868
521,238.692533324
522,239.365279977
523,239.365279977
524,239.880363025
525,239.904063749
526,240.43552407
527,240.43552407
528,241.168473493
529,241.616006249
530,241.616006249
531,241.708695299
532,241.708695299
533,242.247849232
534,242.480772507
535,243.164714995
536,243.164714995
537,243.835781748
538,244.658964908
539,244.780620857
540,244.780620857
541,245.228153613
542,245.350446906
543,245.381831838
544,245.407731889
545,245.407731889
546,245.444477841
547,245.538137679
548,245.662441721
549,245.816899393
550,246.000901123
551,246.213720741
552,246.454518343
553,246.530929084
554,246.530929084
555,246.652393046
556,246.722343612
557,247.016139564
558,247.334746721
559,247.676907685
560,248.041272104
561,248.102879225
562,248.38803627
563,248.38803627
564,248.426401997
565,248.830777434
566,249.252802529
567,249.573887744
568,249.690811741
569,250.143076449
570,250.322654725
571,250.322654725
572,250.60781177
573,251.083183606
574,251.567315882
575,252.058297949
576,252.554192125
577,253.302959106
578,253.302959106
579,253.302959106
580,253.302959106
581,253.302959106
582,253.302959106
583,253.302959106
584,253.302959106
585,253.302959106
586,253.302959106
587,253.302959106
588,253.302959106
589,253.302959106
590,253.302959106
591,253.302959106
592,253.302959106
593,253.302959106
594,253.302959106
595,253.302959106
596,253.302959106
597,253.302959106
598,253.302959106
599,253.302959106
600,253.302959106
601,254.051726087
602,254.547620263
603,255.03860233
604,255.522734606
605,255.998106442
606,256.283263487
607,256.283263487
608,256.462841763
609,256.915106471
610,257.032030468
611,257.353115683
612,257.775140777
613,258.179516214
614,258.217881942
615,258.217881942
616,258.503038986
617,258.564646108
618,258.929010527
619,259.271171491
620,259.589778648
621,259.8835746
622,259.953525165
623,260.074989127
624,260.074989127
625,260.151399869
626,260.392197471
627,260.605017088
628,260.789018819
629,260.943476491
630,261.067780532
631,261.161440371
632,261.198186322
633,261.198186322
634,261.224086374
635,261.255471306
636,261.377764599
637,261.825297354
638,261.825297354
639,261.946953303
640,262.770136463
641,263.441203216
642,263.441203216
643,264.125145704
644,264.358068979
645,264.897222912
646,264.897222912
647,264.989911963
648,264.989911963
649,265.437444719
650,266.170394142
651,266.170394142
652,266.701854463
653,266.725555187
654,267.240638234
655,267.240638234
656,267.913384888
657,267.970216344
658,267.970216344
659,268.091076801
660,268.091076801
661,268.597327376
662,268.597327376
663,268.708297918
664,268.708297918
665,268.718983325
666,269.04006854
667,269.067254637
668,269.082567638
669,269.082567638
670,269.207983506
671,270.158909914
672,271.184042454
673,271.292474712
674,271.963541465
675,271.963541465
676,272.020372921
677,272.138606527
678,273.018834905
679,273.473884484
680,273.512250212
681,273.512250212
682,273.821253728
683,274.542696217
684,275.035467023
685,275.035467023
686,275.180315166
687,275.247893436
688,275.57568883
689,275.731594186
690,276.19435763
691,276.492554592
692,276.492554592
693,276.566779182
694,276.847389065
695,277.035079839
696,277.129110774
697,277.241321574
698,277.589592886
699,277.764657948
700,277.764657948
701,278.38880732
702,278.735571487
703,278.735571487
704,279.507648694
705,280.10807327
706,280.10807327
707,281.322286565
708,281.369111701
709,281.430718822
710,282.028755929
711,282.028755929
712,283.02634495
713,283.496415613
714,283.496415613
715,283.557805271
716,283.557805271
717,283.650494322
718,283.650494322
719,284.361622908
720,284.48790645
721,284.48790645
722,284.613098711
723,284.987592039
724,284.987592039
725,285.386137546
726,286.076285656
727,286.630798703
728,286.630798703
729,287.169952636
730,287.379565684
731,287.410131253
732,287.902902059
733,287.902902059
734,288.609371423
735,289.276545743
736,289.669273315
737,289.844624813
738,290.329835293
739,290.329835293
740,290.585653978
741,291.354896877
742,291.702337077
743,291.702337077
744,291.973966163
745,292.256850124
746,292.37508373
747,292.44041865
748,292.752413465
749,292.908719307
750,293.024982629
751,294.751342822
752,294.896190965
753,294.896190965
754,295.244758129
755,295.244758129
756,296.425240307
757,296.425240307
758,296.616654835
759,296.964024079
760,296.980401352
761,297.434094741
762,297.434094741
763,298.225062509
764,298.225062509
765,298.97382949
766,299.004395059
767,299.276024145
768,299.276024145
769,300.037387672
770,300.392930851
771,300.392930851
772,300.767200572
773,300.864403351
774,301.531577671
775,301.840581187
776,301.840581187
777,302.536708351
778,303.197270329
779,303.197270329
780,303.27368107
781,304.014710235
782,304.511882051
783,305.292576006
784,305.892417665
785,306.312762859
786,306.365262511
787,306.490454772
788,306.490454772
789,307.228536346
790,307.878990563
791,308.112193165
792,308.112193165
793,308.314058118
794,308.532021998
795,309.14263917
796,309.847836388
797,310.045711092
798,310.301529777
799,310.301529777
800,310.362919436
801,310.362919436
802,311.092497545
803,311.092497545
804,311.752141774
805,311.841264526
806,313.213703274
807,313.213703274
808,313.9750668
809,314.130972157
810,314.960633928
811,315.181048546
812,315.181048546
813,316.172539383
814,316.172539383
815,316.269742163
816,316.628698882
817,316.628698882
818,317.134949457
819,317.134949457
820,317.664977418
821,317.940938308
822,318.160011042
823,319.794318768
824,319.830096793
825,321.100880554
826,321.166215474
827,321.895793584
828,321.895793584
829,322.049872293
830,322.049872293
831,322.270286911
832,323.102175814
833,323.658599096
834,323.785515517
835,323.93736081
836,324.269216268
837,324.43700744
838,325.030176674
839,325.030176674
840,325.151037131
841,325.151037131
842,325.778943655
843,326.08113831
844,326.08113831
845,327.157480586
846,328.763184496
847,329.118727674
848,329.118727674
849,329.351930276
850,329.754274848
851,330.960657078
852,330.960657078
853,331.577878195
854,331.923067153
855,331.923067153
856,332.034037694
857,332.034037694
858,332.049350695
859,332.332234656
860,332.791554516
861,334.03365051
862,334.618214488
863,335.699343168
864,336.506219366
865,336.837989988
866,336.837989988
867,337.039854942
868,337.675402116
869,337.675402116
870,338.049895444
871,338.573633212
872,338.725478505
873,339.063937908
874,339.563584538
875,339.818294369
876,339.818294369
877,339.892518959
878,340.556375943
879,340.556375943
880,340.56706135
881,341.98616271
882,341.98616271
883,342.937089118
884,344.168523307
885,344.478507374
886,344.898336207
887,344.898336207
888,345.627914316
889,346.36599589
890,346.36599589
891,347.328405964
892,347.328405964
893,347.458811754
894,347.813646227
895,347.813646227
896,347.954375096
897,348.414857207
898,349.907289978
899,350.0235533
900,351.478951701
901,352.2433288
902,352.2433288
903,352.285827898
904,352.663157633
905,353.455234255
906,353.580426517
907,353.580426517
908,353.852055603
909,353.978972024
910,355.186887229
911,355.223633181
912,355.223633181
913,355.766158427
914,355.972400162
915,356.335984475
916,356.335984475
917,357.765771243
918,357.765771243
919,358.842113519
920,359.94813184
921,360.101810065
922,360.303675019
923,360.303675019
924,361.154113585
925,361.501553785
926,363.082114445
927,363.108014497
928,363.108014497
929,363.718670627
930,363.718670627
931,363.733983628
932,364.288496676
933,365.530592669
934,365.803161833
935,366.884290513
936,367.789734731
937,368.022937333
938,368.022937333
939,368.190852299
940,368.243351951
941,369.360035049
942,369.360035049
943,369.758580556
944,371.003241713
945,371.003241713
946,371.060526697
947,371.639797895
948,371.752008694
949,372.241008876
950,372.241008876
951,373.171110055
952,373.171110055
953,374.621722051
954,375.091792714
955,375.091792714
956,375.85315624
957,375.975449533
958,377.124856476
959,378.955753914
960,379.013038897
961,379.013038897
962,379.13932244
963,379.49827916
964,379.49827916
965,380.162136144
966,380.657169767
967,381.672408208
968,381.708186233
969,382.181031079
970,383.927961733
971,383.927961733
972,383.970460831
973,384.765373861
974,384.765373861
975,385.663604957
976,386.908266114
977,386.908266114
978,386.934166165
979,387.263100586
980,387.657033095
981,387.95922775
982,387.95922775
983,388.020617408
984,388.020617408
985,389.029471842
986,390.027060863
987,391.632764773
988,391.849089001
989,392.251433574
990,393.927440135
991,394.79264743
992,394.79264743
993,394.829393382
994,394.903617971
995,394.903617971
996,395.048466115
997,395.610087336
998,395.785438835
999,397.487794766
1000,399.375799643
1001,399.553491556
1002,399.553491556
1003,399.707570266
1004,399.707570266
1005,401.443213489
1006,401.896906878
1007,401.896906878
1008,402.389677684
1009,402.557468856
1010,402.687874646
1011,402.687874646
1012,403.42595622
1013,403.42595622
1014,403.436641628
1015,404.815178558
