# Domain: rectangle (FEM, paper eigenvalues-head run, dense eig full spectrum)
# Resolution Hmax = 0.35, dofs = 663
# Computation time: 0.1010 s
n,lambda_n
1,1.25002477081
2,2.00010422528
3,3.25044348093
4,4.25102774748
5,5.00155857332
6,5.00161679392
7,6.2530980191
8,7.25456808724
9,8.0064162105
10,9.26003449788
11,10.0114226403
12,10.0123931312
13,10.2633498433
14,11.2674035808
15,13.0267309467
16,13.026841536
17,13.2757360843
18,15.2927715876
19,16.3012217891
20,16.3045242625
21,17.0532214105
22,17.0608193532
23,18.0691775345
24,18.3235876291
25,20.0913704421
26,20.0973629848
27,21.3495978784
28,21.3635620695
29,22.3771021477
30,24.4105923286
31,25.1755271485
32,25.1780802074
33,25.4424991137
34,26.1793630305
35,26.2060961516
36,27.4803740036
37,28.5020903863
38,29.2593983885
39,29.2702807483
40,29.5301843433
41,31.5483299782
42,31.5870718866
43,32.3675062998
44,34.4130720308
45,34.455793519
46,34.659565538
47,36.7723086569
48,36.7832251548
49,37.476004282
50,37.5533067085
51,37.8208008442
52,38.8541177247
53,39.893933611
54,40.6402247541
55,40.6905427877
56,41.748162021
57,41.7592722593
58,43.0503812875
59,43.9896504472
60,45.9353883671
61,45.9494133994
62,46.2514047151
63,47.2148357865
64,47.3386616536
65,49.4222810555
66,50.5398019987
67,51.1408051499
68,51.3338593575
69,51.3517826979
70,52.5949141742
71,52.6817924517
72,53.3795325825
73,53.5711431899
74,54.4671088061
75,54.5785589002
76,56.943263401
77,57.1375285609
78,58.1256045181
79,58.9523247707
80,59.922633068
81,60.0625527242
82,60.2439483333
83,62.3533298647
84,63.3268890869
85,63.3610494636
86,63.5643590969
87,66.733990079
88,67.3958278177
89,67.5319310572
90,67.6435353287
91,67.6943825574
92,67.9827767483
93,69.1484331957
94,69.2466631817
95,70.3079946067
96,70.9592641372
97,71.1748841389
98,72.4469601231
99,73.6481520427
100,75.5330356648
101,75.7044507255
102,76.4425291956
103,76.6829255063
104,76.8178815579
105,77.6372927295
106,78.2267630802
107,80.1442620289
108,80.5442332337
109,82.7310372699
110,83.8475879071
111,84.2683665709
112,84.8124611899
113,85.5814087755
114,85.9767452903
115,86.2565191679
116,86.5529516611
117,87.4236840379
118,88.7529689386
119,89.0350433807
120,89.7120758918
121,90.139881217
122,90.3543424171
123,90.8064800795
124,93.2913791182
125,93.4538451199
126,94.0091087288
127,94.1160663955
