# Domain: ellipse_minus_quadrant (DST, paper eigenvalues-head run, dense eig full spectrum)
# Resolution M = 23, dofs = 154
# Computation time: 0.0026 s
n,lambda_n
1,5.51567447195
2,11.0362305619
3,14.1326159775
4,14.5526232883
5,19.8867420125
6,25.5538600888
7,25.9781461606
8,27.4896658715
9,32.2737692497
10,38.7370118479
11,39.8469644542
12,41.8629083549
13,43.9858579592
14,45.7696381348
15,48.5149890938
16,53.3750865879
17,56.0940440559
18,58.5922008724
19,62.6880298709
20,63.0973838171
21,67.8216947965
22,69.1852963781
23,72.990253942
24,78.3854141845
25,78.9340845272
26,82.3690074652
27,84.7482763656
28,86.7113756929
29,91.5226754734
30,93.1787312494
31,95.3034908747
32,96.0758466047
33,102.058588338
34,102.575443757
35,105.172170224
36,106.082643761
37,110.976643097
38,113.417727005
39,116.14831391
40,117.801960357
41,123.107787158
42,126.152977841
43,126.35828687
44,129.781486929
45,131.616530762
46,133.705889804
47,136.46908017
48,142.840176053
49,145.315206828
50,146.011906506
51,148.426867333
52,153.553444847
53,155.703708
54,159.336223826
55,161.01074667
56,161.159532191
57,163.420849054
58,165.920084843
59,166.561368833
60,172.140012727
61,172.401584702
62,176.860309725
63,178.774477805
64,183.941989906
65,187.61131671
66,188.83867119
67,190.826568539
68,191.786519968
69,194.89400217
70,199.721662242
71,203.538660205
72,204.28101507
73,206.257447674
74,208.33358931
75,209.140540105
76,211.127175132
77,217.711906954
78,218.888709787
79,219.834910821
80,220.734034622
81,225.307240323
82,231.42055801
83,234.192158536
84,236.805083013
85,236.972325549
86,241.227080371
87,244.241674053
88,246.356608936
89,247.562360624
90,248.45266084
91,251.177376355
92,253.215192538
93,255.402295694
94,256.015945692
95,262.392634314
96,264.595358622
97,265.586544719
98,268.651546464
99,271.303768238
100,274.001789829
101,276.773374989
102,277.224635023
103,281.65799895
104,283.902558187
105,288.064398587
106,288.160001514
107,292.09282205
108,295.885602948
109,299.195224412
110,299.694696559
111,300.566716097
112,302.555233452
113,306.258105122
114,310.148788646
115,313.004047188
116,317.176905962
117,317.969495716
118,319.249609328
119,320.343994708
120,326.02723529
121,329.633982835
122,332.842320948
123,333.877800023
124,335.027150646
125,346.566747752
126,348.463640362
127,349.311263025
128,351.273440483
129,356.334314129
130,360.464093826
131,367.580161137
132,372.836513429
133,375.841604453
134,376.675374976
135,386.606853275
136,390.796863061
137,396.336080918
138,399.673227158
139,411.976956342
140,416.681774838
141,422.791065956
142,423.439596743
143,437.562194907
144,443.37782955
145,450.366761217
146,466.541676808
147,474.729072579
148,478.397370374
149,494.591472755
150,502.902631629
151,531.550361659
152,534.195078616
153,561.615304134
154,597.048088309
