# Domain: ellipse_minus_quadrant (FD, paper eigenvalues-head run, dense eig full spectrum)
# Resolution M = 103, dofs = 3136
# Computation time: 0.7350 s
n,lambda_n
1,5.74893085632
2,11.3066481802
3,14.8242294377
4,15.5092454127
5,20.6955274069
6,26.4533702618
7,26.9743154527
8,29.0974168649
9,34.0039263075
10,40.3976322707
11,41.2702796193
12,43.5809858355
13,45.7186946312
14,48.7942638912
15,51.1938668721
16,56.3444786286
17,59.971707024
18,62.2569720062
19,64.5582230138
20,65.8902638532
21,71.2327674434
22,72.4300493819
23,75.7111169961
24,82.5880804763
25,83.2940747973
26,86.6404939918
27,88.7085402488
28,89.5602206174
29,95.081592293
30,97.7767383128
31,98.9761295584
32,100.59811901
33,107.94930662
34,109.14119796
35,111.082707143
36,111.804689426
37,117.101084806
38,118.216463564
39,124.146649941
40,124.729628837
41,127.594237218
42,131.797094009
43,135.031390577
44,138.866783136
45,139.232881675
46,139.349503522
47,144.396632975
48,149.316490718
49,150.885681443
50,154.614021486
51,156.199932592
52,160.450395288
53,162.236346101
54,165.879421022
55,169.80898937
56,170.853111863
57,172.392922759
58,172.749058661
59,174.849137494
60,180.597184572
61,183.450927479
62,184.700728934
63,189.246353029
64,191.340694907
65,196.409252699
66,197.841545233
67,200.425108794
68,206.250852643
69,208.225226813
70,209.379221565
71,209.660087809
72,210.221275412
73,214.577066672
74,215.216091079
75,223.170533013
76,223.352323889
77,227.295838374
78,232.605794615
79,232.72257031
80,236.923916728
81,239.742803787
82,244.465484107
83,246.412830791
84,249.325436303
85,249.900467761
86,251.347735182
87,251.575108036
88,251.967081525
89,256.815549269
90,259.475103488
91,265.04540625
92,268.17045239
93,269.123529604
94,270.904934968
95,273.240609867
96,279.658844878
97,281.094531888
98,286.75757379
99,289.622667993
100,289.973674645
101,291.938604527
102,293.510933311
103,294.340607631
104,296.475573392
105,299.318373333
106,304.17267495
107,307.022801268
108,309.210770946
109,310.234280868
110,313.37794714
111,315.005285847
112,319.215589313
113,325.512374519
114,328.191289396
115,330.681204661
116,333.91401418
117,334.173795419
118,336.890216905
119,340.055385
120,341.401467435
121,341.483838036
122,345.199736385
123,350.130295149
124,350.189755739
125,353.049527116
126,357.606522668
127,359.015552958
128,359.496087912
129,360.423133683
130,363.554896665
131,371.706181637
132,372.592166713
133,374.350479515
134,377.101369289
135,380.85791447
136,383.836864764
137,385.410676913
138,386.274481772
139,389.565070855
140,390.793396199
141,394.591327872
142,395.818970184
143,397.868477441
144,402.485963077
145,406.266907239
146,408.441232645
147,409.688039731
148,413.604134096
149,414.571696753
150,415.983887568
151,419.090211823
152,421.436473128
153,426.108067416
154,430.248747613
155,432.374264421
156,434.554687604
157,437.812584736
158,437.922374516
159,440.368254842
160,442.638343101
161,443.459212741
162,444.942144972
163,452.078778471
164,453.220739414
165,455.287035174
166,462.128698374
167,462.892729872
168,465.03095541
169,465.128330205
170,468.272463443
171,469.677906092
172,471.899210822
173,475.705621861
174,477.352190346
175,480.885565294
176,486.494639344
177,487.715650269
178,489.717655329
179,491.469153316
180,492.207043642
181,492.510329123
182,496.654014109
183,497.658002682
184,498.985411397
185,502.823754465
186,508.83759594
187,510.432009708
188,514.480382781
189,515.538801082
190,516.943198029
191,520.049222931
192,521.585430254
193,525.074140873
194,528.444610736
195,529.574383641
196,537.131414008
197,538.551108914
198,540.274689347
199,540.747427918
200,543.742286639
201,543.99835519
202,547.043793046
203,549.558480973
204,550.068348419
205,551.327296666
206,556.024521143
207,558.061540471
208,560.831274638
209,565.664755276
210,567.594716786
211,569.597092265
212,571.789250341
213,573.849388427
214,578.41286434
215,579.736919988
216,580.586598419
217,582.976177843
218,589.39033896
219,593.125564436
220,593.486570694
221,595.831844321
222,598.99857452
223,599.912078172
224,601.41151827
225,604.657669049
226,605.443701299
227,608.507711039
228,609.18397674
229,609.809320845
230,611.857032439
231,614.453959262
232,619.979934045
233,622.134393156
234,624.660839844
235,626.163106294
236,628.876146718
237,630.707377885
238,633.183044348
239,634.780336738
240,639.625643715
241,642.716702721
242,643.287845722
243,647.713711185
244,649.471850237
245,651.027142264
246,654.667129156
247,658.891815922
248,660.124142018
249,662.367733181
250,663.908736921
251,667.292645507
252,669.528815633
253,670.758793366
254,673.021612785
255,673.892358297
256,676.104042299
257,678.319398841
258,680.111752465
259,682.725510817
260,683.638173154
261,685.732587468
262,691.141873841
263,694.925958808
264,696.059722592
265,698.004099607
266,703.61031552
267,705.57705022
268,705.792078169
269,708.343884363
270,710.934939282
271,712.290696584
272,715.196942814
273,720.055494285
274,722.079716078
275,723.10745088
276,728.184806718
277,730.587290755
278,732.758591205
279,735.077962392
280,735.127245091
281,736.450327181
282,737.299526877
283,737.357819384
284,740.178244492
285,742.177350938
286,746.385405564
287,746.633467179
288,751.971855566
289,752.368116386
290,756.253307169
291,756.586234522
292,762.752388107
293,765.935000873
294,766.914208319
295,767.058415464
296,769.603738757
297,771.597118693
298,775.860565657
299,777.066986921
300,778.628595685
301,780.370061918
302,786.933632011
303,791.28463899
304,791.647326823
305,794.887864797
306,796.223074508
307,798.404952837
308,798.562301124
309,801.601611265
310,802.948744655
311,804.642046707
312,805.39232785
313,808.598995095
314,809.914191833
315,810.750308623
316,817.743905173
317,818.616762169
318,821.497291429
319,822.347395621
320,825.581520591
321,828.468705865
322,830.251000191
323,832.782700059
324,832.910683216
325,834.906916531
326,841.633271838
327,843.006396685
328,845.018122804
329,846.049737186
330,847.135427844
331,855.094099915
332,855.148233795
333,859.104553731
334,859.338759664
335,862.130178713
336,863.082336581
337,864.912011185
338,868.917150185
339,869.118126922
340,870.967794818
341,872.613546001
342,874.583851915
343,878.807555842
344,879.885141966
345,884.10134805
346,885.537014975
347,886.046420512
348,887.964667538
349,891.275108952
350,891.899154199
351,893.902618692
352,896.820804349
353,896.821431089
354,897.450266337
355,903.672015655
356,905.596505747
357,910.532994692
358,912.31163749
359,915.868141125
360,918.42097861
361,919.907122913
362,920.269198142
363,923.063108318
364,923.247436588
365,924.860452716
366,926.105329964
367,932.106690382
368,935.06872221
369,935.641216016
370,939.331924256
371,940.181566862
372,941.43621568
373,943.032045501
374,947.789198066
375,951.150111883
376,951.956742779
377,952.257768531
378,955.521566325
379,958.016308492
380,958.129254264
381,959.630777694
382,962.151673627
383,963.823709383
384,967.160255261
385,968.077059175
386,972.266787861
387,975.221595866
388,979.059034315
389,981.531739656
390,983.155854815
391,984.980509
392,986.923700319
393,988.06616357
394,992.627740857
395,992.824819812
396,993.895860599
397,995.221611265
398,1001.06522673
399,1002.08004521
400,1004.50625875
401,1005.75376794
402,1010.49250144
403,1010.91602134
404,1015.87772104
405,1016.99972944
406,1019.85452095
407,1020.33013139
408,1021.4834262
409,1023.12455014
410,1024.91360791
411,1025.5638218
412,1027.94894966
413,1030.33955051
414,1032.81495309
415,1035.87893837
416,1038.66452761
417,1042.34187903
418,1042.54767807
419,1044.36292732
420,1045.87204596
421,1048.05669275
422,1049.93769843
423,1052.41438894
424,1054.53908981
425,1057.87073991
426,1059.4844436
427,1059.95341899
428,1061.92009833
429,1066.81552478
430,1067.02947598
431,1069.37644497
432,1073.32612863
433,1075.08709324
434,1075.64765513
435,1081.20697003
436,1082.94416546
437,1083.32062603
438,1084.01265791
439,1084.66132262
440,1089.53260836
441,1089.92426337
442,1092.75889006
443,1093.91118297
444,1098.71155043
445,1100.34856912
446,1101.83623422
447,1104.46513576
448,1104.58517677
449,1105.64149357
450,1111.32797853
451,1112.51119433
452,1116.40626187
453,1117.28849446
454,1119.37169659
455,1121.54144881
456,1122.04259505
457,1123.19451505
458,1125.6557337
459,1130.26664825
460,1130.76294715
461,1133.61998953
462,1133.658272
463,1134.89071122
464,1137.49333814
465,1143.97588887
466,1145.40406291
467,1147.50293507
468,1149.04216644
469,1150.56770028
470,1151.81234061
471,1153.50206763
472,1156.31644153
473,1157.33998429
474,1160.82293711
475,1162.97923285
476,1165.38231709
477,1166.33020712
478,1167.41090504
479,1171.42500161
480,1174.16637221
481,1175.35206979
482,1178.01967426
483,1178.78491024
484,1184.60222886
485,1184.98428896
486,1185.65194791
487,1187.18370644
488,1188.16149727
489,1190.63329156
490,1194.93618871
491,1195.04438061
492,1197.37066231
493,1197.87600302
494,1199.70828558
495,1205.42747656
496,1206.6364978
497,1207.44142288
498,1209.40431654
499,1211.12070798
500,1213.80272326
501,1214.03321777
502,1218.68804203
503,1219.53308656
504,1220.66244074
505,1222.65162625
506,1223.72375373
507,1227.39816593
508,1229.83545357
509,1232.821455
510,1233.37146708
511,1234.70274391
512,1238.98712311
513,1241.69007116
514,1242.49110689
515,1243.35551986
516,1243.65383287
517,1249.89655628
518,1249.97655582
519,1250.620408
520,1252.89593296
521,1254.52820713
522,1259.88201287
523,1261.49645301
524,1264.0363162
525,1264.74382623
526,1264.94103153
527,1269.3987841
528,1270.90844322
529,1271.75623829
530,1274.37403681
531,1274.76494235
532,1275.87762172
533,1281.9945016
534,1283.15676303
535,1286.05852991
536,1287.026671
537,1288.26860689
538,1291.11124587
539,1291.36908447
540,1293.27598935
541,1293.67482507
542,1296.17875549
543,1299.31185313
544,1300.34685814
545,1304.3943604
546,1307.32508946
547,1307.86362131
548,1310.55708661
549,1310.74343337
550,1314.64481491
551,1317.34515951
552,1321.1760065
553,1321.52468519
554,1322.79717294
555,1324.40225004
556,1327.88723235
557,1329.22799099
558,1332.05872203
559,1333.72600943
560,1334.68549807
561,1335.00096955
562,1337.59021363
563,1339.60386142
564,1341.49645158
565,1346.71166949
566,1348.31369408
567,1349.96990334
568,1350.17016336
569,1352.24362504
570,1353.54835705
571,1354.68276317
572,1355.97420991
573,1360.9766897
574,1362.23612093
575,1364.55362722
576,1365.64057574
577,1367.13683213
578,1369.15794242
579,1371.77775995
580,1374.56693481
581,1374.93361542
582,1375.97380399
583,1377.95780126
584,1378.42877933
585,1380.63055415
586,1381.18832106
587,1383.08992667
588,1387.70180835
589,1389.5046684
590,1392.19855278
591,1395.46565923
592,1396.40604378
593,1399.4836147
594,1400.13554265
