# Domain: ellipse_minus_quadrant (FEM, paper eigenvalues-head run, dense eig full spectrum)
# Resolution Hmax = 0.13, dofs = 1245
# Computation time: 0.1360 s
n,lambda_n
1,5.87408416287
2,11.5379335236
3,15.1435928253
4,15.9248675298
5,21.1244021553
6,27.0848544503
7,27.5147138931
8,29.9334728162
9,34.7214122776
10,41.3588971696
11,42.206012949
12,44.5318352325
13,47.0060234805
14,50.4312727865
15,52.3757149496
16,57.8335851589
17,61.4431788091
18,63.8631894647
19,66.0660406339
20,67.9409700465
21,73.7502113332
22,74.3305349689
23,78.0048250113
24,84.8563150031
25,85.4964239588
26,89.1967183029
27,90.9986516686
28,92.3376135501
29,98.6179275768
30,100.499031956
31,102.017606551
32,104.914265212
33,111.611149666
34,112.453201612
35,114.437594007
36,115.504036178
37,120.784386524
38,122.294219209
39,128.72978272
40,129.070313275
41,131.842672293
42,137.723326121
43,140.589183136
44,143.890158802
45,144.227864894
46,144.374895992
47,149.797202145
48,154.718116046
49,156.915940824
50,160.685872331
51,162.3519529
52,166.681555279
53,169.697520221
54,173.061398285
55,177.725388403
56,179.41630368
57,179.889598389
58,180.188976182
59,182.357952396
60,188.65798925
61,192.308711594
62,192.736448778
63,197.378685621
64,200.640155385
65,205.526110551
66,206.423481883
67,211.035429416
68,216.209807644
69,218.493324228
70,219.848434497
71,220.307223956
72,222.571325591
73,224.56360906
74,227.425709042
75,234.150749533
76,235.615474412
77,238.708776275
78,244.343456646
79,245.999117329
80,249.017081406
81,253.702620525
82,258.619636472
83,259.509941452
84,263.124920734
85,264.64737052
86,264.790573564
87,267.000266468
88,267.278536621
89,275.055641585
90,276.535631276
91,280.112122988
92,284.619980833
93,284.900062114
94,287.712068771
95,292.034599871
96,296.327992494
97,300.250537435
98,305.41918456
99,307.81334514
100,308.38692952
101,309.783560509
102,313.212306506
103,315.171104021
104,317.044047824
105,318.713434379
106,328.068741229
107,329.814116385
108,330.201342925
109,333.903858026
110,334.470070805
111,338.300620013
112,343.876089082
113,347.718471564
114,350.796870149
115,358.18645157
116,358.588454481
117,359.824893698
118,361.561039514
119,365.65893188
120,366.081767622
121,369.775542996
122,373.943659269
123,376.060969539
124,378.947151768
125,384.416478582
126,384.765948249
127,387.322079968
128,391.155343745
129,394.844568583
130,396.222755297
131,401.298514579
132,403.583563468
133,405.51008421
134,413.994235997
135,414.798614803
136,416.197253682
137,418.888314974
138,420.169263271
139,423.380845049
140,426.610986203
141,428.277640414
142,431.880180149
143,436.774812318
144,442.345827291
145,443.137224896
146,443.896350912
147,445.768748367
148,455.491489878
149,457.582572494
150,458.69657484
151,462.161245717
152,464.061321601
153,467.200223094
154,474.749841719
155,475.680852591
156,477.877327695
157,480.469161112
158,484.337119179
159,485.17613881
160,485.716400849
161,486.453897663
162,494.853165336
163,498.818396776
164,503.96834084
165,507.888747495
166,508.116147922
167,509.381698267
168,513.327635671
169,517.37416462
170,519.10357897
171,526.840547581
172,528.12988899
173,529.815668888
174,532.443210641
175,540.467325951
176,542.876729979
177,544.382269461
178,545.450119407
179,548.232835905
180,550.577064784
181,551.917573827
182,552.385319705
183,553.140561438
184,560.834656288
185,567.296823817
186,575.367382632
187,575.984938825
188,577.37734287
189,579.05920885
190,579.843975847
191,583.772430726
192,585.956203215
193,593.488049739
194,601.003530265
195,601.883122226
196,602.725366702
197,605.850267601
198,612.697379217
199,614.419211953
200,615.442353707
201,618.441786168
202,621.241048103
203,622.14987992
204,623.350292355
205,625.185969208
206,628.300725059
207,629.908397707
208,641.059537109
209,641.769825033
210,647.328988802
211,648.998006131
212,652.151546011
213,655.692183551
214,658.495072614
215,659.827992964
216,660.477721999
217,675.274037181
218,675.879797408
219,677.539480047
220,680.055057954
221,682.004269644
222,686.80610706
223,687.584480569
224,690.783685993
225,692.327631845
226,694.918821089
227,698.354209181
228,700.731033814
229,702.772593734
230,705.930094089
231,706.896462656
232,707.16912961
233,709.528412953
234,712.939730028
235,720.682496369
236,726.848615097
237,728.31418948
238,728.582675509
239,731.156944838
240,738.356966588
241,739.307283492
242,744.816336502
243,748.584423073
244,749.942316685
245,754.956439283
246,758.043126509
247,762.610577648
248,764.405738799
249,767.160169637
250,768.556382677
251,770.849608692
252,774.764527616
253,778.528069032
254,782.857734256
255,784.106964217
256,786.808421118
257,791.064028817
258,793.328696859
259,795.072330643
260,798.908165844
261,803.958035749
262,805.302358795
263,814.082784292
264,814.428022236
265,817.580278479
266,820.914124023
267,827.576683604
268,830.138883595
269,833.140545868
270,840.441151316
