# Domain: gww1 (DST, paper eigenvalues-head run, dense eig full spectrum)
# Resolution M = 35, dofs = 451
# Computation time: 0.0434 s
n,lambda_n
1,2.55993260091
2,3.67561599029
3,5.217683278
4,6.54048745132
5,7.28692734581
6,9.22310211859
7,10.6157328701
8,11.536808086
9,12.3339025034
10,13.1068882327
11,14.3232142681
12,15.954051812
13,16.9201075323
14,17.6802516347
15,19.0977905108
16,20.876445206
17,21.3599666909
18,22.3293004963
19,23.6899783928
20,24.4547006772
21,24.6510121768
22,26.1121080838
23,27.3303005889
24,28.1665110134
25,29.5435856745
26,31.439081324
27,32.0668968974
28,32.2506426316
29,32.9183516684
30,34.1085701396
31,36.2621237431
32,37.1063203379
33,38.7898178833
34,39.0828179599
35,40.8747457967
36,41.0714411719
37,41.3495600364
38,41.8602780335
39,44.1825388597
40,44.7157995644
41,45.7681057097
42,46.566551215
43,47.3963635887
44,49.2903615568
45,49.9086001625
46,50.2768551768
47,51.8618880344
48,52.4217851222
49,53.355677563
50,54.2475443873
51,56.180931114
52,57.0035970086
53,57.981967415
54,59.1797555736
55,61.6641787496
56,61.721713509
57,62.7296258446
58,63.0567670437
59,63.1202566001
60,63.9170680295
61,64.6763886807
62,66.5016695304
63,67.101866609
64,69.4468079073
65,69.7406975015
66,70.5666089672
67,71.3478553427
68,71.5643714926
69,72.3968507277
70,74.9076810611
71,76.1351278784
72,76.5596100497
73,77.0780905552
74,77.5415929696
75,79.5055705733
76,80.4801443541
77,81.5885022456
78,83.3102876068
79,83.5731917581
80,83.7837767697
81,85.885511427
82,85.9818965311
83,87.0476170118
84,89.2355075777
85,89.9288204428
86,90.6527302239
87,90.7138087924
88,91.1797988737
89,92.1174289501
90,93.1946996675
91,94.4652434386
92,95.7211063745
93,97.515001967
94,97.7779767533
95,98.201079284
96,98.6489007993
97,101.121002732
98,101.745906596
99,102.635268293
100,103.009053928
101,104.084063199
102,105.014953694
103,105.559877187
104,106.001277547
105,109.102131628
106,109.198505603
107,110.636380469
108,111.048317282
109,112.222992476
110,112.566553147
111,113.689552955
112,114.255503713
113,115.330516261
114,118.709528776
115,118.888549299
116,119.562258356
117,121.036067468
118,121.528467856
119,122.154027831
120,122.370824837
121,122.573278802
122,125.018307832
123,125.680316503
124,126.53150217
125,127.507176993
126,128.06767144
127,128.464636489
