# Domain: gww1 (FD, paper eigenvalues-head run, dense eig full spectrum)
# Resolution M = 47, dofs = 825
# Computation time: 0.0756 s
n,lambda_n
1,2.54429802562
2,3.65627074139
3,5.17580442293
4,6.49903098265
5,7.22485846965
6,9.13943779306
7,10.4829273314
8,11.4074164955
9,12.2029039469
10,12.9419384155
11,14.115080724
12,15.7012480409
13,16.666777132
14,17.3696099671
15,18.721032564
16,20.5005463502
17,20.8856101192
18,21.8123745359
19,23.0966746442
20,23.9272338531
21,24.0313737337
22,25.50065842
23,26.6600653862
24,27.3459178445
25,28.8092226004
26,30.3700367499
27,31.1453558695
28,31.3153094638
29,32.0453722991
30,33.1003101338
31,34.9269574198
32,35.877699482
33,37.4660161402
34,37.629907381
35,39.176487064
36,39.4413037434
37,39.5569342242
38,39.9498161165
39,42.4499903708
40,42.8702660752
41,43.8883257878
42,44.5938640916
43,45.4570270949
44,47.2337518467
45,47.3960510786
46,48.3697678065
47,48.9479654452
48,49.6903971383
49,50.7642787093
50,51.9429676564
51,53.2918334969
52,54.0682994067
53,54.5307815853
54,56.1208419992
55,57.9726965325
56,58.6347569842
57,58.7511684461
58,59.0622216334
59,59.3464942819
60,59.9878541693
61,61.1859923705
62,61.9326996573
63,63.2242594448
64,64.2351223756
65,65.4448191715
66,66.507855784
67,66.630430012
68,67.2195043159
69,68.5104036628
70,69.035558459
71,69.7247991445
72,70.6885723875
73,72.2252239488
74,72.5624683752
75,73.7495290564
76,75.2946306798
77,75.7662963105
78,76.409419068
79,77.2266668404
80,78.4588997988
81,79.2163440933
82,79.7621765052
83,80.5483970144
84,80.9576725133
85,81.2628085735
86,81.4760047657
87,82.6958101968
88,83.670618153
89,84.7654417681
90,86.4414459014
91,86.6369468541
92,87.1149240305
93,87.6826801392
94,88.7599404958
95,89.362858215
96,90.3719714123
97,92.3971592401
98,92.6940873334
99,93.5613245698
100,93.6687777532
101,94.3773421816
102,95.0164006602
103,95.2156828829
104,96.2952595943
105,97.6105287929
106,99.0451393048
107,99.6567744762
108,100.544189777
109,100.588410283
110,101.378931742
111,102.524172238
112,103.677593431
113,103.987938615
114,104.919658123
115,105.391232495
116,105.48792289
117,105.94308435
118,107.259478292
119,107.514290272
120,109.30452541
121,109.906600658
122,110.646529596
123,111.221628216
124,111.97794519
125,112.67387866
126,112.77185862
127,114.564734474
128,115.57836395
129,116.073059407
130,116.506852665
131,117.067349742
132,117.544358488
133,117.635045984
134,118.301949258
135,118.92233038
136,120.419965249
137,120.893531381
138,121.953306805
139,123.964767032
140,124.210085571
141,124.600328407
142,124.967422266
143,125.786735122
144,126.320111439
145,126.518418962
146,127.510610678
147,128.842803465
148,129.661522612
149,130.011182859
150,130.459484108
151,130.735394389
152,131.808619203
153,132.321140234
154,133.48663172
155,133.815196561
156,135.233953217
157,135.903530831
158,136.18178241
159,136.491570003
160,137.379907008
161,137.743419839
162,137.761149225
163,138.193513177
164,140.51877079
165,140.754854762
166,141.68679126
167,141.762105089
168,142.484193062
169,142.842961621
170,143.024972838
171,143.320690073
172,144.685021149
173,146.769090551
174,146.81103802
175,147.770948481
176,148.698791531
177,149.024997619
178,149.399778254
179,149.571889625
180,150.12477599
181,150.571390723
182,151.949318058
