# Domain: gww2 (FEM, paper eigenvalues-head run, dense eig full spectrum)
# Resolution Hmax = 0.2, dofs = 1495
# Computation time: 0.2074 s
n,lambda_n
1,2.54131355339
2,3.65895386539
3,5.18226482126
4,6.5394760873
5,7.25472699406
6,9.21332574477
7,10.6025425881
8,11.5448011422
9,12.3395079646
10,13.0665017739
11,14.3209972678
12,15.8904422207
13,16.9488500267
14,17.6759842702
15,19.0078840013
16,20.8983380379
17,21.2790917935
18,22.2632648144
19,23.7303851073
20,24.4985570203
21,24.6932877557
22,26.1138196508
23,27.3397597548
24,28.2097111174
25,29.6076614051
26,31.5289089391
27,32.1175253718
28,32.2713415694
29,32.9570281476
30,34.1882333074
31,36.3295145234
32,37.1709182096
33,38.8729591099
34,39.0365800338
35,40.9324478584
36,41.0548323147
37,41.5372987103
38,42.0366736171
39,44.2633982808
40,44.6023711887
41,45.9712051001
42,46.8275929121
43,47.5798429459
44,49.4914693431
45,50.0930177481
46,50.445536468
47,52.2052500097
48,52.7176629458
49,53.5887462291
50,54.3980013726
51,56.4924763594
52,57.2891740101
53,58.387795342
54,59.4038696512
55,61.9603722735
56,62.01278137
57,63.1584543069
58,63.505824225
59,63.5852621184
60,64.4725119512
61,65.1186265015
62,66.829115317
63,67.5401380038
64,69.8953297918
65,70.4825908894
66,71.0838235991
67,71.976750836
68,72.0152149192
69,72.8311319774
70,75.5270855644
71,77.0501592276
72,77.4191528982
73,77.7969968013
74,77.9404754998
75,80.2924864357
76,81.3217726065
77,82.3227539132
78,84.5035208238
79,84.558201546
80,84.5740765139
81,86.4800856384
82,86.7638726035
83,88.2568351478
84,89.8371215732
85,91.3341354213
86,91.7929913419
87,92.1211055187
88,92.1874607504
89,93.1430840014
90,94.2775720389
91,95.7433451674
92,97.2722130719
93,98.9801300092
94,99.7125681344
95,99.7595396006
96,100.009053823
97,102.327195908
98,103.158897508
99,104.162966097
100,104.657480013
101,105.978206619
102,106.89809819
103,107.897830169
104,107.986211471
105,110.862294379
106,111.451565883
107,112.379651193
108,112.520629883
109,114.465964623
110,114.606333284
111,115.819819477
112,116.501266737
113,117.900679847
114,120.341817909
115,121.45875809
116,121.618569033
117,123.653792259
118,124.613395444
119,124.881749646
120,125.133418818
121,125.441236076
122,127.079775761
123,128.186673993
124,129.390542335
125,130.582752192
126,131.01740888
127,131.304311166
128,133.173587216
129,133.669660953
130,133.923698157
131,134.511781567
132,136.079104494
133,137.578188754
134,139.385407311
135,140.795858924
136,142.530389743
137,142.67644039
138,143.648899995
139,143.788733567
140,144.275349666
141,145.999430482
142,146.202508162
143,148.174767986
144,150.301146322
145,150.817002058
146,152.822403082
147,153.374267092
148,154.058560239
149,154.201591688
150,155.504743126
151,155.549177239
152,157.139895116
153,159.362179138
154,160.959144968
155,162.290614084
156,163.544296289
157,164.012564016
158,164.095958609
159,164.452017172
160,164.816367078
161,165.684937212
162,166.928006923
163,168.317425713
164,169.428991051
165,170.495458865
166,171.230756817
167,172.607339382
168,173.006899576
169,174.856370428
170,175.011376245
171,176.144898531
172,177.701025381
173,179.012769128
174,180.631017427
175,181.724116629
176,182.766264176
177,184.23304775
178,185.142478475
179,185.952566312
180,186.32419477
181,186.56869537
182,187.60795801
183,188.584887294
184,189.832048771
185,191.332087892
186,192.154733237
187,192.689482292
188,193.682503306
189,194.704252127
190,195.481534857
191,197.799309956
192,198.394376849
193,200.904366948
194,202.105678875
195,203.145187714
196,203.603305288
197,204.525247443
198,205.320588852
199,206.52666871
200,208.114195762
201,208.600691291
202,209.215042489
203,209.881741566
204,210.353378249
205,211.282182699
206,213.728669723
207,214.930699269
208,215.470952567
209,217.117549389
210,218.047212377
211,218.220277521
212,218.623243886
213,218.885783349
214,221.012009015
215,221.405039438
216,222.39928775
217,223.281906648
218,225.566949924
219,228.558148943
220,228.829453551
221,229.087695013
222,229.863628442
223,230.764309688
224,231.711803946
225,232.228882142
226,233.45587146
227,234.791091145
228,236.151513172
229,237.30520837
230,238.163939513
231,239.059030946
232,240.077263134
233,240.685813128
234,242.900409417
235,243.871748638
236,245.598095511
237,246.402280083
238,246.693255931
239,248.204359243
240,249.76632112
241,251.126430756
242,251.774573704
243,252.167029967
244,255.004533985
245,255.62795747
246,256.710502793
247,257.552128524
248,258.576687025
249,259.427940274
250,260.719525097
251,261.161252898
252,261.406405382
253,261.846634471
254,262.860468256
255,263.694122247
256,265.486437653
257,266.012636381
258,266.432706371
259,268.17051051
260,269.224488021
261,269.980117389
262,271.632134104
263,272.815544678
264,274.325010915
265,275.742147041
266,275.812532185
267,276.636038197
268,277.359557136
269,277.95951235
270,279.803570177
271,280.66128487
272,281.917584208
273,282.772400848
274,284.022172792
275,285.033521234
276,287.625765561
277,289.220470438
278,289.734314116
279,290.610078346
280,291.886016487
281,293.032648556
282,293.502292376
283,293.885157637
284,294.51087114
285,295.426896023
286,297.91312783
287,298.269413343
288,298.865575902
289,300.842374121
290,301.89124307
291,302.584633245
292,304.9238201
293,305.116545112
