# Domain: isosceles_triangle (DST, paper eigenvalues-head run, dense eig full spectrum)
# Resolution M = 25, dofs = 300
# Computation time: 0.0183 s
n,lambda_n
1,4.99972172923
2,9.99800249
3,12.9992150042
4,16.9928840861
5,19.9954175899
6,24.9984247853
7,25.9814686545
8,28.9857218168
9,33.9916245426
10,36.9597458442
11,39.966131162
12,40.997311157
13,44.975627658
14,49.9223438767
15,51.9864247057
16,52.9312876124
17,57.9451016626
18,60.9958132763
19,64.8621784658
20,64.9620487016
21,67.8741169607
22,72.8929925233
23,73.9795185605
24,79.9171636914
25,81.7699599522
26,84.7853292508
27,84.9938394884
28,88.9441517031
29,89.8100140853
30,96.842496743
31,99.9704514713
32,100.633497137
33,103.652710978
34,105.880470298
35,108.683920039
36,112.991248592
37,115.725764065
38,116.920653303
39,121.436703215
40,124.46010857
41,124.776157821
42,129.498450359
43,129.95850816
44,135.832113482
45,136.55056248
46,144.158151277
47,144.987811938
48,145.61463639
49,147.185945986
50,148.889473567
51,152.231776135
52,156.688065532
53,159.294706003
54,163.942484204
55,168.373255849
56,168.76893121
57,169.767195552
58,171.800997742
59,176.854136826
60,179.46527859
61,180.98312552
62,183.927647956
63,184.84693579
64,192.567755384
65,193.020388482
66,195.229387269
67,198.26497531
68,201.920113241
69,203.324135577
70,204.130686992
71,207.676476565
72,210.40631593
73,217.256197112
74,219.510548049
75,220.976363066
76,223.483993665
77,224.785500793
78,226.52106707
79,230.635375889
80,231.582661955
81,232.393684512
82,238.667977802
83,243.778689496
84,243.886195949
85,247.77552107
86,249.538656733
87,253.452997145
88,256.486827493
89,258.90274669
90,258.937417775
91,261.542303171
92,264.965300836
93,268.617060135
94,268.68476836
95,272.045207285
96,276.106861256
97,277.706475797
98,285.018115587
99,287.194204525
100,288.038026028
101,288.801457064
102,289.822735789
103,293.067404166
104,295.278799167
105,300.097849446
106,301.882403443
107,304.328431948
108,309.11167719
109,312.937863334
110,316.431276381
111,316.895883343
112,317.996483662
113,320.068378203
114,320.977450039
115,323.363873345
116,325.931622427
117,332.827418956
118,332.852933102
119,333.610101972
120,338.486101647
121,341.588212338
122,342.372345742
123,346.91607701
124,350.131385597
125,351.980750943
126,352.088814086
127,354.966217786
128,359.70711388
129,361.735839546
130,362.370734085
131,365.07351667
132,366.16941856
133,368.99876452
134,373.825475872
135,375.572068108
136,377.132145145
137,382.0699487
138,386.75819651
139,389.323493404
140,389.474390143
141,393.28960387
142,393.485266789
143,396.06550894
144,396.660557137
145,400.407856812
146,401.01858323
147,409.371180891
148,409.463104844
149,418.494255628
150,420.264082552
151,420.39335255
152,420.834969616
153,421.340894064
154,421.611849618
155,425.40073453
156,428.469457583
157,432.281379172
158,434.229078827
159,439.501982461
160,442.674335267
161,444.868966244
162,445.850091201
163,451.503860749
164,452.225476334
165,453.584984917
166,456.869404952
167,457.964646781
168,461.682694072
169,462.715446967
170,466.529008045
171,471.002075013
172,472.384205934
173,475.989125158
174,476.259743951
175,480.963868211
176,481.568328479
177,484.413260251
178,487.580895938
179,488.495398637
180,492.755180947
181,495.503089182
182,498.342239952
183,499.716886718
184,501.980563613
185,505.653915968
186,509.286654919
187,513.889936974
188,514.832885304
189,517.966827013
190,518.896782205
191,519.537776122
192,523.814479291
193,524.822112918
194,530.143182262
195,531.513775418
196,536.622217942
197,536.904513602
198,538.131553369
199,544.94434079
200,545.720663974
201,548.277587261
202,550.023538039
203,552.690735694
204,554.012139641
205,556.344440185
206,559.137777637
207,563.247713263
208,565.510022958
209,566.859543334
210,572.056916851
211,573.520442424
212,579.489213764
213,580.03520181
214,581.271024594
215,583.573015385
216,584.671562279
217,588.785114888
218,593.109153236
219,595.45401715
220,597.546410713
221,598.343774693
222,605.113941659
223,605.650998172
224,610.009198473
225,612.962879573
226,614.164819079
227,616.410679419
228,617.249995916
229,620.518002363
230,620.561778717
231,624.243924906
232,629.557104701
233,631.718158254
234,632.679845873
235,636.717828986
236,641.342589174
237,646.807873127
238,647.738146424
239,649.670938231
240,653.815427263
241,656.738209229
242,658.685418811
243,662.921229176
244,667.431209593
245,670.110661271
246,679.599807749
247,679.785491118
248,684.722906088
249,686.351042097
250,690.393993955
251,690.532582557
252,697.270124081
253,703.403662846
254,706.213865364
255,712.909108244
256,716.754113448
257,723.865872519
258,728.91372019
259,728.950685276
260,736.344089536
261,738.830055603
262,745.611820777
263,756.583408714
264,760.879638322
265,763.793586742
266,766.062203663
267,769.181698985
268,776.83760439
269,786.435986072
270,795.10469542
271,800.973696027
272,804.307331452
273,810.319119543
274,818.484787061
275,826.144085813
276,840.117119343
277,841.596695955
278,846.064846172
279,852.758620128
280,859.278745637
281,879.649045222
282,884.236160327
283,889.304181303
284,894.573200723
285,919.728260201
286,924.972076109
287,928.166652569
288,932.073656116
289,961.11345452
290,969.340720638
291,971.809053252
292,1004.1553638
293,1012.7168191
294,1013.7837711
295,1049.10027003
296,1057.94959168
297,1096.14640886
298,1104.20777469
299,1145.46329954
300,1197.12938609
